Week,Day,Treatment,SurvivalTime,Censor,Josie
1,1,c,14,0,c1
1,1,s,14,0,s1
1,1,l,14,0,l1
1,1,h,14,0,h1
1,1,c,5,1,c2
1,1,s,14,0,s2
1,1,l,4,1,l2
1,1,h,5,1,h2
1,1,c,14,0,c3
1,1,s,14,0,s3
1,1,l,4,1,l3
1,1,h,14,0,h3
1,1,c,14,0,c4
1,1,s,5,1,s4
1,1,l,5,1,l4
1,1,h,5,1,h4
1,1,c,14,0,c5
1,1,s,5,1,s5
1,1,l,12,1,l5
1,1,h,14,0,h5
1,2,c,14,0,c6
1,2,s,14,0,s6
1,2,l,5,1,l6
1,2,h,4,1,h6
1,2,c,3,1,c7
1,2,s,4,1,s7
1,2,l,12,1,l7
1,2,h,14,0,h7
1,2,c,14,0,c8
1,2,s,3,1,s8
1,2,l,14,0,l8
1,2,h,14,0,h8
1,2,c,14,0,c9
1,2,s,14,0,s9
1,2,l,11,1,l9
1,2,h,4,1,h9
1,2,c,14,0,c10
1,2,s,14,0,s10
1,2,l,14,0,l10
1,2,h,14,0,h10
2,3,c,14,0,c11
2,3,s,4,1,s11
2,3,l,4,1,l11
2,3,h,12,1,h11
2,3,c,14,0,c12
2,3,s,14,0,s12
2,3,l,4,1,l12
2,3,h,14,0,h12
2,3,c,4,1,c13
2,3,s,4,1,s13
2,3,l,4,1,l13
2,3,h,4,1,h13
2,3,c,4,1,c14
2,3,s,14,0,s14
2,3,l,4,1,l14
2,3,h,4,1,h14
2,3,c,4,1,c15
2,3,s,4,1,s15
2,3,l,4,1,l15
2,3,h,4,1,h15
2,4,c,2,1,c16
2,4,s,4,1,s16
2,4,l,7,1,l16
2,4,h,4,1,h16
2,4,c,4,1,c17
2,4,s,4,1,s17
2,4,l,4,1,l17
2,4,h,4,1,h17
2,4,c,4,1,c18
2,4,s,2,1,s18
2,4,l,14,0,l18
2,4,h,6,1,h18
2,4,c,14,1,c19
2,4,s,14,0,s19
2,4,l,4,1,l19
2,4,h,9,1,h19
2,4,c,14,1,c20
2,4,s,4,1,s20
2,4,l,5,1,l20
2,4,h,5,1,h20
