nr,Week,Day,Treatment,SurvivalTime,Censor
1,1,1,f,13,0
2,1,1,f,13,0
3,1,1,f,13,0
4,1,1,f,13,0
5,1,1,f,13,0
6,1,1,f,13,0
7,1,1,f,13,0
8,1,1,f,13,0
9,1,1,f,13,0
10,1,1,f,13,0
11,1,1,f,13,0
12,1,1,f,13,0
13,1,1,f,13,0
14,1,1,f,13,0
15,1,1,f,13,0
16,1,1,f,13,0
17,1,1,f,13,0
18,1,1,f,13,0
19,1,1,f,13,0
20,1,1,f,13,0
21,1,1,f,13,0
22,1,1,f,13,0
23,1,1,f,13,0
24,1,1,f,13,0
25,1,1,f,13,0
26,1,1,f,13,0
27,1,1,c,5,1
28,1,1,c,13,0
29,1,1,c,13,0
30,1,1,c,13,0
31,1,1,c,13,0
32,1,1,c,13,0
33,1,1,c,13,0
34,1,1,c,13,0
35,1,1,c,13,0
36,1,1,c,13,0
37,1,1,c,13,0
38,1,1,c,13,0
39,1,1,c,13,0
40,1,1,c,13,0
41,1,1,c,13,0
42,1,1,c,13,0
43,1,1,c,13,0
44,1,1,c,13,0
45,1,1,c,13,0
46,1,1,c,13,0
47,1,1,c,13,0
48,1,1,c,13,0
49,1,1,c,13,0
50,1,1,c,13,0
51,1,1,c,13,0
52,1,1,c,13,0
53,1,1,c,13,0
54,1,1,c,13,0
55,1,1,c,13,0
56,1,1,c,13,0
57,1,1,c,13,0
58,1,1,c,13,0
59,1,1,c,13,0
60,1,1,c,13,0
61,1,1,c,13,0
62,1,1,c,13,0
63,1,1,c,13,0
64,1,1,c,13,0
65,1,1,c,13,0
66,1,1,c,13,0
67,1,1,c,13,0
68,1,1,c,13,0
69,1,1,c,13,0
70,1,1,l,5,1
71,1,1,l,13,0
72,1,1,l,13,0
73,1,1,l,13,0
74,1,1,l,13,0
75,1,1,l,13,0
76,1,1,l,13,0
77,1,1,l,13,0
78,1,1,l,13,0
79,1,1,l,13,0
80,1,1,l,13,0
81,1,1,l,13,0
82,1,1,l,13,0
83,1,1,l,13,0
84,1,1,l,13,0
85,1,1,l,13,0
86,1,1,l,13,0
87,1,1,l,13,0
88,1,1,l,13,0
89,1,1,l,13,0
