Observation.id,Observation.date,Description,Media.file,Total.length,FPS,Subject,Behavior,Behavioral.category,Modifiers,Behavior.type,Start..s.,Stop..s.,Duration..s.,Comment.start,Comment.stop
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,FOCAL,R,NA,NA,STATE,23.735,24.815,1.08,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,FOCAL,G,NA,NA,STATE,96.892,110.301,13.409,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,ANT2,A,NA,NA,STATE,281.454,284.874,3.42,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,FOCAL,R,NA,NA,STATE,299.362,300.351,0.989,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,FOCAL,A,NA,NA,STATE,312.052,315.561,3.509,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,FOCAL,A,NA,NA,STATE,319.431,323.392,3.961,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,FOCAL,G,NA,NA,STATE,328.072,347.601,19.529,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,ANT2,A,NA,NA,STATE,351.741,360.652,8.911,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,ANT2,A,NA,NA,STATE,372.712,379.461,6.749,NA,NA
21,31.10.2024 16:14,NA,/media/ael/DISK_Z/data/GFG/batch 2/21/01181.MTS,1783.24,50,ANT2,A,NA,NA,STATE,396.742,400.252,3.51,NA,NA
22,05.11.2024 19:30,NA,/media/ael/DISK_Z/data/GFG/batch 2/22/01184.MTS,1770.34,50,FOCAL,G,NA,NA,STATE,24.725,25.805,1.08,NA,NA
22,05.11.2024 19:30,NA,/media/ael/DISK_Z/data/GFG/batch 2/22/01184.MTS,1770.34,50,FOCAL,G,NA,NA,STATE,37.233,38.615,1.382,NA,NA
22,05.11.2024 19:30,NA,/media/ael/DISK_Z/data/GFG/batch 2/22/01184.MTS,1770.34,50,FOCAL,G,NA,NA,STATE,46.86,47.13,0.27,NA,NA
22,05.11.2024 19:30,NA,/media/ael/DISK_Z/data/GFG/batch 2/22/01184.MTS,1770.34,50,FOCAL,G,NA,NA,STATE,67.195,67.915,0.72,NA,NA
