sample_id,spore_concentration[ng/ul]
481,0.000129045
482,4.29017E-05
483,0.000372781
484,0.022309743
485,0.007442039
486,1.80547E-05
487,3.83892E-05
488,9.29954E-06
489,0.001961139
490,0.000714057
491,0.000192658
492,9.75766E-05
493,0.001909008
494,0.000873953
495,0.000761241
496,0.018351208
497,0.000366557
498,0.000362872
499,0.006704275
500,0.017683825
501,0.007075436
502,0.002282048
503,0.004505748
504,0.000250535
505,0.000388155
506,0.006039649
507,0.00736723
508,0.00046557
509,0.000876901
510,0.000711657
511,0.005404387
512,0.000756131
513,0.001016961
514,0.00012948
515,0.00257619
516,0.000595324
517,0.001883465
518,0.049061335
519,0.000294492
520,0.000817027
521,0.000676902
522,0.016228998
523,0.004023241
524,0.000442961
525,0.023754641
526,0.000839547
527,0.000479618
528,0.000301627
529,0.000361911
530,0.001105253
531,0.000399728
532,0.000583152
533,0.000798847
534,0.008450007
535,0.007136423
536,0.001097954
537,0.018900549
538,0.001357265
539,0.001993242
540,0.000226099
541,0.000149436
542,0.000106234
543,0.000355965
544,1.92249E-05
545,0.001270251
546,0.000351279
547,0.000457881
548,0.006881043
549,0.000747633
550,0.005529635
551,0.000612863
552,0.000347805
553,0.000128313
554,0.066558136
555,0.000151429
556,0.000414563
557,0.000289871
558,0.002186982
559,0.000290833
560,0.001326152
561,NA
562,NA
563,NA
564,0.000168211
565,0.486953484
566,0.545917595
567,0.045980685
568,0.002418941
569,0.000423986
570,0.002017372
571,NA
572,0.0003885
NA,NA
NA,2.49166E-06
NA,NA
NA,NA
577,0.01194318
578,0.046290877
579,0.002072363
580,0.017171125
581,0.004550962
582,0.00126855
583,0.002739334
584,0.004597092
585,0.001495709
586,0.002107491
587,NA
588,0.000924844
589,0.009188421
590,0.000573786
591,0.003208222
592,0.000844596
593,0.004966643
594,0.030408628
595,0.032632969
596,0.010027682
597,0.001546845
598,0.079001186
599,0.001643337
600,0.000287073
601,0.001381597
602,0.001070971
603,0.000425093
604,0.000874705
605,0.001092158
606,0.000608785
607,0.001077987
608,0.002742593
609,0.00123643
610,0.000575914
611,0.000967876
612,0.000698264
613,0.001600264
614,0.000579687
615,0.001248601
616,0.001436804
617,0.014737744
618,0.000490767
619,0.000604822
620,0.00043492
621,0.010358267
622,0.002689388
623,0.000367007
624,0.000312746
625,0.00170825
626,0.001494216
627,0.000334942
628,0.000675833
629,0.000462756
630,0.000579687
631,0.013582541
632,7.83358E-05
633,0.000245618
634,0.000520475
635,0.006409751
636,0.004374569
637,0.015326641
638,0.123466328
639,4.75342E-05
640,0.000306679
641,0.000130937
642,0.000347589
643,0.000272997
644,0.000404235
645,0.000295888
646,0.000108146
647,0.016636158
648,0.000119999
649,0.000751951
650,0.001139894
651,0.001693547
652,0.032983193
653,0.001654237
654,0.000664168
655,0.000392211
656,3.17822E-05
657,4.38593E-05
658,0.015195413
659,0.00162127
660,0.00612139
661,0.000310117
662,0.00016394
663,0.000604617
664,NA
665,0.0006664
666,1.31958E-05
667,0.000679951
668,0.000970344
669,0.000272083
670,7.81044E-05
671,7.78428E-05
672,0.000104228
673,0.000406956
674,4.04662E-05
675,0.000242751
676,0.0132871
677,0.007664306
678,0.031469794
679,0.003225166
680,0.002050451
681,0.000474729
682,0.0039859
683,0.001073132
684,0.00026264
685,0.00420125
686,0.000457863
687,0.001080214
688,0.000213491
689,0.001090924
690,0.00158714
691,0.001232083
692,0.000447443
693,0.000650966
694,0.00036491
695,0.001315845
696,0.000207265
697,0.001457071
698,0.006549268
699,0.00025498
700,0.04103537
701,0.000537923
702,0.000636152
703,0.00100152
704,1.78845E-05
705,0.002498702
706,0.000300552
707,0.00245795
708,0.04773732
709,0.001090924
710,0.000536157
711,0.010481732
712,0.000985187
713,0.001359839
714,0.00132018
715,0.000822176
716,0.002703911
717,0.088878763
718,NA
719,0.013591428
720,3.04687E-05
721,0.039717742
722,0.000757984
723,0.001633317
724,0.014870724
725,0.002757556
726,0.002239277
727,0.001172113
