ID,Colony,TagID,Container,Position,PosID,#ScanTime,Comment,
1,c01,0x000,Box_01,A01,Box_01_A01,2024-02-20T15:29:56Z,,
2,c01,0x181,Box_01,B01,Box_01_B01,2024-02-20T15:30:54Z,,
3,c01,0x137,Box_01,C01,Box_01_C01,2024-02-20T15:31:20Z,,
4,c01,0x011,Box_01,D01,Box_01_D01,2024-02-20T15:32:45Z,,
5,c01,0x067,Box_01,E01,Box_01_E01,2024-02-20T15:33:31Z,,
6,c01,0x0d3,Box_01,F01,Box_01_F01,2024-02-20T15:33:46Z,,
7,c01,0x526,Box_01,G01,Box_01_G01,2024-02-20T15:33:57Z,,
8,c01,0x1e3,Box_01,H01,Box_01_H01,2024-02-20T15:34:08Z,,
9,c01,0x3f5,Box_01,A02,Box_01_A02,2024-02-20T15:38:01Z,,
10,c01,0x44d,Box_01,B02,Box_01_B02,2024-02-20T15:43:37Z,,
11,c01,0x477,Box_01,C02,Box_01_C02,2024-02-20T15:44:10Z,,
12,c01,0x6e0,Box_01,D02,Box_01_D02,2024-02-20T15:44:37Z,,
13,c01,0x49d,Box_01,E02,Box_01_E02,2024-02-20T15:44:49Z,,
14,c01,0x716,Box_01,F02,Box_01_F02,2024-02-20T15:45:05Z,,
15,c01,0x714,Box_01,G02,Box_01_G02,2024-02-20T15:45:51Z,,
16,c01,0x068,Box_01,H02,Box_01_H02,2024-02-20T15:46:08Z,,
17,c01,0x277,Box_01,A03,Box_01_A03,2024-02-20T15:46:34Z,,
18,c01,0x206,Box_01,B03,Box_01_B03,2024-02-20T15:46:47Z,,
19,c01,0x26f,Box_01,C03,Box_01_C03,2024-02-20T15:47:03Z,,
20,c01,0x10a,Box_01,D03,Box_01_D03,2024-02-20T15:47:13Z,,
21,c01,0x406,Box_01,E03,Box_01_E03,2024-02-20T15:47:24Z,,
22,c01,0x72b,Box_01,F03,Box_01_F03,2024-02-20T15:47:35Z,,
23,c01,0x6a3,Box_01,G03,Box_01_G03,2024-02-20T15:47:49Z,,
24,c01,0x4b2,Box_01,H03,Box_01_H03,2024-02-20T15:48:01Z,,
25,c01,0x71b,Box_01,A04,Box_01_A04,2024-02-20T15:48:28Z,,
26,c01,0x815,Box_01,B04,Box_01_B04,2024-02-20T15:48:41Z,,
27,c01,0x22a,Box_01,C04,Box_01_C04,2024-02-20T15:48:57Z,,
28,c01,0x7d5,Box_01,D04,Box_01_D04,2024-02-20T15:49:34Z,,
29,c01,0x53a,Box_01,E04,Box_01_E04,2024-02-20T15:49:54Z,,
30,c01,0x3f4,Box_01,F04,Box_01_F04,2024-02-20T15:50:21Z,,
31,c01,0x327,Box_01,G04,Box_01_G04,2024-02-20T15:50:36Z,,
32,c01,0x258,Box_01,H04,Box_01_H04,2024-02-20T15:50:48Z,,
33,c01,0x316,Box_01,A05,Box_01_A05,2024-02-20T15:51:19Z,,
34,c01,0x5f0,Box_01,B05,Box_01_B05,2024-02-20T15:51:36Z,,
35,c01,0x4ec,Box_01,C05,Box_01_C05,2024-02-20T15:51:46Z,,
36,c01,0x7f0,Box_01,D05,Box_01_D05,2024-02-20T15:51:58Z,,
37,c01,0x37d,Box_01,E05,Box_01_E05,2024-02-20T15:52:14Z,,
