Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
D1C1T5,2023-08-15 11:36:06,,E:/flugus/day_1/cam_1/00244.MTS,3653.170,50.0,YELLOW,A,,grooming focal ant,STATE,10.872,13.749,2.877,,
D7C3T1,2023-08-17 15:39:25,,E:/flugus/day_7/cam_3/D7C3T1 (1).MTS,3735.700,50.0,RED,B,,,STATE,12.938,14.017,1.079,,
D6C3T4,2023-08-22 11:59:39,,E:/flugus/day_6/cam_3/D6C3T4 (1).MTS,3904.470,50.0,YELLOW,F,,dragging,STATE,13.029,69.359,56.330,,
D5C1T4,2023-08-15 16:43:30,,E:/flugus/day_5/cam_1/D5C1T4 (1).MTS,3702.100,50.0,BLUE,B,,,STATE,13.930,18.520,4.590,,
D1C1T3,2023-08-14 16:20:57,,E:/flugus/day_1/cam_1/00231.MTS,3622.420,50.0,BLUE,G,,,STATE,14.737,28.237,13.500,,
D7C3T4,2023-08-18 11:33:16,,E:/flugus/day_7/cam_3/D7C3T4 (1).MTS,3680.530,50.0,PINK,A,,grooming focal ant,STATE,16.716,18.969,2.253,,
D5C4T1,2023-09-01 12:53:02,,E:/flugus/day_5/cam_4/D5C4T1 (1).MTS,3696.910,50.0,BLUE,G,,,STATE,17.438,18.338,0.900,,
D5C2T2,2023-08-21 09:40:09,,E:/flugus/day_5/cam_2/D5C2T2 (1).MTS,3712.210,50.0,PINK,B,,,STATE,18.068,31.835,13.767,,
D7C4T3,2023-08-23 10:54:55,,E:/flugus/day_7/cam_4/D7C4T3 (1).MTS,3746.740,50.0,PINK,F,,dragging,STATE,18.071,25.921,7.850,,
D5C1T3,2023-08-15 16:02:15,,E:/flugus/day_5/cam_1/00438.MTS,3717.940,50.0,BLUE,B,,,STATE,18.607,25.983,7.376,,
D1C1T5,2023-08-15 11:36:06,,E:/flugus/day_1/cam_1/00244.MTS,3653.170,50.0,YELLOW,A,,grooming focal ant,STATE,19.149,20.497,1.348,,
D1C1T5,2023-08-15 11:36:06,,E:/flugus/day_1/cam_1/00244.MTS,3653.170,50.0,WHITE,G,,,STATE,20.226,24.187,3.961,,
D7C4T1,2023-08-22 16:32:28,,E:/flugus/day_7/cam_4/D7C4T1 (1).MTS,3687.220,50.0,No focal subject,G,,,STATE,20.677,21.756,1.079,,
D5C3T5,2023-08-24 12:07:45,,E:/flugus/day_5/cam_3/D5C3T5 (1).MTS,3707.380,50.0,PINK,A,,grooming focal ant,STATE,21.488,28.323,6.835,,
D5C2T3,2023-08-21 10:51:28,,E:/flugus/day_5/cam_2/D5C2T3 (1).MTS,3723.250,50.0,YELLOW,A,,grooming focal ant,STATE,21.668,26.708,5.040,,
D6C4T1,2023-08-24 14:23:01,,E:/flugus/day_6/cam_4/D6C4T1 (1).MTS,3708.940,50.0,BLUE,G,,,STATE,21.760,68.457,46.697,,
D6C4T3,2023-08-24 15:45:12,,E:/flugus/day_6/cam_4/D6C4T3 (1).MTS,3692.170,50.0,GREEN,A,,grooming focal ant,STATE,25.356,31.924,6.568,,
D7C2T4,2023-08-30 12:55:16,,E:/flugus/day_7/cam_2/D7C2T4 (1).MTS,3678.100,50.0,GREEN,G,,,STATE,25.715,27.610,1.895,,
D5C4T2,2023-09-01 14:30:26,,E:/flugus/day_8/cam_4/D8C4T2 (1).MTS,3696.340,50.0,GREEN,B,,,STATE,27.159,40.929,13.770,,
D6C3T5,2023-08-22 13:55:10,,E:/flugus/day_6/cam_3/D6C3T5 (1).MTS,3765.070,50.0,BLUE,G,,,STATE,28.597,30.845,2.248,,
D6C4T2,2023-08-24 14:34:29,,E:/flugus/day_6/cam_4/D6C4T2 (1).MTS,3710.890,50.0,YELLOW,G,,,STATE,28.686,29.223,0.537,,
