Observation_id,Observation_date,Trial,Media_file,Total_length,FPS,Subject,Behavior,Modifiers,Behavior_type,Start_(s),Stop_(s),Duration_(s),Comment_start,Replicate
REPLICATE 1 TRIAL 6,17/02/2022,"10, C","Q:/Rachael/replicate 1 (16-02, 17-02)/00021.MTS",1211.29,25,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,725.497,725.497,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",1
REPLICATE 4 TRIAL 5,23/02/2022,"10, C","Q:/Rachael/replicate 4 (22-02, 23-02)/00021.MTS",1209.38,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,464.236,464.236,NA,IN CONTACT WITH WHITE (5),4
REPLICATE 3 TRIAL 1,22/02/2022,"10, C","Q:/Rachael/replicate 3 (21-02, 22-02)/00023.MTS",1209.23,25,ANT 9,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,933.865,933.865,NA,,3
REPLICATE 3 TRIAL 1,22/02/2022,"10, C","Q:/Rachael/replicate 3 (21-02, 22-02)/00024.MTS",1209.23,25,ANT 9,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,1172.64,1172.64,NA,,3
REPLICATE 5 TRIAL 3,24/02/2022,"10, P","Q:/Rachael/replicate 5 (23-02, 24-02)/00039.MTS",1209.75,25,ANT 9,T,"large twitch,part of a repetitive set,in contact with nestmate,near brood",POINT,112.691,112.691,NA,IN CONTACT WITH YELLOW (3),5
REPLICATE 5 TRIAL 3,24/02/2022,"10, P","Q:/Rachael/replicate 5 (23-02, 24-02)/00039.MTS",1209.75,25,ANT 9,T,"large twitch,part of a repetitive set,in contact with nestmate,near brood",POINT,113.231,113.231,NA,IN CONTACT WITH YELLOW (3),5
REPLICATE 12 TRIAL 2,09/03/2022,"10, P","Q:/Rachael/replicate 12 (08-03, 09-03)/00064.MTS",1204.58,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,away from brood",POINT,164.296,164.296,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",12
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,11.589,11.589,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",16
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,11.769,11.769,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",16
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,13.497,13.497,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",16
REPLICATE 19 TRIAL 10,11/08/2022,"10, P","Q:/Rachael/replicate 19 (10-08, 11-08)/200127.MTS",1207.46,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1129.644,1129.644,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",19
REPLICATE 19 TRIAL 10,11/08/2022,"10, P","Q:/Rachael/replicate 19 (10-08, 11-08)/200127.MTS",1207.46,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1125.506,1125.506,NA,IN CONTACT WITH PINK (6),19
REPLICATE 2 TRIAL 8,18/02/2022,"10, P","Q:/Rachael/replicate 2 (17-02, 18-02)/00008.2.MTS",1218.02,50,ANT 9,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,1034.215,1034.215,NA,,2
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,666.545,666.545,NA,IN CONTACT WITH WHITE (5),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,707.22,707.22,NA,IN CONTACT WITH WHITE (5),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,869.73,869.73,NA,IN CONTACT WITH PINK (6),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,871.982,871.982,NA,IN CONTACT WITH PINK (6),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,874.32,874.32,NA,IN CONTACT WITH GREEN (4),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,876.046,876.046,NA,IN CONTACT WITH GREEN (4),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,876.747,876.747,NA,IN CONTACT WITH PINK (6),8
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,106.793,106.793,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",16
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,240.002,240.002,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",16
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,277.793,277.793,NA,IN CONTACT WITH WHITE (5),16
REPLICATE 16 TRIAL 7,16/03/2022,"10, P","Q:/Rachael/replicate 16 (15-03, 16-03)/200091.MTS",1208.9,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,279.413,279.413,NA,IN CONTACT WITH WHITE (5),16
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 9,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,353.726,353.726,NA,,18
REPLICATE 17 TRIAL 11,09/08/2022,"10, S","Q:/Rachael/replicate 17 (08-08, 09-08)/200117.MTS",1208.42,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,away from brood",POINT,1132.282,1132.282,NA,IN CONTACT WITH YELLOW (3),17
REPLICATE 17 TRIAL 11,09/08/2022,"10, S","Q:/Rachael/replicate 17 (08-08, 09-08)/200117.MTS",1208.42,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,away from brood",POINT,1146.693,1146.693,NA,IN CONTACT WITH YELLOW (3),17
REPLICATE 17 TRIAL 11,09/08/2022,"10, S","Q:/Rachael/replicate 17 (08-08, 09-08)/200117.MTS",1208.42,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1162.518,1162.518,NA,IN CONTACT WITH ORANGE (7),17
