nr,video_id,treatment_id,rep,t_flupy,t_fungus,lost,discard_ignore
1,D1C1T1,R04CF,4,control,fungus,NA,yes
2,D1C1T2,R04HF,4,high,fungus,NA,yes
3,D1C1T3,R01CS,1,control,sham,NA,yes
4,D1C1T4,R01HS,1,high,sham,NA,yes
5,D1C1T5,R01HF,1,high,fungus,NA,yes
6,D1C1T6,R02CF,2,control,fungus,NA,yes
7,D1C2T1,R01CF,1,control,fungus,NA,yes
8,D1C2T2,R03LS,3,low,sham,NA,yes
9,D1C2T3,R03LF,3,low,fungus,NA,yes
10,D1C2T4,R02LS,2,low,sham,NA,yes
11,D1C2T5,R04LS,4,low,sham,NA,yes
12,D1C2T6,R04CS,4,control,sham,NA,yes
13,D1C3T1,R01LS,1,low,sham,NA,yes
14,D1C3T2,R03CS,3,control,sham,NA,yes
15,D1C3T3,R03HS,3,high,sham,NA,yes
16,D1C3T4,R02LF,2,low,fungus,NA,yes
17,D1C3T5,R04LF,4,low,fungus,NA,yes
18,D1C3T6,R02HS,2,high,sham,lost,yes
19,D1C4T1,R01LF,1,low,fungus,NA,yes
20,D1C4T2,R03CF,3,control,fungus,NA,yes
21,D1C4T3,R03HF,3,high,fungus,NA,yes
22,D1C4T4,R02CS,2,control,sham,NA,yes
23,D1C4T5,R04HS,4,high,sham,NA,yes
24,D1C4T6,R02HF,2,high,fungus,lost,yes
25,D2C1T1,R05LS,5,low,sham,NA,yes
26,D2C1T2,R05HF,5,high,fungus,NA,yes
27,D2C1T3,R06LF,6,low,fungus,NA,yes
28,D2C1T4,R07LF,7,low,fungus,NA,yes
29,D2C1T5,R07CF,7,control,fungus,NA,yes
30,D2C1T6,R08HF,8,high,fungus,NA,yes
31,D2C2T1,R05LF,5,low,fungus,NA,yes
32,D2C2T2,R05CF,5,control,fungus,NA,yes
33,D2C2T3,R06HF,6,high,fungus,NA,yes
34,D2C2T4,R07HS,7,high,sham,NA,yes
35,D2C2T5,R07LS,7,low,sham,NA,yes
36,D2C2T6,R08CS,8,control,sham,NA,yes
37,D2C3T1,R05HS,5,high,sham,NA,yes
38,D2C3T2,R06LS,6,low,sham,NA,yes
39,D2C3T3,R06CS,6,control,sham,NA,yes
40,D2C3T4,R07HF,7,high,fungus,NA,yes
41,D2C3T5,R08LF,8,low,fungus,NA,yes
42,D2C3T6,R08CF,8,control,fungus,NA,yes
43,D2C4T1,R05CS,5,control,sham,NA,yes
