REP_treat,treatment,antID,tagIDdecimal,identifStart,identifEnd,colony_size,Comment,Exposed,IsAlive,IsQueen,surviv_time,N_exposed,ExpStart,ExpEnd,ReturnExposed_time,ReturnExp_+2min,ReturnExp_+17min,ReturnExp_+32min,done on day,
R10BP,BP,83,288,NA,NA,186,NA,TRUE,TRUE,FALSE,2021-05-18 11:26:11,17,2021-05-14 12:03:10,2021-05-18 11:26:11,2021-05-17T11:11:35.000000000Z,2021-05-17T11:13:35,2021-05-17T11:28:00,2021-05-18T11:43:00,18/08/22,
R5SP,SP,33,585,NA,NA,33,NA,TRUE,TRUE,FALSE,2021-03-31 11:44:14,3,2021-03-27 11:23:00,2021-03-31 11:44:14,2021-03-30T11:33:10.000000000Z,2021-03-30T11:35:10,2021-03-31T11:50:10,2021-04-01T12:05:10,18/08/22,
R11BS,BS,149,477,NA,NA,195,NA,TRUE,TRUE,FALSE,2021-05-25 11:52:59,17,2021-05-21 10:25:16,2021-05-25 11:52:59,2021-05-24T11:45:23.000000000Z,2021-05-24T11:47:23,2021-05-24T12:02:23,2021-05-25T12:17:23,19/08/22,
R8SS,SS,15,264,NA,NA,32,NA,TRUE,TRUE,FALSE,2021-04-20 11:10:47,3,2021-04-16 10:34:36,2021-04-20 11:10:47,2021-04-19T11:01:00.000000000Z,2021-04-19T11:03:00,2021-04-20T11:18:00,2021-04-21T11:33:00,19/08/22,
R1BS,BS,84,326,NA,NA,155,NA,TRUE,TRUE,FALSE,2021-03-02 12:45:04,11,2021-02-26 11:46:02,2021-03-02 12:45:04,2021-03-01T12:32:04.764589326Z,2021-03-01T12:34:04,2021-03-02T12:49:04,2021-03-03T13:04:04,29/08/22,
R1SP,SP,13,291,NA,NA,35,NA,TRUE,TRUE,FALSE,2021-03-03 12:36:09,3,2021-02-27 12:00:37,2021-03-03 12:36:09,2021-03-02T12:25:55.869574991Z,2021-03-02T12:27:55,2021-03-02T12:40:55,2021-03-02T12:55:55,15/11/22,"NO OBS FOR 16 AS UPSIDE DOWN, REDONE WITH OTHER ANT OF COL"
R1SS,SS,22,448,NA,NA,29,NA,TRUE,TRUE,FALSE,2021-03-02 12:51:36,2,2021-02-26 11:56:24,2021-03-02 12:51:36,2021-03-01T12:38:26.843046670Z,2021-03-01T12:40:26,2021-03-01T12:55:26,2021-03-01T13:10:26,29/08/22,
R11BP,BP,45,156,NA,NA,176,NA,TRUE,TRUE,FALSE,2021-05-26 11:01:12,17,2021-05-22 11:27:45,2021-05-26 11:01:12,2021-05-25T10:53:54.789839743Z,2021-05-25T10:55:54,2021-05-26T11:10:54,2021-05-27T11:25:54,30/08/22,
R11SP,SP,29,465,NA,NA,34,NA,TRUE,TRUE,FALSE,2021-05-26 11:07:07,3,2021-05-22 11:21:28,2021-05-26 11:07:07,2021-05-25T10:58:52.513207286Z,2021-05-25T11:00:52,2021-05-25T11:15:52,2021-05-25T11:30:52,30/08/22,
R11SS,SS,13,203,NA,NA,32,NA,TRUE,TRUE,FALSE,2021-05-25 11:59:19,3,2021-05-21 10:25:04,2021-05-25 11:59:19,2021-05-24T11:50:32.815157394Z,2021-05-24T11:52:32,2021-05-25T12:07:32,2021-05-26T12:22:32,30/08/22,
R12BP,BP,166,520,NA,NA,192,NA,TRUE,TRUE,FALSE,2021-07-22 11:19:06,16,2021-07-18 10:03:16,2021-07-22 11:19:06,2021-07-21T11:10:06.007874343Z,2021-07-21T11:12:06,2021-07-22T11:27:06,2021-07-23T11:42:06,08/09/22,
R12BS,BS,90,267,NA,NA,194,NA,TRUE,TRUE,FALSE,2021-07-21 11:47:35,17,2021-07-17 10:10:54,2021-07-21 11:47:35,2021-07-20T11:35:01.790590966Z,2021-07-20T11:37:01,2021-07-21T11:52:01,2021-07-22T12:07:01,13/09/22,
R12SP,SP,11,367,NA,NA,29,NA,TRUE,TRUE,FALSE,2021-07-22 11:26:12,2,2021-07-18 10:07:07,2021-07-22 11:26:12,2021-07-21T11:15:30.425974958Z,2021-07-21T11:17:30,2021-07-21T11:32:32,2021-07-21T11:47:32,13/09/22,
R13BS,BS,103,329,NA,NA,181,NA,TRUE,TRUE,FALSE,2021-07-28 11:15:35,19,2021-07-24 10:13:58,2021-07-28 11:15:35,2021-07-27T11:01:48.983634875Z,2021-07-27T11:03:48,2021-07-27T11:18:48,2021-07-27T11:33:48,21/09/22,changing ant 23 with 11 as 23 stays on the wall for some time
R13SP,SP,27,531,NA,NA,29,NA,TRUE,TRUE,FALSE,2021-07-29 11:03:17,3,2021-07-25 10:36:27,2021-07-29 11:03:17,2021-07-28T10:52:10.091312287Z,2021-07-28T10:54:10,2021-07-28T11:09:10,2021-07-28T11:24:10,21/09/22,
