"concentration","fungus","petri_dish","ant_ID","survival","block","censor","colony"
0,"S","C1S",1,14,"2",0,"1"
0,"S","C1S",2,14,"2",0,"1"
0,"S","C1S",3,14,"2",0,"1"
0,"S","C1S",4,12,"2",1,"1"
0,"S","C1S",5,5,"2",1,"1"
0,"S","C1S",6,14,"2",0,"1"
0,"S","C1S",7,14,"2",0,"1"
0,"S","C1S",8,1,"2",1,"1"
0,"S","C1S",9,4,"2",1,"1"
0,"S","C1S",10,5,"2",1,"1"
0,"S","C1S",11,14,"2",0,"1"
0,"S","C1S",12,14,"2",0,"1"
0,"S","C1S",13,14,"2",0,"1"
0,"S","C1S",14,14,"2",0,"1"
0,"S","C1S",15,14,"2",0,"1"
0,"S","C1S",16,14,"2",0,"1"
0,"S","C1S",17,14,"2",0,"1"
0,"S","C1S",18,14,"2",0,"1"
0,"S","C1S",19,12,"2",1,"1"
0,"S","C1S",20,14,"2",0,"1"
0,"M","C1M",1,14,"2",0,"1"
0,"M","C1M",2,5,"2",1,"1"
0,"M","C1M",3,14,"2",0,"1"
0,"M","C1M",4,14,"2",0,"1"
0,"M","C1M",5,4,"2",1,"1"
0,"M","C1M",6,14,"2",0,"1"
0,"M","C1M",7,9,"2",1,"1"
0,"M","C1M",8,5,"2",1,"1"
0,"M","C1M",9,14,"2",0,"1"
0,"M","C1M",10,14,"2",0,"1"
0,"M","C1M",11,14,"2",0,"1"
0,"M","C1M",12,14,"2",0,"1"
0,"M","C1M",13,5,"2",1,"1"
0,"M","C1M",14,14,"2",0,"1"
0,"M","C1M",15,3,"2",1,"1"
0,"M","C1M",16,14,"2",0,"1"
0,"M","C1M",17,14,"2",0,"1"
0,"M","C1M",18,14,"2",0,"1"
0,"M","C1M",19,5,"2",1,"1"
0,"M","C1M",20,9,"2",1,"1"
5,"S","L1S",1,14,"1",0,"1"
5,"S","L1S",2,14,"1",0,"1"
5,"S","L1S",3,14,"1",0,"1"
5,"S","L1S",4,14,"1",0,"1"
5,"S","L1S",5,14,"1",0,"1"
5,"S","L1S",6,14,"1",0,"1"
5,"S","L1S",7,14,"1",0,"1"
5,"S","L1S",8,1,"1",1,"1"
5,"S","L1S",9,7,"1",1,"1"
5,"S","L1S",10,14,"1",0,"1"
5,"S","L1S",11,14,"1",0,"1"
5,"S","L1S",12,4,"1",1,"1"
5,"S","L1S",13,14,"1",0,"1"
5,"S","L1S",14,14,"1",0,"1"
5,"S","L1S",15,14,"1",0,"1"
5,"S","L1S",16,14,"1",0,"1"
5,"S","L1S",17,4,"1",1,"1"
5,"S","L1S",18,14,"1",0,"1"
5,"S","L1S",19,2,"1",1,"1"
5,"S","L1S",20,14,"1",0,"1"
5,"M","L1M",1,14,"1",0,"1"
5,"M","L1M",2,2,"1",1,"1"
5,"M","L1M",3,3,"1",1,"1"
5,"M","L1M",4,3,"1",1,"1"
5,"M","L1M",5,14,"1",0,"1"
5,"M","L1M",6,14,"1",0,"1"
5,"M","L1M",7,4,"1",1,"1"
5,"M","L1M",8,7,"1",1,"1"
5,"M","L1M",9,4,"1",1,"1"
5,"M","L1M",10,4,"1",1,"1"
5,"M","L1M",11,14,"1",0,"1"
5,"M","L1M",12,14,"1",0,"1"
5,"M","L1M",13,4,"1",1,"1"
5,"M","L1M",14,4,"1",1,"1"
5,"M","L1M",15,14,"1",0,"1"
5,"M","L1M",16,14,"1",0,"1"
5,"M","L1M",17,2,"1",1,"1"
5,"M","L1M",18,4,"1",1,"1"
5,"M","L1M",19,14,"1",0,"1"
5,"M","L1M",20,14,"1",0,"1"
50,"S","H1S",1,14,"1",0,"1"
50,"S","H1S",2,14,"1",0,"1"
50,"S","H1S",3,14,"1",0,"1"
50,"S","H1S",4,14,"1",0,"1"
50,"S","H1S",5,14,"1",0,"1"
50,"S","H1S",6,14,"1",0,"1"
50,"S","H1S",7,14,"1",0,"1"
50,"S","H1S",8,10,"1",1,"1"
50,"S","H1S",9,14,"1",0,"1"
50,"S","H1S",10,2,"1",1,"1"
50,"S","H1S",11,14,"1",0,"1"
50,"S","H1S",12,14,"1",0,"1"
50,"S","H1S",13,14,"1",0,"1"
50,"S","H1S",14,14,"1",0,"1"
50,"S","H1S",15,14,"1",0,"1"
50,"S","H1S",16,14,"1",0,"1"
50,"S","H1S",17,14,"1",0,"1"
50,"S","H1S",18,14,"1",0,"1"
50,"S","H1S",19,14,"1",0,"1"
50,"S","H1S",20,14,"1",0,"1"
50,"M","H1M",1,4,"1",1,"1"
50,"M","H1M",2,9,"1",1,"1"
50,"M","H1M",3,3,"1",1,"1"
50,"M","H1M",4,14,"1",0,"1"
50,"M","H1M",5,14,"1",0,"1"
50,"M","H1M",6,4,"1",1,"1"
50,"M","H1M",7,14,"1",0,"1"
50,"M","H1M",8,4,"1",1,"1"
50,"M","H1M",9,14,"1",0,"1"
50,"M","H1M",10,1,"1",1,"1"
50,"M","H1M",11,4,"1",1,"1"
50,"M","H1M",12,14,"1",0,"1"
50,"M","H1M",13,14,"1",0,"1"
50,"M","H1M",14,14,"1",0,"1"
50,"M","H1M",15,12,"1",1,"1"
50,"M","H1M",16,2,"1",1,"1"
50,"M","H1M",17,14,"1",0,"1"
50,"M","H1M",18,1,"1",1,"1"
50,"M","H1M",19,13,"1",1,"1"
50,"M","H1M",20,4,"1",1,"1"
0,"S","C2S",1,14,"2",0,"2"
0,"S","C2S",2,1,"2",1,"2"
0,"S","C2S",3,9,"2",1,"2"
0,"S","C2S",4,4,"2",1,"2"
0,"S","C2S",5,14,"2",0,"2"
0,"S","C2S",6,10,"2",1,"2"
0,"S","C2S",7,5,"2",1,"2"
0,"S","C2S",8,6,"2",1,"2"
0,"S","C2S",9,3,"2",1,"2"
0,"S","C2S",10,14,"2",0,"2"
0,"S","C2S",11,14,"2",0,"2"
0,"S","C2S",12,14,"2",0,"2"
0,"S","C2S",13,14,"2",0,"2"
0,"S","C2S",14,14,"2",0,"2"
0,"S","C2S",15,14,"2",0,"2"
0,"S","C2S",16,14,"2",0,"2"
0,"S","C2S",17,10,"2",1,"2"
0,"S","C2S",18,14,"2",0,"2"
0,"S","C2S",19,14,"2",0,"2"
0,"S","C2S",20,14,"2",0,"2"
0,"M","C2M",1,6,"2",1,"2"
0,"M","C2M",2,3,"2",1,"2"
0,"M","C2M",3,6,"2",1,"2"
0,"M","C2M",4,5,"2",1,"2"
0,"M","C2M",5,5,"2",1,"2"
0,"M","C2M",6,4,"2",1,"2"
0,"M","C2M",7,14,"2",0,"2"
0,"M","C2M",8,5,"2",1,"2"
0,"M","C2M",9,3,"2",1,"2"
0,"M","C2M",10,14,"2",0,"2"
0,"M","C2M",11,14,"2",0,"2"
0,"M","C2M",12,6,"2",1,"2"
0,"M","C2M",13,14,"2",0,"2"
0,"M","C2M",14,14,"2",0,"2"
0,"M","C2M",15,4,"2",1,"2"
0,"M","C2M",16,14,"2",0,"2"
0,"M","C2M",17,3,"2",1,"2"
0,"M","C2M",18,14,"2",0,"2"
0,"M","C2M",19,14,"2",0,"2"
0,"M","C2M",20,14,"2",0,"2"
5,"S","L2S",1,14,"2",0,"2"
5,"S","L2S",2,14,"2",0,"2"
5,"S","L2S",3,14,"2",0,"2"
5,"S","L2S",4,13,"2",1,"2"
5,"S","L2S",5,14,"2",0,"2"
5,"S","L2S",6,14,"2",0,"2"
5,"S","L2S",7,14,"2",0,"2"
5,"S","L2S",8,14,"2",0,"2"
5,"S","L2S",9,14,"2",0,"2"
5,"S","L2S",10,14,"2",0,"2"
5,"S","L2S",11,4,"2",1,"2"
5,"S","L2S",12,10,"2",1,"2"
5,"S","L2S",13,14,"2",0,"2"
5,"S","L2S",14,11,"2",1,"2"
