nr	colony	petridish	treatment	sample_type	concentration	fluorescence
1	NA	NA	std_curve	std_curve_second_run_1	5	247004.75
2	NA	NA	std_curve	std_curve_second_run_1	2.5	87938
3	NA	NA	std_curve	std_curve_second_run_1	1.25	57783.5
4	NA	NA	std_curve	std_curve_second_run_1	0.625	37036.25
5	NA	NA	std_curve	std_curve_second_run_1	0.3125	13543.75
6	NA	NA	std_curve	std_curve_second_run_1	0.15625	7935
7	NA	NA	std_curve	std_curve_second_run_1	0.078125	4941.25
8	NA	NA	std_curve	std_curve_second_run_1	0.0390625	2707.5
1	NA	NA	std_curve	std_curve_second_run_2	5	248901
2	NA	NA	std_curve	std_curve_second_run_2	2.5	193481.75
3	NA	NA	std_curve	std_curve_second_run_2	1.25	69833.5
4	NA	NA	std_curve	std_curve_second_run_2	0.625	40712.5
5	NA	NA	std_curve	std_curve_second_run_2	0.3125	30895.5
6	NA	NA	std_curve	std_curve_second_run_2	0.15625	16693.5
7	NA	NA	std_curve	std_curve_second_run_2	0.078125	5794.75
8	NA	NA	std_curve	std_curve_second_run_2	0.0390625	3109.5
1	C56	2.1	control	ant	NA	612.75
2	C56	2.1	control	ant	NA	1336
3	C56	2.1	control	ant	NA	14956.75
4	C56	2.1	control	ant	NA	20762.5
5	C56	2.1	control	ant	NA	19033.5
6	C56	2.1	control	ant	NA	8367
7	C56	2.1	control	ant	NA	16955.25
8	C56	2.1	control	ant	NA	16475.5
9	C56	2.1	control	ant	NA	12689
10	C56	2.1	control	ant	NA	9384.75
11	C56	2.1	control	ant	NA	26826
12	C56	2.1	control	ant	NA	20740.75
13	C56	2.1	control	ant	NA	19019.75
14	C56	2.1	control	ant	NA	15593.25
15	C56	2.1	control	ant	NA	739
16	C56	2.1	control	ant	NA	5596.25
17	C56	2.1	control	ant	NA	8588.75
18	C56	2.1	control	ant	NA	6150
19	C56	2.1	control	ant	NA	4118.75
1	C56	2.2	low	ant	NA	15272
2	C56	2.2	low	ant	NA	9769
3	C56	2.2	low	ant	NA	15257.5
4	C56	2.2	low	ant	NA	11389.75
5	C56	2.2	low	ant	NA	689.5
6	C56	2.2	low	ant	NA	2227
7	C56	2.2	low	ant	NA	9924.5
8	C56	2.2	low	ant	NA	1245
9	C56	2.2	low	ant	NA	10301.25
10	C56	2.2	low	ant	NA	13507
11	C56	2.2	low	ant	NA	17054.5
12	C56	2.2	low	ant	NA	15344.75
13	C56	2.2	low	ant	NA	10521.25
14	C56	2.2	low	ant	NA	1698.5
15	C56	2.2	low	ant	NA	9259.75
16	C56	2.2	low	ant	NA	701
17	C56	2.2	low	ant	NA	867
18	C56	2.2	low	ant	NA	10030.5
19	C56	2.2	low	ant	NA	13046.25
20	C56	2.2	low	ant	NA	10116
21	C56	2.2	low	ant	NA	4789.25
1	C56	2.3	mid	ant	NA	16978.5
2	C56	2.3	mid	ant	NA	5304.5
3	C56	2.3	mid	ant	NA	4217.75
4	C56	2.3	mid	ant	NA	12775.25
5	C56	2.3	mid	ant	NA	6839.25
6	C56	2.3	mid	ant	NA	4335.5
