concentration,fungus,petri_dish,ant_ID,survival,censor
0,S,C1,1,11,1
0,F,C1,2,4,1
5,S,C1,3,14,0
5,F,C1,4,2,1
50,S,C1,5,4,1
50,F,C1,6,2,1
0,S,C1,7,14,0
0,F,C1,8,14,0
5,S,C1,9,9,1
5,F,C1,10,3,1
50,S,C1,11,,
50,F,C1,12,,
0,S,C2,1,5,1
0,F,C2,2,1,1
5,S,C2,3,14,0
5,F,C2,4,3,1
50,S,C2,5,14,0
50,F,C2,6,3,1
0,S,C2,7,1,1
0,F,C2,8,1,1
5,S,C2,9,14,0
5,F,C2,10,3,1
50,S,C2,11,14,0
50,F,C2,12,3,1
0,S,C3,1,7,1
0,F,C3,2,4,1
5,S,C3,3,7,1
5,F,C3,4,2,1
50,S,C3,5,14,0
50,F,C3,6,1,1
0,S,C3,7,2,1
0,F,C3,8,1,1
5,S,C3,9,14,0
5,F,C3,10,14,0
50,S,C3,11,14,0
50,F,C3,12,3,1
0,S,C4,1,3,1
0,F,C4,2,1,1
5,S,C4,3,14,0
5,F,C4,4,2,1
50,S,C4,5,14,0
50,F,C4,6,5,1
0,S,C4,7,3,1
0,F,C4,8,2,1
5,S,C4,9,14,0
5,F,C4,10,1,1
50,S,C4,11,3,1
50,F,C4,12,1,1
0,S,C5,1,1,1
0,F,C5,2,3,1
5,S,C5,3,14,0
5,F,C5,4,3,1
50,S,C5,5,1,1
50,F,C5,6,,
0,S,C5,7,1,1
0,F,C5,8,3,1
5,S,C5,9,1,1
5,F,C5,10,,
50,S,C5,11,,
50,F,C5,12,,
0,S,C6,1,14,0
0,F,C6,2,3,1
5,S,C6,3,2,1
5,F,C6,4,1,1
50,S,C6,5,1,1
50,F,C6,6,3,1
0,S,C6,7,14,0
0,F,C6,8,1,1
5,S,C6,9,1,1
5,F,C6,10,1,1
50,S,C6,11,1,1
50,F,C6,12,4,1
0,S,C7,1,1,1
0,F,C7,2,2,1
5,S,C7,3,14,0
5,F,C7,4,3,1
50,S,C7,5,1,1
50,F,C7,6,3,1
0,S,C7,7,3,1
0,F,C7,8,2,1
5,S,C7,9,14,0
5,F,C7,10,4,1
50,S,C7,11,,
50,F,C7,12,,
0,S,C8,1,14,0
0,F,C8,2,4,1
5,S,C8,3,4,1
5,F,C8,4,4,1
50,S,C8,5,14,0
50,F,C8,6,3,1
0,S,C8,7,14,0
0,F,C8,8,4,1
5,S,C8,9,14,0
5,F,C8,10,5,1
50,S,C8,11,9,1
50,F,C8,12,4,1
0,S,C9,1,14,0
0,F,C9,2,4,1
5,S,C9,3,14,0
5,F,C9,4,3,1
50,S,C9,5,14,0
50,F,C9,6,4,1
0,S,C9,7,2,1
0,F,C9,8,5,1
5,S,C9,9,14,0
5,F,C9,10,3,1
50,S,C9,11,14,0
50,F,C9,12,8,1
0,S,C10,1,5,1
0,F,C10,2,4,1
5,S,C10,3,10,1
5,F,C10,4,3,1
50,S,C10,5,14,0
50,F,C10,6,4,1
0,S,C10,7,14,0
0,F,C10,8,4,1
5,S,C10,9,14,0
5,F,C10,10,4,1
50,S,C10,11,1,1
50,F,C10,12,1,1
0,S,C11,1,14,0
0,F,C11,2,4,1
5,S,C11,3,14,0
5,F,C11,4,4,1
50,S,C11,5,1,1
50,F,C11,6,3,1
0,S,C11,7,14,0
0,F,C11,8,14,0
5,S,C11,9,14,0
5,F,C11,10,14,0
50,S,C11,11,3,1
50,F,C11,12,2,1
0,S,C12,1,14,0
0,F,C12,2,1,1
5,S,C12,3,2,1
5,F,C12,4,14,0
50,S,C12,5,5,1
50,F,C12,6,8,1
0,S,C12,7,4,1
0,F,C12,8,3,1
5,S,C12,9,1,1
5,F,C12,10,14,0
50,S,C12,11,14,0
50,F,C12,12,4,1
0,S,C13,1,14,0
0,F,C13,2,3,1
5,S,C13,3,3,1
5,F,C13,4,1,1
50,S,C13,5,1,1
50,F,C13,6,8,1
0,S,C13,7,9,1
0,F,C13,8,8,1
5,S,C13,9,14,0
5,F,C13,10,14,0
50,S,C13,11,14,0
50,F,C13,12,14,0
0,S,C14,1,13,1
0,F,C14,2,4,1
5,S,C14,3,5,1
5,F,C14,4,2,1
50,S,C14,5,3,1
50,F,C14,6,13,1
0,S,C14,7,4,1
0,F,C14,8,5,1
5,S,C14,9,2,1
5,F,C14,10,3,1
50,S,C14,11,,
50,F,C14,12,3,1
0,S,C15,1,8,1
0,F,C15,2,3,1
5,S,C15,3,7,1
5,F,C15,4,2,1
50,S,C15,5,14,0
50,F,C15,6,3,1
0,S,C15,7,3,1
0,F,C15,8,4,1
5,S,C15,9,14,0
5,F,C15,10,14,0
50,S,C15,11,14,0
50,F,C15,12,3,1
0,S,C16,1,14,0
0,F,C16,2,3,1
5,S,C16,3,14,0
5,F,C16,4,2,1
50,S,C16,5,14,0
50,F,C16,6,3,1
0,S,C16,7,2,1
0,F,C16,8,4,1
5,S,C16,9,7,1
5,F,C16,10,4,1
50,S,C16,11,2,1
50,F,C16,12,4,1
