"colony_id","tagID","treatment","treatment_simple","antID","tagIDdecimal","identifStart","identifEnd","AntTask1perc","prop_time_outside","box","colony_size","unique_ant_ID","comments_meta_data","IsTreated","IsAlive","IsQueen","surviv_time","position","food_source","bead_colour","feeding_duration","feeding_exclusion","status_ant","treatment_time","exp_stop_time","exp_start_time","sampling_time","glass_beads","meta_ID","tag_reoriented","N_treated","count","last_det","rot","AntTask_facet","ScanTime","freezer_container","freezer_container_position","PosID","flowjo_plate","flowjo_row_well","flowjo_column_strip","flowjo_name","yellow_count_YB","blue_count_NB","flowjo_sampletype","comments_flowcytometry","yellow_beads_cor","blue_beads_cor"
"c01",0,NA,"control",1,0,NA,NA,"queen",0,"trojan",161,"c01_0x000",NA,FALSE,TRUE,TRUE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,1,FALSE,16,"940453","583555","-174.17","queen","2022-03-11T15:36:08Z","Box01","A01","Box01_A01",NA,NA,NA,NA,NA,NA,NA,"queen",NA,NA
"c01",10,NA,"control",2,10,NA,"2022-03-09 09:02:08","forager",0.158,"trojan",161,"c01_0x00a","crushed during sampling",FALSE,FALSE,FALSE,"2022-03-09 09:02:08",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,2,FALSE,16,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c01",15,NA,"control",3,15,NA,"2022-03-09 11:52:39","forager",0.08,"trojan",161,"c01_0x00f","escaped",FALSE,TRUE,FALSE,"2022-03-09 11:52:39",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,3,FALSE,16,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c01",17,NA,"control",4,17,NA,NA,"forager",0.179,"trojan",161,"c01_0x011",NA,TRUE,TRUE,FALSE,"2022-03-09 14:00:13","p1","control","yellow",564,1,"treated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,4,FALSE,16,"806442","573900","92.757","forager","2022-03-11T17:16:41Z","Box01","H12","Box01_H12","p21","H",1,"H1_Sample08.fcs",2,0,"sample",NA,-1,-3
"c01",22,NA,"control",5,22,NA,NA,"forager",0.309,"trojan",161,"c01_0x016",NA,FALSE,TRUE,FALSE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,5,FALSE,16,"931476","583555","172.168","forager","2022-03-11T17:06:50Z","Box01","A10","Box01_A10","p21","A",10,"A10_Sample73.fcs",18,21,"sample",NA,15,18
"c01",25,NA,"control",6,25,NA,NA,"nurse",0,"trojan",161,"c01_0x019",NA,FALSE,TRUE,FALSE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,6,FALSE,16,"882516","581967","170.473","nurse","2022-03-11T16:54:55Z","Box01","C06","Box01_C06","p21","C",6,"C6_Sample43.fcs",0,0,"sample",NA,-3,-3
"c01",32,NA,"control",7,32,NA,NA,"forager",0.118,"trojan",161,"c01_0x020",NA,FALSE,TRUE,FALSE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,7,FALSE,16,"941162","583555","-85.309","forager","2022-03-11T17:33:49Z","Box02","G02","Box02_G02","p22","G",2,"G2_Sample15.fcs",0,0,"sample",NA,-3,-3
"c01",45,NA,"control",8,45,NA,NA,"forager",0.019,"trojan",161,"c01_0x02d",NA,FALSE,TRUE,FALSE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,8,FALSE,16,"934461","583555","90.004","forager","2022-03-11T17:32:20Z","Box02","C02","Box02_C02","p22","C",2,"C2_Sample11.fcs",0,0,"sample",NA,-3,-3
"c01",56,NA,"control",9,56,NA,NA,"nurse",0.01,"trojan",161,"c01_0x038",NA,FALSE,TRUE,FALSE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,9,FALSE,16,"920047","583555","-90.655","nurse","2022-03-11T17:32:37Z","Box02","D02","Box02_D02","p22","D",2,"D2_Sample12.fcs",10,3,"sample",NA,7,0
"c01",70,NA,"control",10,70,NA,NA,"forager",0.073,"trojan",161,"c01_0x046",NA,FALSE,TRUE,FALSE,"2022-03-09 14:00:13",NA,NA,NA,NA,NA,"untreated","2022-03-09 11:00:13","2022-03-09 14:00:13","2022-03-08 09:00:00","2022-03-09 09:00:00",NA,10,FALSE,16,"874938","583550","92.584","forager","2022-03-11T16:49:52Z","Box01","C05","Box01_C05","p21","C",5,"C5_Sample35.fcs",3,1,"sample",NA,0,-2
