"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
103,114,2022-03-08 10:00:13,2022-03-08 10:00:36,1,140,1,"1-1",6999.29710812846,3510.80248489051,1.53226288477412,6868.79222258618,3636.4665504054,-0.245294534165492,"1","1",36,"ant_103","ant_114","103_114",2022-03-08 10:00:13,2022-03-08 10:00:36,1646733613.289,1646733636.456,1,140,23.3336667219798,70,"ant_114","ant_103",1,"whole_experiment","c01"
112,160,2022-03-08 10:00:33,2022-03-08 10:01:00,120,285,1,"1-1",5340.82567832476,1459.38925700973,2.19277963634925,5263.48628106982,1629.02472328545,-1.48796955646717,"1","1",166,"ant_112","ant_160","112_160",2022-03-08 10:00:33,2022-03-08 10:01:00,1646733633.122,1646733660.622,120,285,27.6666666666667,134,"ant_112","ant_160",1,"whole_experiment","c01"
20,142,2022-03-08 10:01:09,2022-03-08 10:01:18,339,395,1,"1-1",6303.740248423,2076.06733825832,0.0419093075903107,6511.59996328319,2082.81277792503,2.83947218916748,"1","1",13,"ant_20","ant_142","20_142",2022-03-08 10:01:09,2022-03-08 10:01:18,1646733669.622,1646733678.956,339,395,9.50066677729289,178,"ant_20","ant_142",1,"whole_experiment","c01"
94,95,2022-03-08 10:01:20,2022-03-08 10:01:27,406,446,1,"1-1",6171.20436658538,3852.05049051841,-0.0766912264416578,6293.99547253634,3960.98734334941,-1.64470995128721,"1","1",41,"ant_94","ant_95","94_95",2022-03-08 10:01:20,2022-03-08 10:01:27,1646733680.789,1646733687.456,406,446,6.83366672197978,195,"ant_95","ant_94",1,"whole_experiment","c01"
9,73,2022-03-08 10:01:27,2022-03-08 10:01:43,447,541,1,"1-1",6554.27832660735,1789.0993350164,1.52632007892974,6585.25806559112,1987.60510028241,-2.14975498022653,"1","1",74,"ant_9","ant_73","9_73",2022-03-08 10:01:27,2022-03-08 10:01:43,1646733687.622,1646733703.289,447,541,15.8336667219798,232,"ant_73","ant_9",1,"whole_experiment","c01"
58,94,2022-03-08 10:02:00,2022-03-08 10:02:24,645,789,1,"1-1",6074.02518751843,3598.34365706829,-0.126778262352961,6257.79085284995,3664.30188599462,-2.19528272496625,"1","1",137,"ant_58","ant_94","58_94",2022-03-08 10:02:00,2022-03-08 10:02:24,1646733720.623,1646733744.623,645,789,24.1666666666667,314,"ant_58","ant_94",1,"whole_experiment","c01"
11,89,2022-03-08 10:02:18,2022-03-08 10:02:28,754,812,1,"1-1",6452.0528066479,3448.41047713747,2.21856094425467,6441.45015425266,3640.98832708756,-1.83478995060549,"1","1",50,"ant_11","ant_89","11_89",2022-03-08 10:02:18,2022-03-08 10:02:28,1646733738.789,1646733748.456,754,812,9.83366672197978,316,"ant_11","ant_89",1,"whole_experiment","c01"
73,157,2022-03-08 10:02:28,2022-03-08 10:02:36,810,858,1,"1-1",6547.96853906853,2015.13794401166,-1.94763236620208,6598.59446066793,1844.70065767944,2.05249742189613,"1","1",49,"ant_73","ant_157","73_157",2022-03-08 10:02:28,2022-03-08 10:02:36,1646733748.123,1646733756.123,810,858,8.16666666666667,328,"ant_157","ant_73",1,"whole_experiment","c01"
52,78,2022-03-08 10:02:13,2022-03-08 10:02:55,722,975,1,"1-1",4935.56459875989,1497.49842300662,-0.121223167896086,5126.07322306492,1449.35485022731,-2.96096387592619,"1","1",242,"ant_52","ant_78","52_78",2022-03-08 10:02:13,2022-03-08 10:02:55,1646733733.456,1646733775.623,722,975,42.3336664835612,354,"ant_52","ant_78",1,"whole_experiment","c01"
36,153,2022-03-08 10:04:07,2022-03-08 10:04:22,1405,1499,1,"1-1",5176.33567684429,1958.21406532272,1.62313290868306,5236.98952492753,2125.14528771459,-2.64524342568992,"1","1",86,"ant_36","ant_153","36_153",2022-03-08 10:04:07,2022-03-08 10:04:22,1646733847.29,1646733862.957,1405,1499,15.8336667219798,528,"ant_153","ant_36",1,"whole_experiment","c01"
75,124,2022-03-08 10:03:28,2022-03-08 10:04:42,1174,1618,1,"1-1",6498.2536662328,4290.61592022454,-2.65562197279163,6347.77060670521,4202.93745442676,0.576356338288176,"1","1",329,"ant_75","ant_124","75_124",2022-03-08 10:03:28,2022-03-08 10:04:42,1646733808.79,1646733882.791,1174,1618,74.1676665941874,575,"ant_75","ant_124",1,"whole_experiment","c01"
8,119,2022-03-08 10:04:54,2022-03-08 10:05:09,1687,1781,1,"1-1",7500.17388097328,3590.38173715225,-2.93038575926828,7381.59404117018,3625.67837003903,-1.82332825093246,"1","1",95,"ant_8","ant_119","8_119",2022-03-08 10:04:54,2022-03-08 10:05:09,1646733894.291,1646733909.957,1687,1781,15.832666794459,646,"ant_119","ant_8",1,"whole_experiment","c01"
32,144,2022-03-08 10:05:07,2022-03-08 10:06:33,1767,2284,1,"1-1",5749.54681165422,3137.27768894184,1.3684287627478,5811.45552622473,3311.29046860053,-1.70427637657521,"1","1",505,"ant_32","ant_144","32_144",2022-03-08 10:05:07,2022-03-08 10:06:33,1646733907.624,1646733993.791,1767,2284,86.3336664835612,822,"ant_32","ant_144",1,"whole_experiment","c01"
23,99,2022-03-08 10:07:45,2022-03-08 10:08:18,2715,2910,1,"1-1",5121.03642606274,2060.62013288456,2.81503636637977,4937.55358872936,2159.13719323536,-0.419800051023386,"1","1",167,"ant_23","ant_99","23_99",2022-03-08 10:07:45,2022-03-08 10:08:18,1646734065.625,1646734098.125,2715,2910,32.6666666666667,1026,"ant_99","ant_23",1,"whole_experiment","c01"
88,152,2022-03-08 10:07:59,2022-03-08 10:08:44,2801,3069,1,"1-1",7500.56909094167,3423.94950386675,-2.13570491865435,7480.56888476511,3257.492856795,2.01730689366318,"1","1",237,"ant_88","ant_152","88_152",2022-03-08 10:07:59,2022-03-08 10:08:44,1646734079.959,1646734124.626,2801,3069,44.8336664835612,1083,"ant_88","ant_152",1,"whole_experiment","c01"
94,111,2022-03-08 10:08:46,2022-03-08 10:08:59,3083,3159,1,"1-1",5922.07846213365,3523.90667760054,-0.376792060452686,6105.51708256267,3440.14656399769,2.99304064323107,"1","1",77,"ant_94","ant_111","94_111",2022-03-08 10:08:46,2022-03-08 10:08:59,1646734126.959,1646734139.626,3083,3159,12.8336664835612,1119,"ant_111","ant_94",1,"whole_experiment","c01"
68,122,2022-03-08 10:06:39,2022-03-08 10:09:15,2319,3256,1,"1-1",7229.99725022621,2534.2228378083,0.87506289862287,7365.24256902134,2668.69823798808,-2.24662251605581,"1","1",855,"ant_68","ant_122","68_122",2022-03-08 10:06:39,2022-03-08 10:09:15,1646733999.625,1646734155.793,2319,3256,156.334666649501,1152,"ant_122","ant_68",1,"whole_experiment","c01"
1,109,2022-03-08 10:08:57,2022-03-08 10:09:53,3146,3481,1,"1-1",6780.76636068223,2342.61516864669,-2.91480008066504,6401.75079134437,2328.20091825107,0.456848495089592,"1","1",188,"ant_1","ant_109","1_109",2022-03-08 10:08:57,2022-03-08 10:09:53,1646734137.459,1646734193.292,3146,3481,55.9996666113536,1225,"ant_1","ant_109",1,"whole_experiment","c01"
67,94,2022-03-08 10:11:23,2022-03-08 10:11:27,4024,4045,1,"1-1",6007.47336251823,3274.31290409028,1.25264483292562,6092.34031847286,3470.01710964525,-1.94421061049963,"1","1",22,"ant_67","ant_94","67_94",2022-03-08 10:11:23,2022-03-08 10:11:27,1646734283.791,1646734287.291,4024,4045,3.66666666666667,1380,"ant_67","ant_94",1,"whole_experiment","c01"
7,123,2022-03-08 10:12:35,2022-03-08 10:12:48,4454,4531,1,"1-1",5887.38852753798,3717.66363823975,2.13986219621542,5802.02428404657,3888.3155919311,-1.51016381192356,"1","1",68,"ant_7","ant_123","7_123",2022-03-08 10:12:35,2022-03-08 10:12:48,1646734355.458,1646734368.291,4454,4531,12.9996666113536,1542,"ant_123","ant_7",1,"whole_experiment","c01"
11,113,2022-03-08 10:12:04,2022-03-08 10:13:29,4268,4778,1,"1-1",6319.39953461532,3128.450223925,0.591559320300097,6476.87112350819,3230.44951579937,-2.3294643511704,"1","1",332,"ant_11","ant_113","11_113",2022-03-08 10:12:04,2022-03-08 10:13:29,1646734324.458,1646734409.457,4268,4778,85.1656667391459,1621,"ant_11","ant_113",1,"whole_experiment","c01"
