"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
89,97,2022-04-18 10:06:43,2022-04-18 10:06:50,38,84,1,"1-1",5457.43122838826,3198.91964100784,-1.14413254766549,5610.53106312943,3103.87382884285,2.90129481865673,"1","1",47,"ant_89","ant_97","89_97",2022-04-18 10:06:43,2022-04-18 10:06:50,1650276403.279,1650276410.946,38,84,7.83366672197978,19,"ant_97","ant_89",1,"whole_experiment","c23"
33,105,2022-04-18 10:07:51,2022-04-18 10:08:48,448,788,1,"1-1",7150.58718941335,3070.46225673141,-0.587298450027357,7328.95015236844,3077.29481447925,-2.69123080761399,"1","1",340,"ant_33","ant_105","33_105",2022-04-18 10:07:51,2022-04-18 10:08:48,1650276471.613,1650276528.28,448,788,56.8336667219798,199,"ant_105","ant_33",1,"whole_experiment","c23"
1,30,2022-04-18 10:08:48,2022-04-18 10:09:23,790,1001,1,"1-1",7276.60969807968,2395.88783402057,-1.77248042609302,7367.01765436703,2156.02761497725,-2.43304169292202,"1","1",182,"ant_1","ant_30","1_30",2022-04-18 10:08:48,2022-04-18 10:09:23,1650276528.613,1650276563.78,790,1001,35.3336667219798,245,"ant_1","ant_30",1,"whole_experiment","c23"
132,143,2022-04-18 10:09:51,2022-04-18 10:09:58,1168,1207,1,"1-1",6834.99793843954,3732.53639985002,-1.98883652644079,6691.1302270695,3572.34309987219,0.634656413119071,"1","1",19,"ant_132","ant_143","132_143",2022-04-18 10:09:51,2022-04-18 10:09:58,1650276591.613,1650276598.113,1168,1207,6.66666666666667,280,"ant_143","ant_132",1,"whole_experiment","c23"
3,145,2022-04-18 10:10:21,2022-04-18 10:10:28,1347,1389,1,"1-1",6804.40442504653,3958.72446162942,-2.44729748614491,6618.87367873151,3868.31189134781,0.0247639997020365,"1","1",38,"ant_3","ant_145","3_145",2022-04-18 10:10:21,2022-04-18 10:10:28,1650276621.447,1650276628.447,1347,1389,7.16666666666667,323,"ant_3","ant_145",1,"whole_experiment","c23"
34,39,2022-04-18 10:10:04,2022-04-18 10:11:02,1245,1596,1,"1-1",6415.34868665507,1990.3554499302,-0.907639536905019,6575.91660811927,1894.55768135326,2.89877646393378,"1","1",247,"ant_34","ant_39","34_39",2022-04-18 10:10:04,2022-04-18 10:11:02,1650276604.447,1650276662.947,1245,1596,58.6666666666667,360,"ant_39","ant_34",1,"whole_experiment","c23"
70,125,2022-04-18 10:11:35,2022-04-18 10:11:39,1794,1817,1,"1-1",6954.77933706517,2632.2821716476,3.00272301645912,6780.54617500905,2719.17993281873,-0.696768148223745,"1","1",24,"ant_70","ant_125","70_125",2022-04-18 10:11:35,2022-04-18 10:11:39,1650276695.947,1650276699.781,1794,1817,4.00066653887431,393,"ant_70","ant_125",1,"whole_experiment","c23"
50,81,2022-04-18 10:11:27,2022-04-18 10:11:41,1742,1827,1,"1-1",6140.40313474149,1592.86136789694,2.84146560068283,6029.34474160754,1744.57156375347,-1.07028044943815,"1","1",86,"ant_50","ant_81","50_81",2022-04-18 10:11:27,2022-04-18 10:11:41,1650276687.28,1650276701.447,1742,1827,14.3336667219798,397,"ant_50","ant_81",1,"whole_experiment","c23"
9,92,2022-04-18 10:12:07,2022-04-18 10:12:29,1982,2113,1,"1-1",5799.22112728843,4055.10876927396,-0.0498982474659993,5977.0338812442,4068.26157995273,-2.95609076435326,"1","1",132,"ant_9","ant_92","9_92",2022-04-18 10:12:07,2022-04-18 10:12:29,1650276727.281,1650276749.114,1982,2113,21.9996668497721,453,"ant_92","ant_9",1,"whole_experiment","c23"
30,123,2022-04-18 10:13:21,2022-04-18 10:14:00,2428,2662,1,"1-1",6190.13547422188,4243.53609741194,-2.39963547318714,6118.8435407807,4080.96139986458,1.53979627746539,"1","1",235,"ant_30","ant_123","30_123",2022-04-18 10:13:21,2022-04-18 10:14:00,1650276801.614,1650276840.614,2428,2662,39.1666666666667,567,"ant_30","ant_123",1,"whole_experiment","c23"
