nr_neonic_analyses	nr_during_experiment	nr_virusanalyses	virus_qualitative	virus_titer	virus_titer_2	id	neonic_analyses	virus_analyses	treatment_1	treatment_2	treatment	TREATMENT_LARS	death_date	final	nr_adults 	sample	conc_thiamethoxam	conc_clothinianidin	nr_abdomens	fresh_weight_abdomen	dry_weight_abdomen	final_volume(ml)	conc_T_dry	conc_C_dry	death_date	death_date	ctd_w	ctd_q	ccd_w	ccd_q		
1	1	1	n	0	0.00E+00	C1V	y	y	control	virus	2	4	NA	y	197	worker	0	0	40	25.1	13.7	0.2	0	0	NA	NA	0	0.132450331	0	0.139072848		
2	2	2	n	0	0.00E+00	C2C	y	y	control	control	1	1	NA	y	289	worker	0	0	39	25.3	15	0.2	0	0	NA	NA	0	0	0	0		
3	3	3	n	0	0.00E+00	C3C	y	y	control	control	1	1	NA	y	219	worker	0	0	40	25.0	14.2	0.2	0	0	NA	NA	0	0	0	0		
4	4	4	y	47005.5647	4.70E+04	C4V	y	y	control	virus	2	4	NA	y	235	worker	0	0	49	24.3	12.9	0.2	0	0	NA	NA	0	0	0	0		
5	5	5	y	49594.31133	4.96E+04	C5V	y	y	control	virus	2	4	NA	y	174	worker	0	0	44	25.0	13.7	0.2	0	0	NA	NA	0	0	0	0		
6	6	6	n	0	0.00E+00	C6C	y	y	control	control	1	1	NA	y	392	worker	0	0	45	25.1	14.9	0.2	0	0	NA	NA	0	0	0	0		
7	7	7	n	0	0.00E+00	C7C	y	y	control	control	1	1	NA	y	231	worker	0	0	50	24.8	12.3	0.2	0	0	NA	NA	0	0	0	0		
8	8	8	NA	NA	NA	C8V	y	n	control	virus	2	4	NA	y	107	worker	0	0	42	25.3	12.4	0.2	0	0	NA	NA	0	0	0	0		
9	10	9	n	0	0.00E+00	C10C	y	y	control	control	1	1	NA	y	293	worker	0	0	54	25.0	12.5	0.2	0	0	NA	NA	0	0	0	0		
10	11	10	n	0	0.00E+00	C11V	y	y	control	virus	2	4	NA	y	155	worker	0	0	58	24.9	13.9	0.2	0	0	NA	NA	0	0	0	0		
11	13	11	n	0	0.00E+00	C13V	y	y	control	virus	2	4	NA	y	294	worker	0	0	49	25.2	14.2	0.2	0	0	NA	NA	0	0	0	0		
12	14	12	n	0	0.00E+00	C14C	y	y	control	control	1	1	NA	y	230	worker	0	0	43	25.3	14.1	0.2	0	0	NA	NA	0	0	0	0		
13	17	13	n	0	0.00E+00	C17V	y	y	control	virus	2	4	NA	y	144	worker	0	0	52	25.1	14	0.2	0	0	NA	NA	0	0	0	0		
14	18	14	y	12621.131	1.26E+04	C18V	y	y	control	virus	2	4	NA	y	245	worker	0	0	42	25.1	15.3	0.2	0	0	NA	NA	0	0	0	0		
15	19	15	n	0	0.00E+00	C19C	y	y	control	control	1	1	NA	y	348	worker	0	0	43	25.0	15.2	0.2	0	0	NA	NA	0	0	0	0		
16	20	16	n	0	0.00E+00	C20C	y	y	control	control	1	1	NA	y	292	worker	0	0	43	25.0	14.4	0.2	0	0	NA	NA	0	0	0	0		
17	21	17	n	0	0.00E+00	L1V	y	y	low	virus	4	5	NA	y	142	worker	0.0112	0	47	25.3	14.1	0.2	0.158865248	0	NA	NA	0.158865248	0.185620915	0	0		
18	22	18	y	13640.22056	1.36E+04	L2V	y	y	low	virus	4	5	NA	y	131	worker	0.0174	0.0118	53	24.9	13.3	0.2	0.261654135	0.177443609	NA	NA	0.261654135	0.250704225	0.177443609	0		
19	24	19	n	0	0.00E+00	L4C	y	y	low	control	3	2	NA	y	189	worker	0.0074	0.0124	49	25.3	13.9	0.2	0.10647482	0.178417266	NA	NA	0.10647482	0.13836478	0.178417266	0		
20	25	20	n	0	0.00E+00	L5V	y	y	low	virus	4	5	NA	y	203	worker	0.0184	0.0091	50	24.9	15.2	0.2	0.242105263	0.119736842	NA	NA	0.242105263	0.265945946	0.119736842	0		
21	26	21	n	0	0.00E+00	L6C	y	y	low	control	3	2	NA	y	155	worker	0.0094	0.0196	47	25.3	15.4	0.2	0.122077922	0.254545455	NA	NA	0.122077922	0.084974093	0.254545455	0		
22	27	22	n	0	0.00E+00	L7C	y	y	low	control	3	2	NA	y	187	worker	0.0115	0.0205	42	25.3	14.3	0.2	0.160839161	0.286713287	NA	NA	0.160839161	0.188636364	0.286713287	0		
23	28	23	n	0	0.00E+00	L8C	y	y	low	control	3	2	NA	y	201	worker	0.0189	0.0131	41	25.1	16	0.2	0.23625	0.16375	NA	NA	0.23625	0.166019417	0.16375	0		
24	29	24	n	0	0.00E+00	L9V	y	y	low	virus	4	5	NA	y	172	worker	0.0093	0.0223	43	25.2	16.2	0.2	0.114814815	0.275308642	NA	NA	0.114814815	0.141463415	0.275308642	0		
25	31	25	n	0	0.00E+00	L11C	y	y	low	control	3	2	NA	y	163	worker	0.0065	0.0107	43	25.0	14.6	0.2	0.089041096	0.146575342	NA	NA	0.089041096	0.140512821	0.146575342	0		
26	32	26	y	744527.2208	7.45E+05	L12V	y	y	low	virus	4	5	NA	y	171	worker	0.0079	0.0179	44	24.9	13.8	0.2	0.114492754	0.25942029	NA	NA	0.114492754	0.159183673	0.25942029	0		
27	33	27	y	335794.451	3.36E+05	L13V	y	y	low	virus	4	5	NA	y	204	worker	0.026	0.0122	55	24.7	14	0.2	0.371428571	0.174285714	NA	NA	0.371428571	0.064545455	0.174285714	0		
28	35	28	y	106113.5411	1.06E+05	L15V	y	y	low	virus	4	5	NA	y	201	worker	0.0146	0.0146	51	25.2	13.7	0.2	0.213138686	0.213138686	NA	NA	0.213138686	0.106224066	0.213138686	0		
29	36	29	y	17717.41796	1.77E+04	L16V	y	y	low	virus	4	5	NA	y	153	worker	0.0673	0.0165	52	24.9	13.9	0.2	0.968345324	0.237410072	NA	NA	0.968345324	0.246534653	0.237410072	0		
30	37	30	n	0	0.00E+00	L17C	y	y	low	control	3	2	NA	y	285	worker	0.0077	0.0132	51	25.1	13.2	0.2	0.116666667	0.2	NA	NA	0.116666667	0.103896104	0.2	0		
31	38	31	n	0	0.00E+00	L18C	y	y	low	control	3	2	NA	y	198	worker	0.0079	0.0226	45	25.1	14.2	0.2	0.111267606	0.318309859	NA	NA	0.111267606	0.089686099	0.318309859	0		
32	39	32	n	0	0.00E+00	L19C	y	y	low	control	3	2	NA	y	179	worker	0.0286	0.0246	43	25.0	14.8	0.2	0.386486486	0.332432432	NA	NA	0.386486486	0.143564356	0.332432432	0.10990099		
33	40	33	n	0	0.00E+00	L20V	y	y	low	virus	4	5	NA	y	169	worker	0.0095	0.0287	47	24.9	13.2	0.2	0.143939394	0.434848485	NA	NA	0.143939394	0.174725275	0.434848485	0.095604396		
34	41	34	n	0	0.00E+00	H1V	y	y	high	virus	6	6	NA	y	213	worker	0.0386	0.1064	47	25.3	15.2	0.2	0.507894737	1.4	NA	NA	0.507894737	0.39638009	1.4	0.099547511		
35	42	35	n	0	0.00E+00	H2C	y	y	high	control	5	3	NA	y	139	worker	0.0097	0.0915	39	24.9	14.4	0.2	0.134722222	1.270833333	NA	NA	0.134722222	0.438918919	1.270833333	0.193513514		
