nr_neonic	nr_old	id	neonic_test	treatment_1	treatment_2	treatment	TREATMENT_LARS	death_date	final	nr_adults 	sample	conc_thiamethoxam	conc_clothinianidin	nr_abdomens	fresh_weight	dry_weight	final_volume(ml)	conc_T_fresh	conc_T_dry	conc_T_abd	conc_C_fresh	conc_C_dry	conc_C_abd
1	1	C1V	y	control	virus	2	4	NA	y	197	worker	0	0	40	25.1	13.7	0.2	0	0	0	0	0	0
51	1	C1V	y	control	virus	2	4	NA	y	197	queen	0.01	0.0105	1	27.8	15.1	0.2	0.071942446	0.132450331	2	0.075539568	0.139072848	2.1
2	2	C2C	y	control	control	1	1	NA	y	289	worker	0	0	39	25.3	15	0.2	0	0	0	0	0	0
52	2	C2C	y	control	control	1	1	NA	y	289	queen	0	0	1	33.9	23.5	0.2	0	0	0	0	0	0
3	3	C3C	y	control	control	1	1	NA	y	219	worker	0	0	40	25.0	14.2	0.2	0	0	0	0	0	0
53	3	C3C	y	control	control	1	1	NA	y	219	queen	0	0	1	26.5	21.9	0.2	0	0	0	0	0	0
4	4	C4V	y	control	virus	2	4	NA	y	235	worker	0	0	49	24.3	12.9	0.2	0	0	0	0	0	0
54	4	C4V	y	control	virus	2	4	NA	y	235	queen	0	0	1	22.7	11.4	0.2	0	0	0	0	0	0
5	5	C5V	y	control	virus	2	4	NA	y	174	worker	0	0	44	25.0	13.7	0.2	0	0	0	0	0	0
55	5	C5V	y	control	virus	2	4	NA	y	174	queen	0	0	1	23.8	14.2	0.2	0	0	0	0	0	0
6	6	C6C	y	control	control	1	1	NA	y	392	worker	0	0	45	25.1	14.9	0.2	0	0	0	0	0	0
56	6	C6C	y	control	control	1	1	NA	y	392	queen	0	0	1	29.3	21.9	0.2	0	0	0	0	0	0
7	7	C7C	y	control	control	1	1	NA	y	231	worker	0	0	50	24.8	12.3	0.2	0	0	0	0	0	0
57	7	C7C	y	control	control	1	1	NA	y	231	queen	0	0	1	18.8	14.8	0.2	0	0	0	0	0	0
8	8	C8V	y	control	virus	2	4	NA	y	107	worker	0	0	42	25.3	12.4	0.2	0	0	0	0	0	0
58	8	C8V	y	control	virus	2	4	NA	y	107	queen	0	0	1	18.6	11.3	0.2	0	0	0	0	0	0
101	9	C9C	y	control	control	1	1	14.08.2016	n	0	queen	0	0	1	17.8	11.4	0.2	0	0	0	0	0	0
NA	9	C9C	n	control	control	1	1	14.08.2016	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	10	C10C	y	control	control	1	1	NA	y	293	worker	0	0	54	25.0	12.5	0.2	0	0	0	0	0	0
59	10	C10C	y	control	control	1	1	NA	y	293	queen	0	0	1	23.2	15.8	0.2	0	0	0	0	0	0
10	11	C11V	y	control	virus	2	4	NA	y	155	worker	0	0	58	24.9	13.9	0.2	0	0	0	0	0	0
60	11	C11V	y	control	virus	2	4	NA	y	155	queen	0	0	1	20.9	18.1	0.2	0	0	0	0	0	0
NA	12	C12C	n	control	control	1	1	17.05.2017	n	18	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	12	C12C	n	control	control	1	1	17.05.2017	n	18	queen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
