number 	id	treat1	treat2	measurement	date	pupae	adults	active	queen	eggs	larva	position			
1	C1	control	V	1	28.03.2017	0	21	NA	1	0	30	11			
2	C2	control	C	1	28.03.2017	0	18	NA	1	0	30	59			
3	C3	control	C	1	28.03.2017	0	10	NA	1	0	20	12			
4	C4	control	V	1	28.03.2017	0	17	NA	1	0	22	30			
5	C5	control	V	1	28.03.2017	0	3	NA	1	0	25	9			
6	C6	control	C	1	28.03.2017	0	12	NA	1	0	27	32			
7	C7	control	C	1	28.03.2017	0	15	NA	1	0	20	41			
8	C8	control	V	1	28.03.2017	0	1	NA	1	10	0	5			
9	C9	control	NA	1	28.03.2017	NA	NA	NA	NA	NA	NA	24			
10	C10	control	C	1	28.03.2017	0	19	NA	1	0	25	7			
11	C11	control	V	1	28.03.2017	0	18	NA	1	0	35	17			
12	C12	control	NA	1	28.03.2017	0	18	NA	1	0	28	46			
13	C13	control	V	1	28.03.2017	0	6	NA	1	0	8	8			
14	C14	control	C	1	28.03.2017	0	17	NA	1	0	30	13			
15	C15	control	NA	1	28.03.2017	0	18	NA	1	0	30	26			
16	C16	control	V	1	28.03.2017	0	0	NA	1	0	0	18			
17	C17	control	V	1	28.03.2017	0	19	NA	1	0	22	23			
18	C18	control	V	1	28.03.2017	0	6	NA	1	0	18	10			
19	C19	control	C	1	28.03.2017	0	11	NA	1	0	28	4			
20	C20	control	C	1	28.03.2017	0	17	NA	1	0	30	20			
21	L1	low	V	1	28.03.2017	0	12	NA	1	0	30	52			
22	L2	low	V	1	28.03.2017	0	13	NA	1	0	20	44			
23	L3	low	NA	1	28.03.2017	0	16	NA	1	0	25	33			
24	L4	low	C	1	28.03.2017	0	18	NA	1	0	30	15			
25	L5	low	V	1	28.03.2017	0	12	NA	1	0	38	28			
26	L6	low	C	1	28.03.2017	0	13	NA	1	0	25	31			
27	L7	low	C	1	28.03.2017	0	12	NA	1	0	20	51			
28	L8	low	C	1	28.03.2017	0	17	NA	1	0	25	34			
29	L9	low	V	1	28.03.2017	0	14	NA	1	0	35	58			
30	L10	low	NA	1	28.03.2017	0	14	NA	1	0	26	39			
31	L11	low	C	1	28.03.2017	0	12	NA	1	0	25	57			
32	L12	low	V	1	28.03.2017	0	20	NA	1	0	20	49			
33	L13	low	V	1	28.03.2017	0	18	NA	1	0	35	35			
34	L14	low	C	1	28.03.2017	0	16	NA	1	0	23	56			
35	L15	low	V	1	28.03.2017	0	16	NA	1	0	45	6			
36	L16	low	V	1	28.03.2017	0	5	NA	1	0	40	38			
37	L17	low	C	1	28.03.2017	0	19	NA	1	0	25	60			
38	L18	low	C	1	28.03.2017	0	13	NA	1	0	35	40			
39	L19	low	C	1	28.03.2017	0	20	NA	1	0	30	43			
40	L20	low	V	1	28.03.2017	0	14	NA	1	0	40	27			
41	H1	high	V	1	28.03.2017	0	14	NA	1	0	45	3			
42	H2	high	C	1	28.03.2017	0	16	NA	1	0	31	21			
43	H3	high	V	1	28.03.2017	0	14	NA	1	0	28	45			
44	H4	high	NA	1	28.03.2017	NA	NA	NA	NA	NA	NA	42			
45	H5	high	V	1	28.03.2017	0	15	NA	1	0	40	1			
46	H6	high	C	1	28.03.2017	0	17	NA	1	0	30	14			
47	H7	high	C	1	28.03.2017	0	14	NA	1	0	25	50			
48	H8	high	V	1	28.03.2017	0	16	NA	1	0	25	47			
49	H9	high	V	1	28.03.2017	0	23	NA	1	0	35	55			
50	H10	high	C	1	28.03.2017	0	15	NA	1	0	40	25			
51	H11	high	NA	1	28.03.2017	NA	NA	NA	NA	NA	NA	37			
52	H12	high	C	1	28.03.2017	0	11	NA	1	0	30	29			
53	H13	high	V	1	28.03.2017	0	14	NA	1	0	30	2			
54	H14	high	C	1	28.03.2017	0	16	NA	1	0	25	19			
55	H15	high	V	1	28.03.2017	0	15	NA	1	0	28	16			
56	H16	high	C	1	28.03.2017	0	6	NA	1	0	20	54			
57	H17	high	V	1	28.03.2017	0	20	NA	1	0	40	53			
58	H18	high	NA	1	28.03.2017	0	0	NA	1	0	0	36			
59	H19	high	NA	1	28.03.2017	0	0	NA	1	0	0	22			
60	H20	high	C	1	28.03.2017	0	21	NA	1	0	35	48			
1	C1	control	V	2	11.04.2017	0	18	NA	1	0	20	11			
2	C2	control	C	2	11.04.2017	0	14	NA	1	0	25	59			
3	C3	control	C	2	11.04.2017	0	3	NA	1	0	15	12			
4	C4	control	V	2	11.04.2017	0	2	NA	1	0	15	30			
5	C5	control	V	2	11.04.2017	0	3	NA	1	10	10	9			
6	C6	control	C	2	11.04.2017	0	1	NA	1	8	0	32			
7	C7	control	C	2	11.04.2017	0	8	NA	1	0	15	41			
8	C8	control	V	2	11.04.2017	0	1	NA	1	20	0	5			
9	C9	control	NA	2	11.04.2017	NA	NA	NA	NA	NA	NA	24			
10	C10	control	C	2	11.04.2017	0	19	NA	1	0	25	7			
11	C11	control	V	2	11.04.2017	0	3	NA	1	0	10	17			
12	C12	control	NA	2	11.04.2017	0	13	NA	1	0	15	46			
13	C13	control	V	2	11.04.2017	0	6	NA	1	0	8	8			
14	C14	control	C	2	11.04.2017	0	14	NA	1	0	20	13			
15	C15	control	NA	2	11.04.2017	0	8	NA	1	0	10	26			
16	C16	control	V	2	11.04.2017	0	0	NA	1	20	0	18			
