nr	count_nr	date	idendity	treat1 	treat2	w_queen	w_20adults	larvae	adults	pupae	eggs
54	1	31.10.2017	H14C	H	C	33.8	17.6	46	131	0	8
20	2	31.10.2017	C20C	C	C	30	23.6	81	292	0	10
55	3	31.10.2017	H15V	H	V	28.7	21.6	42	158	2	5
11	4	31.10.2017	C11V	C	V	29.7	16.4	25	155	0	0
46	5	31.10.2017	H6C	H	C	40.4	15.7	32	193	1	0
14	6	31.10.2017	C14C	C	C	35.5	19.3	46	230	0	15
3	7	01.11.2017	C3C	C	C	34.7	22.5	48	219	2	7
24	8	01.11.2017	L4C	L	C	36	17.6	16	189	1	6
29	9	01.11.2017	L9V	L	V	45.6	19.8	49	172	0	8
2	10	01.11.2017	C2C	C	C	43.7	20.4	153	289	1	0
27	11	01.11.2017	L7C	L	C	22.9	15.8	56	187	6	0
56	12	01.11.2017	H16C	H	C	29.8	31.6	50	182	1	6
39	13	01.11.2017	L19C	L	C	38.4	20.7	42	179	2	8
57	14	01.11.2017	H17V	H	V	38.5	18.8	46	142	0	0
37	15	01.11.2017	L17C	L	C	32.6	18.6	83	285	2	12
17	16	01.11.2017	C17V	C	V	37.5	17.1	58	144	0	0
60	17	01.11.2017	H20C	H	C	38.7	19.3	6	157	0	0
21	18	02.11.2017	L1V	L	V	29.9	18.5	36	142	0	4
8	19	02.11.2017	C8V	C	V	29	22.6	35	107	3	7
22	20	02.11.2017	L2V	L	V	29.9	18.7	36	131	0	15
31	21	02.11.2017	L11C	L	C	35.5	19.7	74	163	4	10
48	22	02.11.2017	H8V	H	V	24.8	18	30	140	0	23
32	23	02.11.2017	L12V	L	V	34.5	18.5	6	171	0	3
42	24	02.11.2017	H2C	H	C	38.4	20.3	39	139	0	0
43	26	02.11.2017	H3V	H	V	33.7	17	18	78	0	0
7	27	02.11.2017	C7C	C	C	27	20.4	159	231	8	30
47	27	02.11.2017	H7C	H	C	29.5	18.1	23	126	0	0
49	28	16.11.2017	H9V	H	V	34.3	14.5	18	112	0	10
13	29	20.11.2017	C13V	C	V	30.6	18.3	88	294	0	10
1	30	20.11.2017	C1V	C	V	38	19.9	59	197	5	10
52	31	20.11.2017	H12C	H	C	32.7	15	53	226	5	0
38	32	20.11.2017	L18C	L	C	32.5	19.3	32	198	0	0
40	33	20.11.2017	L20V	L	V	34.3	17.7	40	169	0	6
4	34	21.11.2017	C4V	C	V	31.7	21.6	69	235	0	0
28	34	21.11.2017	L8C	L	C	36.3	21	58	201	0	0
36	35	21.11.2017	L16V	L	V	30.1	16.2	106	153	5	5
41	36	21.11.2017	H1V	L	V	32.4	16.7	36	213	0	0
45	37	21.11.2017	H5V	H	V	36.3	16.6	37	124	0	0
35	38	21.11.2017	L15V	L	V	41.6	17.3	33	201	0	5
50	39	22.11.2017	H10C	H	C	37.8	17.9	24	146	8	2
10	40	22.11.2017	C10C	C	C	31.3	19.2	69	293	4	0
6	41	22.11.2017	C6C	C	C	37.4	20.1	130	392	9	10
25	42	22.11.2017	L5V	L	V	30.4	18.2	66	203	0	0
18	43	22.11.2017	C18V	C	V	29.9	20.9	51	245	3	25
19	44	23.11.2017	C19C	C	C	25.3	21.2	149	348	7	30
26	45	23.11.2017	L6C	L	C	30.7	18.7	31	155	3	0
5	46	23.11.2017	C5V	C	V	34.1	20.6	28	174	0	0
33	47	23.11.2017	L13V	L	V	43.3	16.6	46	204	7	13
53	48	23.11.2017	H13V	H	V	32	16.4	22	236	0	0
