sequence	number 	id 	treatment_1	treatment_2	treat	day	collection_date	days_since_collection	date	queen	eggs	larva	pupae	adults	active	position	measurement_y2	weight_queen	weight_20adults	final	virus_feeding	year	survivial 
1	1	C1V	control	virus	2	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
2	2	C2C	control	control	1	1	30.06.2016	43	12.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
3	3	C3C	control	control	1	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
4	4	C4V	control	virus	2	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
5	5	C5V	control	virus	2	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
6	6	C6C	control	control	1	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
7	7	C7C	control	control	1	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
8	8	C8V	control	virus	2	1	30.06.2016	43	12.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
9	9	C9C	control	control	1	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
10	10	C10C	control	control	1	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
11	11	C11V	control	virus	2	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
12	12	C12C	control	control	1	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
13	13	C13V	control	virus	2	1	30.06.2016	43	12.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
14	14	C14C	control	control	1	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
15	15	C15V	control	virus	2	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
16	16	C16V	control	virus	2	1	30.06.2016	43	12.08.2016	1	1	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
17	17	C17V	control	virus	2	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
18	18	C18V	control	virus	2	1	30.06.2016	43	12.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
19	19	C19C	control	control	1	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
20	20	C20C	control	control	1	1	30.06.2016	43	12.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
