identity 	treatment	collection_date	death_date	day_of_death	y2_survival	y1_survival	adult_production	y1_eggs	y1_larva	y1_pupae	y1_adults	y2_eggs	y2_larva	y2_pupae	y2_adults	weight_queens	weight_adults	tw_thiamethoxam_workers_dryconcentration	cw_clothianidin_workers_dryconcentration	tq_thiamethoxam_queens_dryconcentration	cq_clothianidin_queens_dryconcentration	duration_eggs	duration_larva	duration_pupae	duration_adults	duration_preoviposition
01_C	control	30.07.16	31.10.17	445	0	0	1	0	41	0	18	0	153	1	289	43.7	20.4	0	0	0	0	17	7	25	49	1
02_C	control	30.07.16	31.10.17	445	0	0	1	0	40	0	10	7	48	2	219	34.7	22.5	0	0	0	0	19	8	25	52	1
03_C	control	30.07.16	31.10.17	445	0	0	1	0	46	0	12	10	130	9	392	37.4	20.1	0	0	0	0	18	9	24	51	2
04_C	control	30.07.16	31.10.17	445	0	0	1	0	34	0	16	30	159	8	231	27	20.4	0	0	0	0	18	8	26	52	1
05_C	control	30.07.16	14.08.16	2	1	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
06_C	control	30.07.16	31.10.17	445	0	0	1	0	38	0	20	0	69	4	293	31.3	19.2	0	0	0	0	18	7	27	52	1
07_C	control	30.07.16	17.05.17	278	1	0	1	0	36	0	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	9	24	51	2
08_C	control	30.07.16	31.10.17	445	0	0	1	0	52	0	18	15	46	0	230	35.5	19.3	0	0	0	0	17	8	25	50	3
09_C	control	30.07.16	31.10.17	445	0	0	1	0	34	1	11	30	149	7	348	25.3	21.2	0	0	0	0	19	9	24	52	1
10_C	control	30.07.16	31.10.17	445	0	0	1	0	44	0	18	10	81	0	292	30	23.6	0	0	0	0	19	8	26	53	1
01_L	low	30.07.16	23.06.17	315	1	0	1	0	42	0	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	7	24	48	1
02_L	low	30.07.16	31.10.17	445	0	0	1	0	35	0	19	6	16	1	189	36	17.6	0.10647482	0.178417266	0.13836478	0	19	6	24	49	1
03_L	low	30.07.16	31.10.17	445	0	0	1	3	45	0	13	0	31	3	155	30.7	18.7	0.122077922	0.254545455	0.084974093	0	17	7	22	46	1
04_L	low	30.07.16	31.10.17	445	0	0	1	0	32	0	12	0	56	6	187	22.9	15.8	0.160839161	0.286713287	0.188636364	0	19	9	24	52	1
05_L	low	30.07.16	31.10.17	445	0	0	1	0	30	0	19	0	58	0	201	36.3	21	0.23625	0.16375	0.166019417	0	17	9	25	51	3
06_L	low	30.07.16	31.10.17	445	0	0	1	0	27	0	13	10	74	4	163	35.5	19.7	0.089041096	0.146575342	0.140512821	0	17	7	24	48	1
07_L	low	30.07.16	12.09.17	397	1	0	1	0	32	0	17	NA	NA	NA	NA	NA	NA	NA	NA	0	0	17	7	24	48	1
08_L	low	30.07.16	31.10.17	445	0	0	1	0	42	0	19	12	83	2	285	32.6	18.6	0.116666667	0.2	0.103896104	0	19	10	23	52	1
09_L	low	30.07.16	31.10.17	445	0	0	1	0	45	0	13	0	32	0	198	32.5	19.3	0.111267606	0.318309859	0.089686099	0	21	8	26	55	1
10_L	low	30.07.16	31.10.17	445	0	0	1	0	36	0	21	8	42	2	179	38.4	20.7	0.386486486	0.332432432	0.143564356	0.10990099	18	9	25	52	1
01_H	high	30.07.16	31.10.17	445	0	0	1	0	34	0	16	0	39	0	139	38.4	20.3	0.134722222	1.270833333	0.438918919	0.193513514	18	7	27	52	1
02_H	high	30.07.16	26.08.16	14	1	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03_H	high	30.07.16	31.10.17	445	0	0	1	2	40	2	17	0	32	1	193	40.4	15.7	0.509923664	0.755725191	0.234309623	0	16	10	21	47	2
04_H	high	30.07.16	31.10.17	445	0	0	1	2	36	0	17	0	23	0	126	29.5	18.1	1.243589744	0.574358974	0.230769231	0.257692308	19	9	27	55	3
05_H	high	30.07.16	31.10.17	445	0	0	1	0	45	0	15	2	24	8	146	37.8	17.9	0.86259542	2.78778626	1.434554974	0.169633508	17	8	26	51	2
06_H	high	30.07.16	31.10.17	445	0	0	1	0	38	1	11	0	53	5	216	32.7	15	0.529411765	1.304411765	0.18	0	18	8	26	52	1
07_H	high	30.07.16	31.10.17	445	0	0	1	0	34	0	17	8	46	0	131	33.8	17.6	1.341984733	3.545038168	1.168421053	0.458646617	17	9	25	51	3
08_H	high	30.07.16	31.10.17	445	0	0	1	12	29	1	6	6	50	1	182	29.8	15.8	0.315277778	2.251388889	0.251396648	0.193296089	17	8	23	48	1
09_H	high	30.07.16	11.07.17	333	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
10_H	high	30.07.16	31.10.17	445	0	0	1	0	39	0	23	0	6	0	157	38.7	19.3	0.275	0.894444444	0.178378378	0.098198198	19	6	27	52	1
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
