sample	type	virus	assignment	vcps	positive500	vcps_neg0	replication					
C1	colony	ABPV	1	5613.211475	TRUE	5613.211475	0					
C2	colony	ABPV	1	471064.5097	TRUE	471064.5097	0					
C3	colony	ABPV	1	9368.480104	TRUE	9368.480104	0					
C4	colony	ABPV	1	36570.27997	TRUE	36570.27997	0					
C5	colony	ABPV	1	8509135.526	TRUE	8509135.526	1					
C6	colony	ABPV	0	45.32186407	FALSE	0	0					
C7	colony	ABPV	0	328.3530686	FALSE	0	0					
C8	colony	ABPV	1	36665.37103	TRUE	36665.37103	0					
C9	colony	ABPV	1	4588.697767	TRUE	4588.697767	0					
C10	colony	ABPV	1	12578.38496	TRUE	12578.38496	0					
C11	colony	ABPV	1	2104.408396	TRUE	2104.408396	0					
C12	colony	ABPV	1	231973.7597	TRUE	231973.7597	0					
C13	colony	ABPV	1	18339.43441	TRUE	18339.43441	0					
C14	colony	ABPV	0	0.586299125	FALSE	0	0					
C15	colony	ABPV	1	24671.41846	TRUE	24671.41846	0					
C16	colony	ABPV	1	8291.029339	TRUE	8291.029339	0					
C17	colony	ABPV	1	9085.936053	TRUE	9085.936053	1					
C18	colony	ABPV	1	130953.3467	TRUE	130953.3467	0					
C19	colony	ABPV	1	12302.33507	TRUE	12302.33507	1					
C20	colony	ABPV	1	83271.74032	TRUE	83271.74032	0					
C1	colony	DWV	0	157.8262045	FALSE	0	0					
C2	colony	DWV	1	3124.96261	TRUE	3124.96261	0					
C3	colony	DWV	0	118.8155779	FALSE	0	0					
C4	colony	DWV	1	2497.396651	TRUE	2497.396651	0					
C5	colony	DWV	1	39460.58895	TRUE	39460.58895	0					
C6	colony	DWV	0	87.05254036	FALSE	0	0					
C7	colony	DWV	0	378.7225658	FALSE	0	0					
C8	colony	DWV	1	17694.71014	TRUE	17694.71014	0					
C9	colony	DWV	0	102.2551003	FALSE	0	0					
C10	colony	DWV	1	408.9450328	TRUE	408.9450328	0					
C11	colony	DWV	0	140.2628545	FALSE	0	0					
C12	colony	DWV	1	38109.82995	TRUE	38109.82995	0					
C13	colony	DWV	0	330.052484	FALSE	0	0					
C14	colony	DWV	0	86.42714052	FALSE	0	0					
C15	colony	DWV	1	1520.738752	TRUE	1520.738752	0					
C16	colony	DWV	1	1200.196343	TRUE	1200.196343	0					
C17	colony	DWV	0	85.55143623	FALSE	0	0					
C18	colony	DWV	1	438.3015266	TRUE	438.3015266	0					
C19	colony	DWV	0	54.89154295	FALSE	0	0					
C20	colony	DWV	0	52.19894779	FALSE	0	0					
Q1	queen	ABPV	1	135610.2131	TRUE	135610.2131	0					
Q2	queen	ABPV	1	18886099066	TRUE	18886099066	1					
Q3	queen	ABPV	1	3600654.203	TRUE	3600654.203	1					
Q4	queen	ABPV	NA	NA	NA	NA	NA					
Q5	queen	ABPV	1	60101.37782	TRUE	60101.37782	0					
Q6	queen	ABPV	1	6257.763563	TRUE	6257.763563	1					
Q7	queen	ABPV	1	3488733.029	TRUE	3488733.029	1					
Q8	queen	ABPV	1	802560.8319	TRUE	802560.8319	0					
Q9	queen	ABPV	1	14856357501	TRUE	14856357501	1					
Q10	queen	ABPV	1	306023886.1	TRUE	306023886.1	1					
Q11	queen	ABPV	0	5957.322863	TRUE	0	1					
Q12	queen	ABPV	1	16737111268	TRUE	16737111268	1					
Q13	queen	ABPV	1	2774.410892	TRUE	2774.410892	1					
Q14	queen	ABPV	NA	NA	NA	NA	NA					
Q15	queen	ABPV	1	1216.399968	TRUE	1216.399968	0					
Q16	queen	ABPV	1	22054.46394	TRUE	22054.46394	0					
Q17	queen	ABPV	1	1850.668207	TRUE	1850.668207	1					
Q18	queen	ABPV	1	146587.5377	TRUE	146587.5377	0					
Q19	queen	ABPV	0	2658.600362	TRUE	0	0					
Q20	queen	ABPV	NA	NA	NA	NA	NA					
Q1	queen	DWV	0	23980.29501	TRUE	0	0					
Q2	queen	DWV	1	335480.813	TRUE	335480.813	0					
Q3	queen	DWV	0	7133.159316	TRUE	0	0					
Q4	queen	DWV	NA	NA	NA	NA	NA					
Q5	queen	DWV	0	19408.68308	TRUE	0	0					
Q6	queen	DWV	0	16951.61317	TRUE	0	0					
Q7	queen	DWV	0	21678.8003	TRUE	0	0					
Q8	queen	DWV	0	9453.334487	TRUE	0	0					
Q9	queen	DWV	1	1897023.3	TRUE	1897023.3	0					
Q10	queen	DWV	0	10538.67733	TRUE	0	0					
Q11	queen	DWV	0	8999.722396	TRUE	0	0					
Q12	queen	DWV	1	2654615.688	TRUE	2654615.688	0					
Q13	queen	DWV	0	20607.23966	TRUE	0	0					
Q14	queen	DWV	NA	NA	NA	NA	NA					
Q15	queen	DWV	0	29281.9426	TRUE	0	0					
Q16	queen	DWV	0	2122.068593	TRUE	0	0					
Q17	queen	DWV	0	26605.75719	TRUE	0	0					
Q18	queen	DWV	0	6096.153381	TRUE	0	0					
Q19	queen	DWV	0	14715.82545	TRUE	0	0					
Q20	queen	DWV	NA	NA	NA	NA	NA					
SA_12_01	single_ant	ABPV	1	19928.64751	TRUE	19928.64751	NA					
SA_12_02	single_ant	ABPV	1	9348.252686	TRUE	9348.252686	NA					
