number 	id 	treatment_1	treatment_2	treat	adult_production
1	C1V	control	virus	2	y
2	C2C	control	control	1	y
3	C3C	control	control	1	y
4	C4V	control	virus	2	y
5	C5V	control	virus	2	y
6	C6C	control	control	1	y
7	C7C	control	control	1	y
8	C8V	control	virus	2	n
9	C9C	control	control	1	n
10	C10C	control	control	1	y
11	C11V	control	virus	2	y
12	C12C	control	control	1	y
13	C13V	control	virus	2	y
14	C14C	control	control	1	y
15	C15V	control	virus	2	y
16	C16V	control	virus	2	n
17	C17V	control	virus	2	y
18	C18V	control	virus	2	y
19	C19C	control	control	1	y
20	C20C	control	control	1	y
21	L1V	low	virus	4	y
22	L2V	low	virus	4	y
23	L3C	low	control	3	y
24	L4C	low	control	3	y
25	L5V	low	virus	4	y
26	L6C	low	control	3	y
27	L7C	low	control	3	y
28	L8C	low	control	3	y
29	L9V	low	virus	4	y
30	L10V	low	virus	4	y
31	L11C	low	control	3	y
32	L12V	low	virus	4	y
33	L13V	low	virus	4	y
34	L14C	low	control	3	y
35	L15V	low	virus	4	y
36	L16V	low	virus	4	y
37	L17C	low	control	3	y
38	L18C	low	control	3	y
39	L19C	low	control	3	y
40	L20V	low	virus	4	y
41	H1V	high	virus	6	y
42	H2C	high	control	5	y
43	H3V	high	virus	6	y
44	H4C	high	control	5	n
45	H5V	high	virus	6	y
46	H6C	high	control	5	y
47	H7C	high	control	5	y
48	H8V	high	virus	6	y
49	H9V	high	virus	6	y
50	H10C	high	control	5	y
51	H11V	high	virus	6	n
52	H12C	high	control	5	y
53	H13V	high	virus	6	y
54	H14C	high	control	5	y
55	H15V	high	virus	6	y
56	H16C	high	control	5	y
57	H17V	high	virus	6	y
58	H18V	high	virus	6	n
59	H19C	high	control	5	n
60	H20C	high	control	5	y
