year	ID_count	treatment_lars	colony	measurement_day	treatment_yearspecific	eggs	larva	pupae	adults
1	1	1	1	1	1	4	0	0	0
1	2	1	2	1	1	5	0	0	0
1	3	1	3	1	1	0	0	0	0
1	4	1	4	1	1	6	0	0	0
1	5	1	5	1	1	0	0	0	0
1	6	1	6	1	1	5	0	0	0
1	7	1	7	1	1	0	0	0	0
1	8	1	8	1	1	0	0	0	0
1	9	1	9	1	1	5	0	0	0
1	10	1	10	1	1	4	0	0	0
1	11	2	11	1	2	10	0	0	0
1	12	2	12	1	2	6	0	0	0
1	13	2	13	1	2	7	0	0	0
1	14	2	14	1	2	5	0	0	0
1	15	2	15	1	2	0	0	0	0
1	16	2	16	1	2	7	0	0	0
1	17	2	17	1	2	6	0	0	0
1	18	2	18	1	2	12	0	0	0
1	19	2	19	1	2	7	0	0	0
1	20	2	20	1	2	6	0	0	0
1	21	3	21	1	3	4	0	0	0
1	22	3	22	1	3	0	0	0	0
1	23	3	23	1	3	0	0	0	0
1	24	3	24	1	3	0	0	0	0
1	25	3	25	1	3	0	0	0	0
1	26	3	26	1	3	2	0	0	0
1	27	3	27	1	3	0	0	0	0
1	28	3	28	1	3	9	0	0	0
1	29	3	29	1	3	3	0	0	0
1	30	3	30	1	3	2	0	0	0
1	31	1	1	2	1	8	0	0	0
1	32	1	2	2	1	7	0	0	0
1	33	1	3	2	1	1	0	0	0
1	34	1	4	2	1	12	0	0	0
1	35	1	5	2	1	2	0	0	0
1	36	1	6	2	1	9	0	0	0
1	37	1	7	2	1	5	0	0	0
1	38	1	8	2	1	0	0	0	0
1	39	1	9	2	1	8	0	0	0
1	40	1	10	2	1	6	0	0	0
1	41	2	11	2	2	12	0	0	0
1	42	2	12	2	2	8	0	0	0
1	43	2	13	2	2	10	0	0	0
1	44	2	14	2	2	6	0	0	0
1	45	2	15	2	2	0	0	0	0
1	46	2	16	2	2	11	0	0	0
1	47	2	17	2	2	9	0	0	0
1	48	2	18	2	2	15	0	0	0
1	49	2	19	2	2	9	0	0	0
1	50	2	20	2	2	8	0	0	0
1	51	3	21	2	3	6	0	0	0
1	52	3	22	2	3	0	0	0	0
1	53	3	23	2	3	5	0	0	0
1	54	3	24	2	3	0	0	0	0
1	55	3	25	2	3	5	0	0	0
1	56	3	26	2	3	6	0	0	0
1	57	3	27	2	3	0	0	0	0
1	58	3	28	2	3	9	0	0	0
1	59	3	29	2	3	3	0	0	0
1	60	3	30	2	3	4	0	0	0
1	61	1	1	3	1	27	0	0	0
1	62	1	2	3	1	7	0	0	0
1	63	1	3	3	1	0	0	0	0
1	64	1	4	3	1	17	0	0	0
1	65	1	5	3	1	NA	NA	0	NA
1	66	1	6	3	1	14	0	0	0
1	67	1	7	3	1	9	0	0	0
1	68	1	8	3	1	5	0	0	0
1	69	1	9	3	1	11	0	0	0
1	70	1	10	3	1	10	0	0	0
1	71	2	11	3	2	18	0	0	0
1	72	2	12	3	2	10	0	0	0
1	73	2	13	3	2	13	0	0	0
1	74	2	14	3	2	9	0	0	0
1	75	2	15	3	2	4	0	0	0
1	76	2	16	3	2	18	0	0	0
1	77	2	17	3	2	11	0	0	0
1	78	2	18	3	2	23	0	0	0
1	79	2	19	3	2	16	0	0	0
1	80	2	20	3	2	20	0	0	0
1	81	3	21	3	3	14	0	0	0
1	82	3	22	3	3	0	0	0	0
1	83	3	23	3	3	12	0	0	0
1	84	3	24	3	3	2	0	0	0
1	85	3	25	3	3	6	0	0	0
1	86	3	26	3	3	7	0	0	0
1	87	3	27	3	3	2	0	0	0
1	88	3	28	3	3	16	0	0	0
1	89	3	29	3	3	4	0	0	0
1	90	3	30	3	3	9	0	0	0
1	91	1	1	4	1	30	0	0	0
1	92	1	2	4	1	15	0	0	0
1	93	1	3	4	1	8	0	0	0
1	94	1	4	4	1	17	0	0	0
1	95	1	5	4	1	NA	NA	0	NA
1	96	1	6	4	1	22	0	0	0
1	97	1	7	4	1	20	0	0	0
1	98	1	8	4	1	18	0	0	0
1	99	1	9	4	1	15	0	0	0
1	100	1	10	4	1	18	0	0	0
1	101	2	11	4	2	24	0	0	0
1	102	2	12	4	2	15	0	0	0
1	103	2	13	4	2	13	0	0	0
1	104	2	14	4	2	13	0	0	0
1	105	2	15	4	2	6	0	0	0
1	106	2	16	4	2	18	0	0	0
1	107	2	17	4	2	18	0	0	0
1	108	2	18	4	2	29	0	0	0
1	109	2	19	4	2	18	0	0	0
1	110	2	20	4	2	20	0	0	0
1	111	3	21	4	3	16	0	0	0
1	112	3	22	4	3	0	0	0	0
1	113	3	23	4	3	17	0	0	0
1	114	3	24	4	3	9	0	0	0
1	115	3	25	4	3	6	0	0	0
1	116	3	26	4	3	14	0	0	0
1	117	3	27	4	3	8	0	0	0
1	118	3	28	4	3	16	0	0	0
1	119	3	29	4	3	14	0	0	0
1	120	3	30	4	3	19	0	0	0
1	121	1	1	5	1	35	0	0	0
1	122	1	2	5	1	23	0	0	0
1	123	1	3	5	1	18	0	0	0
1	124	1	4	5	1	23	0	0	0
1	125	1	5	5	1	NA	NA	0	NA
1	126	1	6	5	1	37	0	0	0
1	127	1	7	5	1	28	0	0	0
1	128	1	8	5	1	20	0	0	0
1	129	1	9	5	1	19	0	0	0
1	130	1	10	5	1	21	0	0	0
1	131	2	11	5	2	24	0	0	0
1	132	2	12	5	2	26	0	0	0
1	133	2	13	5	2	15	0	0	0
1	134	2	14	5	2	19	0	0	0
1	135	2	15	5	2	15	0	0	0
1	136	2	16	5	2	24	0	0	0
1	137	2	17	5	2	27	0	0	0
1	138	2	18	5	2	34	0	0	0
1	139	2	19	5	2	23	0	0	0
1	140	2	20	5	2	28	0	0	0
1	141	3	21	5	3	18	0	0	0
1	142	3	22	5	3	0	0	0	0
1	143	3	23	5	3	22	0	0	0
1	144	3	24	5	3	14	0	0	0
1	145	3	25	5	3	19	0	0	0
1	146	3	26	5	3	18	0	0	0
1	147	3	27	5	3	11	0	0	0
1	148	3	28	5	3	21	0	0	0
1	149	3	29	5	3	23	0	0	0
1	150	3	30	5	3	32	0	0	0
1	151	1	1	6	1	35	0	0	0
1	152	1	2	6	1	32	0	0	0
1	153	1	3	6	1	18	0	0	0
1	154	1	4	6	1	23	0	0	0
1	155	1	5	6	1	NA	NA	0	NA
1	156	1	6	6	1	37	0	0	0
1	157	1	7	6	1	30	0	0	0
1	158	1	8	6	1	25	0	0	0
1	159	1	9	6	1	19	0	0	0
1	160	1	10	6	1	23	0	0	0
1	161	2	11	6	2	24	0	0	0
1	162	2	12	6	2	26	0	0	0
1	163	2	13	6	2	19	0	0	0
1	164	2	14	6	2	19	0	0	0
1	165	2	15	6	2	24	0	0	0
1	166	2	16	6	2	28	0	0	0
1	167	2	17	6	2	30	0	0	0
1	168	2	18	6	2	35	0	0	0
1	169	2	19	6	2	25	0	0	0
1	170	2	20	6	2	28	0	0	0
1	171	3	21	6	3	26	0	0	0
1	172	3	22	6	3	0	0	0	0
1	173	3	23	6	3	27	0	0	0
1	174	3	24	6	3	15	0	0	0
1	175	3	25	6	3	19	0	0	0
1	176	3	26	6	3	23	0	0	0
1	177	3	27	6	3	19	0	0	0
1	178	3	28	6	3	24	0	0	0
1	179	3	29	6	3	26	0	0	0
1	180	3	30	6	3	32	0	0	0
1	181	1	1	7	1	37	0	0	0
1	182	1	2	7	1	36	0	0	0
1	183	1	3	7	1	22	0	0	0
1	184	1	4	7	1	27	0	0	0
1	185	1	5	7	1	NA	NA	0	NA
1	186	1	6	7	1	44	0	0	0
1	187	1	7	7	1	38	0	0	0
1	188	1	8	7	1	30	0	0	0
1	189	1	9	7	1	22	0	0	0
1	190	1	10	7	1	30	0	0	0
1	191	2	11	7	2	27	0	0	0
1	192	2	12	7	2	26	0	0	0
1	193	2	13	7	2	24	0	0	0
1	194	2	14	7	2	20	0	0	0
1	195	2	15	7	2	25	0	0	0
1	196	2	16	7	2	40	0	0	0
1	197	2	17	7	2	30	0	0	0
1	198	2	18	7	2	35	0	0	0
1	199	2	19	7	2	31	0	0	0
1	200	2	20	7	2	30	0	0	0
1	201	3	21	7	3	26	0	0	0
1	202	3	22	7	3	0	0	0	0
1	203	3	23	7	3	27	0	0	0
1	204	3	24	7	3	30	0	0	0
1	205	3	25	7	3	22	0	0	0
1	206	3	26	7	3	23	0	0	0
1	207	3	27	7	3	21	0	0	0
1	208	3	28	7	3	26	0	0	0
1	209	3	29	7	3	26	0	0	0
1	210	3	30	7	3	32	0	0	0
1	211	1	1	8	1	39	0	0	0
1	212	1	2	8	1	36	0	0	0
1	213	1	3	8	1	23	0	0	0
1	214	1	4	8	1	28	0	0	0
1	215	1	5	8	1	NA	NA	0	NA
1	216	1	6	8	1	45	0	0	0
1	217	1	7	8	1	38	0	0	0
1	218	1	8	8	1	30	0	0	0
1	219	1	9	8	1	34	0	0	0
1	220	1	10	8	1	40	0	0	0
1	221	2	11	8	2	32	0	0	0
1	222	2	12	8	2	27	0	0	0
1	223	2	13	8	2	29	0	0	0
1	224	2	14	8	2	30	0	0	0
1	225	2	15	8	2	25	0	0	0
1	226	2	16	8	2	42	0	0	0
1	227	2	17	8	2	34	0	0	0
1	228	2	18	8	2	35	0	0	0
1	229	2	19	8	2	39	0	0	0
1	230	2	20	8	2	33	0	0	0
1	231	3	21	8	3	33	0	0	0
1	232	3	22	8	3	0	0	0	0
1	233	3	23	8	3	30	0	0	0
1	234	3	24	8	3	30	0	0	0
1	235	3	25	8	3	22	0	0	0
1	236	3	26	8	3	23	0	0	0
1	237	3	27	8	3	24	0	0	0
1	238	3	28	8	3	32	0	0	0
1	239	3	29	8	3	26	0	0	0
1	240	3	30	8	3	35	0	0	0
1	241	1	1	9	1	41	0	0	0
1	242	1	2	9	1	36	0	0	0
1	243	1	3	9	1	29	0	0	0
1	244	1	4	9	1	37	0	0	0
1	245	1	5	9	1	NA	NA	0	NA
1	246	1	6	9	1	45	0	0	0
1	247	1	7	9	1	40	0	0	0
1	248	1	8	9	1	30	0	0	0
1	249	1	9	9	1	34	0	0	0
1	250	1	10	9	1	41	0	0	0
1	251	2	11	9	2	33	0	0	0
1	252	2	12	9	2	29	0	0	0
1	253	2	13	9	2	30	0	0	0
1	254	2	14	9	2	30	0	0	0
1	255	2	15	9	2	34	0	0	0
1	256	2	16	9	2	42	0	0	0
1	257	2	17	9	2	34	0	0	0
1	258	2	18	9	2	55	0	0	0
1	259	2	19	9	2	39	0	0	0
1	260	2	20	9	2	39	0	0	0
1	261	3	21	9	3	33	0	0	0
1	262	3	22	9	3	0	0	0	0
1	263	3	23	9	3	30	0	0	0
1	264	3	24	9	3	30	0	0	0
1	265	3	25	9	3	26	0	0	0
1	266	3	26	9	3	29	0	0	0
1	267	3	27	9	3	30	0	0	0
1	268	3	28	9	3	36	0	0	0
1	269	3	29	9	3	26	0	0	0
1	270	3	30	9	3	35	0	0	0
1	271	1	1	11	1	43	0	0	0
1	272	1	2	11	1	38	0	0	0
1	273	1	3	11	1	30	0	0	0
1	274	1	4	11	1	40	0	0	0
1	275	1	5	11	1	NA	NA	0	NA
1	276	1	6	11	1	49	0	0	0
1	277	1	7	11	1	46	0	0	0
1	278	1	8	11	1	37	0	0	0
1	279	1	9	11	1	35	0	0	0
1	280	1	10	11	1	45	0	0	0
1	281	2	11	11	2	43	0	0	0
1	282	2	12	11	2	33	0	0	0
1	283	2	13	11	2	32	0	0	0
1	284	2	14	11	2	37	0	0	0
1	285	2	15	11	2	41	0	0	0
1	286	2	16	11	2	45	0	0	0
1	287	2	17	11	2	35	0	0	0
1	288	2	18	11	2	72	0	0	0
1	289	2	19	11	2	42	0	0	0
1	290	2	20	11	2	45	0	0	0
1	291	3	21	11	3	35	0	0	0
1	292	3	22	11	3	0	0	0	0
1	293	3	23	11	3	46	0	0	0
1	294	3	24	11	3	37	0	0	0
1	295	3	25	11	3	34	0	0	0
1	296	3	26	11	3	33	0	0	0
1	297	3	27	11	3	37	0	0	0
1	298	3	28	11	3	39	0	0	0
1	299	3	29	11	3	34	0	0	0
1	300	3	30	11	3	38	0	0	0
1	301	1	1	12	1	47	0	0	0
1	302	1	2	12	1	49	0	0	0
1	303	1	3	12	1	38	0	0	0
1	304	1	4	12	1	49	0	0	0
1	305	1	5	12	1	NA	NA	0	NA
1	306	1	6	12	1	56	0	0	0
1	307	1	7	12	1	48	0	0	0
1	308	1	8	12	1	39	0	0	0
1	309	1	9	12	1	43	0	0	0
1	310	1	10	12	1	45	0	0	0
1	311	2	11	12	2	47	0	0	0
1	312	2	12	12	2	38	0	0	0
1	313	2	13	12	2	38	0	0	0
1	314	2	14	12	2	39	0	0	0
1	315	2	15	12	2	44	0	0	0
1	316	2	16	12	2	51	0	0	0
1	317	2	17	12	2	42	0	0	0
1	318	2	18	12	2	79	0	0	0
1	319	2	19	12	2	53	0	0	0
1	320	2	20	12	2	55	0	0	0
1	321	3	21	12	3	43	0	0	0
1	322	3	22	12	3	0	0	0	0
1	323	3	23	12	3	62	0	0	0
1	324	3	24	12	3	39	0	0	0
1	325	3	25	12	3	38	0	0	0
1	326	3	26	12	3	39	0	0	0
1	327	3	27	12	3	42	0	0	0
1	328	3	28	12	3	44	0	0	0
1	329	3	29	12	3	36	0	0	0
1	330	3	30	12	3	43	0	0	0
1	331	1	1	13	1	52	0	0	0
1	332	1	2	13	1	53	0	0	0
1	333	1	3	13	1	41	0	0	0
1	334	1	4	13	1	51	0	0	0
1	335	1	5	13	1	NA	NA	0	NA
1	336	1	6	13	1	59	0	0	0
1	337	1	7	13	1	59	0	0	0
