neonic	virus	treat	pupae 	adults	active	queen	number
c	V	cv	3	69	0	1	1
c	C	cc	56	81	0	1	2
c	C	cc	50	46	0	1	3
c	V	cv	36	67	1	1	4
c	V	cv	42	53	1	1	5
c	C	cc	26	54	2	1	6
c	C	cc	37	66	5	1	7
c	V	cv	0	20	0	1	8
c	C	cc	50	58	0	1	10
c	V	cv	40	47	0	1	11
c	V	cv	38	56	1	1	13
c	C	cc	56	55	0	1	14
c	V	cv	46	68	3	1	17
c	V	cv	45	61	3	1	18
c	C	cc	27	52	1	1	19
c	C	cc	46	62	1	1	20
l	V	lv	44	42	0	1	21
l	V	lv	35	59	4	1	22
l	C	lc	48	57	1	1	24
l	V	lv	43	54	1	1	25
l	C	lc	11	61	6	1	26
l	C	lc	26	58	0	1	27
l	C	lc	38	48	0	1	28
l	V	lv	22	52	2	1	29
l	C	lc	17	46	0	1	31
l	V	lv	41	58	3	1	32
l	V	lv	33	49	1	1	33
l	C	lc	3	42	3	1	34
l	V	lv	38	62	2	1	35
l	V	lv	7	53	1	1	36
l	C	lc	34	56	0	1	37
l	C	lc	28	55	1	1	38
l	C	lc	40	51	4	1	39
l	V	lv	33	61	0	1	40
h	V	hv	34	50	0	1	41
h	C	hc	46	54	5	1	42
h	V	hv	11	53	6	1	43
h	V	hv	32	56	1	1	45
h	C	hc	35	45	2	1	46
h	C	hc	18	45	0	1	47
h	V	hv	13	44	5	1	48
h	V	hv	42	52	0	1	49
h	C	hc	34	57	3	1	50
h	C	hc	30	50	1	1	52
h	V	hv	27	61	4	1	53
h	C	hc	39	56	1	1	54
h	V	hv	14	51	3	1	55
h	C	hc	33	58	5	1	56
h	V	hv	36	59	3	1	57
h	C	hc	16	43	1	1	60
