id	Position	treat1	treat2	treat	measurement	date	pupae 	adults 	active	queen
C1	11	control	V	CV	21	26.09.2017	25	92	0	1
C2	59	control	C	CC	21	26.09.2017	20	133	0	1
C3	12	control	C	CC	21	26.09.2017	7	137	0	1
C4	30	control	V	CV	21	26.09.2017	14	135	3	1
C5	9	control	V	CV	21	26.09.2017	2	108	3	1
C6	32	control	C	CC	21	26.09.2017	35	150	1	1
C7	41	control	C	CC	21	26.09.2017	8	121	8	1
C8	5	control	V	CV	21	26.09.2017	2	49	0	1
C9	24	control	NA	NA	21	26.09.2017	NA	NA	NA	NA
C10	7	control	C	CC	21	26.09.2017	21	145	23	1
C11	17	control	V	CV	21	26.09.2017	1	111	0	1
C12	46	control	NA	NA	21	26.09.2017	NA	NA	NA	NA
C13	8	control	V	CV	21	26.09.2017	18	124	3	1
C14	13	control	C	CC	21	26.09.2017	0	128	15	1
C15	26	control	NA	NA	21	26.09.2017	NA	NA	NA	NA
C16	18	control	V	CV	21	26.09.2017	NA	NA	NA	NA
C17	23	control	V	CV	21	26.09.2017	2	96	1	1
C18	10	control	V	CV	21	26.09.2017	5	117	5	1
C19	4	control	C	CC	21	26.09.2017	16	150	6	1
C20	20	control	C	CC	21	26.09.2017	20	139	5	1
L1	52	low	V	LV	21	26.09.2017	1	93	1	1
L2	44	low	V	LV	21	26.09.2017	1	83	11	1
L3	33	low	NA	NA	21	26.09.2017	NA	NA	NA	NA
L4	15	low	C	LC	21	26.09.2017	2	112	2	1
L5	28	low	V	LV	21	26.09.2017	4	105	1	1
L6	31	low	C	LC	21	26.09.2017	8	95	6	1
L7	51	low	C	LC	21	26.09.2017	15	89	2	1
L8	34	low	C	LC	21	26.09.2017	14	118	1	1
L9	58	low	V	LV	21	26.09.2017	0	105	2	1
L10	39	low	NA	NA	21	26.09.2017	NA	NA	NA	NA
L11	57	low	C	LC	21	26.09.2017	10	87	4	1
L12	49	low	V	LV	21	26.09.2017	0	102	2	1
L13	35	low	V	LV	21	26.09.2017	10	99	2	1
L14	56	low	C	LC	21	26.09.2017	NA	NA	NA	NA
L15	6	low	V	LV	21	26.09.2017	21	115	4	1
L16	38	low	V	LV	21	26.09.2017	10	82	0	1
L17	60	low	C	LC	21	26.09.2017	38	105	3	1
L18	40	low	C	LC	21	26.09.2017	14	120	11	1
L19	43	low	C	LC	21	26.09.2017	5	96	3	1
L20	27	low	V	LV	21	26.09.2017	6	99	0	1
H1	3	high	V	HV	21	26.09.2017	0	96	2	1
H2	21	high	C	HC	21	26.09.2017	0	96	5	1
H3	45	high	V	HV	21	26.09.2017	0	64	4	1
H4	42	high	NA	NA	21	26.09.2017	NA	NA	NA	NA
H5	1	high	V	HV	21	26.09.2017	1	97	3	1
H6	14	high	C	HC	21	26.09.2017	15	87	8	1
H7	50	high	C	HC	21	26.09.2017	0	67	1	1
H8	47	high	V	HV	21	26.09.2017	14	97	2	1
H9	55	high	V	HV	21	26.09.2017	12	65	0	1
H10	25	high	C	HC	21	26.09.2017	15	85	4	1
H11	37	high	NA	NA	21	26.09.2017	NA	NA	NA	NA
H12	29	high	C	HC	21	26.09.2017	12	74	1	1
H13	2	high	V	HV	21	26.09.2017	13	112	5	1
H14	19	high	C	HC	21	26.09.2017	1	82	7	1
H15	16	high	V	HV	21	26.09.2017	21	92	4	1
H16	54	high	C	HC	21	26.09.2017	9	92	4	1
H17	53	high	V	HV	21	26.09.2017	0	93	1	1
H18	36	high	NA	NA	21	26.09.2017	NA	NA	NA	NA
H19	22	high	NA	NA	21	26.09.2017	NA	NA	NA	NA
H20	48	high	C	HC	21	26.09.2017	0	100	4	1
