nr_old	id	t1	t2	fresh_weight_workers	nr_Abdomens	fresh_weight_queens	dry_weight_workers	dry_weight_queens
1	C1V	1	2	25.1	40.0000	27.8	13.7000	15.1
2	C2C	1	1	25.3	39.0000	33.9	15.0000	23.5
3	C3C	1	1	25.0	40.0000	26.5	14.2000	21.9
4	C4V	1	2	24.3	49.0000	22.7	12.9000	11.4
5	C5V	1	2	25.0	44.0000	23.8	13.7000	14.2
6	C6C	1	1	25.1	45.0000	29.3	14.9000	21.9
7	C7C	1	1	24.8	50.0000	18.8	12.3000	14.8
8	C8V	1	2	25.3	42.0000	18.6	12.4000	11.3
10	C10C	1	1	25.0	54.0000	23.2	12.5000	15.8
11	C11V	1	2	24.9	58.0000	20.9	13.9000	18.1
13	C13V	1	2	25.2	49.0000	22.3	14.2000	17.9
14	C14C	1	1	25.3	43.0000	26.2	14.1000	24.4
17	C17V	1	2	25.1	52.0000	29.0	14.0000	15.5
18	C18V	1	2	25.1	42.0000	20.8	15.3000	18.3
19	C19C	1	1	25.0	43.0000	17.4	15.2000	10.2
20	C20C	1	1	25.0	43.0000	19.7	14.4000	11.3
21	L1V	2	2	25.3	47.0000	22.0	14.1000	15.3
22	L2V	2	2	24.9	53.0000	21.3	13.3000	14.2
24	L4C	2	1	25.3	49.0000	26.1	13.9000	15.9
25	L5V	2	2	24.9	50.0000	21.8	15.2000	18.5
26	L6C	2	1	25.3	47.0000	22.4	15.4000	19.3
27	L7C	2	1	25.3	42.0000	15.6	14.3000	8.8
28	L8C	2	1	25.1	41.0000	27.4	16.0000	20.6
29	L9V	2	2	25.2	43.0000	35.0	16.2000	24.6
31	L11C	2	1	25.0	43.0000	27.7	14.6000	19.5
32	L12V	2	2	24.9	44.0000	25.4	13.8000	14.7
33	L13V	2	2	24.7	55.0000	34.7	14.0000	22
35	L15V	2	2	25.2	51.0000	32.5	13.7000	24.1
36	L16V	2	2	24.9	52.0000	22.3	13.9000	20.2
37	L17C	2	1	25.1	51.0000	24.4	13.2000	15.4
38	L18C	2	1	25.1	45.0000	25.0	14.2000	22.3
39	L19C	2	1	25.0	43.0000	29.1	14.8000	20.2
40	L20V	2	2	24.9	47.0000	24.1	13.2000	18.2
41	H1V	3	2	25.3	47.0000	23.2	15.2000	22.1
42	H2C	3	1	24.9	39.0000	27.1	14.4000	18.5
43	H3V	3	2	25.1	49.0000	25.0	14.5000	12.5
45	H5V	3	2	24.8	52.0000	27.3	13.9000	14.8
46	H6C	3	1	25.0	51.0000	30.4	13.1000	23.9
47	H7C	3	1	25.4	44.0000	20.8	15.6000	10.4
48	H8V	3	2	25.2	48.0000	16.2	13.8000	13.6
49	H9V	3	2	25.0	53.0000	25.1	13.3000	22.1
50	H10C	3	1	25.2	47.0000	27.5	13.1000	19.1
52	H12C	3	1	24.7	53.0000	23.7	13.6000	19
53	H13V	3	2	24.9	54.0000	23.6	13.0000	14.9
54	H14C	3	1	24.7	52.0000	25.0	13.1000	13.3
55	H15V	3	2	24.4	40.0000	20.0	15.4000	16.1
56	H16C	3	1	25.0	48.0000	21.5	14.4000	17.9
57	H17V	3	2	24.8	38.0000	29.1	14.0000	22.1
60	H20C	3	1	25.0	43.0000	29.6	14.4000	22.2
