number	identity 	treatment_1 	treatment_2	treatment	collection_date	death_date	day_of_death	y2_survival_status	y1_survival_status	adult_production	y1_eggs	y1_larva	y1_pupae	y1_adults	y2_eggs	y2_larva	y2_pupae	y2_adults	weight_queens	weight_adults	tw_thiamethoxam_workers_dryconcentration	cw_clothianidin_workers_dryconcentration	tq_thiamethoxam_queens_dryconcentration	cq_clothianidin_queens_dryconcentration	pos_neg_workers	pos_neg_queens	virus_copies_per_worker	virus_copies_per_queen					
1	C1V	control	virus	2	30.07.16	31.10.17	446	0	0	1	0	38	0	21	10	59	5	197	38	19.9	0	0	0.132450331	0.139072848	pos	neg	1.47E+03	1.59E+03					
2	C2C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	41	0	18	0	153	1	289	43.7	20.4	0	0	0	0	neg	neg	4.15E+02	2.13E+04					
3	C3C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	40	0	10	7	48	2	219	34.7	22.5	0	0	0	0	neg	neg	1.44E+02	2.70E+03					
4	C4V	control	virus	2	30.07.16	31.10.17	446	0	0	1	0	35	0	17	0	69	0	235	31.7	21.6	0	0	0	0	pos	pos	7.38E+04	2.91E+05					
5	C5V	control	virus	2	30.07.16	31.10.17	446	0	0	1	0	27	1	4	0	28	0	174	34.1	20.6	0	0	0	0	pos	pos	7.64E+04	4.39E+05					
6	C6C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	46	0	12	10	130	9	392	37.4	20.1	0	0	0	0	neg	neg	2.47E+02	3.93E+03					
7	C7C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	34	0	16	30	159	8	231	27	20.4	0	0	0	0	neg	neg	4.62E+02	2.96E+03					
8	C8V	control	virus	2	30.07.16	31.10.17	446	0	0	1	70	0	4	1	7	35	3	107	29	22.6	0	0	0	0	NA	pos	NA	2.29E+05					
9	C9C	control	control	1	30.07.16	14.08.16	3	1	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA					
10	C10C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	38	0	20	0	69	4	293	31.3	19.2	0	0	0	0	neg	neg	1.88E+02	1.11E+03					
11	C11V	control	virus	2	30.07.16	31.10.17	446	0	0	1	0	45	0	16	0	25	0	155	29.7	16.4	0	0	0	0	pos	pos	7.08E+02	9.59E+04					
12	C12C	control	control	1	30.07.16	17.05.17	279	1	0	1	0	36	0	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
13	C13V	control	virus	2	30.07.16	31.10.17	446	0	0	1	4	10	0	6	10	88	0	294	30.6	18.3	0	0	0	0	pos	pos	1.03E+04	3.06E+05					
14	C14C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	52	0	18	15	46	0	230	35.5	19.3	0	0	0	0	neg	neg	3.39E+01	3.20E+03					
15	C15V	control	virus	2	30.07.16	25.05.17	287	1	0	1	0	35	0	18	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA					
16	C16V	control	virus	2	30.07.16	30.08.17	384	1	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	pos	NA	1.77E+05					
17	C17V	control	virus	2	30.07.16	31.10.17	446	0	0	1	0	29	0	19	0	58	0	144	37.5	17.1	0	0	0	0	pos	neg	7.42E+02	8.44E+03					
18	C18V	control	virus	2	30.07.16	31.10.17	446	0	0	1	7	28	0	6	25	51	3	245	29.9	20.9	0	0	0	0	pos	pos	3.94E+04	1.48E+04					
19	C19C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	34	1	11	30	149	7	348	25.3	21.2	0	0	0	0	neg	neg	9.12E+02	7.41E+03					
20	C20C	control	control	1	30.07.16	31.10.17	446	0	0	1	0	44	0	18	10	81	0	292	30	23.6	0	0	0	0	neg	neg	1.65E+02	3.96E+04					
21	L1V	low	virus	4	30.07.16	31.10.17	446	0	0	1	0	37	0	12	4	36	0	142	29.9	18.5	0.158865248	0	0.185620915	0	pos	pos	5.65E+03	2.04E+05					
22	L2V	low	virus	4	30.07.16	31.10.17	446	0	0	1	1	29	0	13	15	36	0	131	29.9	18.7	0.261654135	0.177443609	0.250704225	0	pos	pos	4.05E+04	8.94E+05					
23	L3C	low	control	3	30.07.16	23.06.17	316	1	0	1	0	42	0	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
24	L4C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	35	0	19	6	16	1	189	36	17.6	0.10647482	0.178417266	0.13836478	0	neg	neg	2.46E+02	1.75E+04					
25	L5V	low	virus	4	30.07.16	31.10.17	446	0	0	1	0	42	0	12	0	66	0	203	30.4	18.2	0.242105263	0.119736842	0.265945946	0	pos	neg	5.16E+03	4.07E+04					
26	L6C	low	control	3	30.07.16	31.10.17	446	0	0	1	3	45	0	13	0	31	3	155	30.7	18.7	0.122077922	0.254545455	0.084974093	0	neg	neg	5.20E+01	1.03E+04					
27	L7C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	32	0	12	0	56	6	187	22.9	15.8	0.160839161	0.286713287	0.188636364	0	neg	neg	7.60E+02	3.15E+03					
28	L8C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	30	0	19	0	58	0	201	36.3	21	0.23625	0.16375	0.166019417	0	neg	neg	4.37E+01	2.31E+04					
29	L9V	low	virus	4	30.07.16	31.10.17	446	0	0	1	0	41	1	14	8	49	0	172	45.6	19.8	0.114814815	0.275308642	0.141463415	0	pos	pos	2.60E+03	1.08E+05					
