id	treatment_1	treatment_2	treatment	time	observation_number	active_time	initial_speed	average_speed	overall_movement	number_of_stops	datum															
C10C	control	control	1	13:47:00	1	103.714	28	1.8512448	192	2	02.10.17															
C10C	control	control	1	16:55:00	2	98.869	27	1.2642992	125	3	04.10.17															
C10C	control	control	1	16:50:00	3	118.555	30	2.1930749	260	2	05.10.17															
C10C	control	control	1	14:20:00	4	22.834	18	1.6203906	37	5	10.10.17															
C10C	control	control	1	17:17:00	5	98.218	18	0.8043332	79	4	10.10.17															
C11V	control	virus	2	13:23:00	1	49.254	0	0.8933285	44	9	28.09.18															
C11V	control	virus	2	15:01:00	2	110.927	30	1.4243602	158	3	04.10.17															
C11V	control	virus	2	12:46:00	3	100.24	29	1.8355946	184	4	06.10.17															
C11V	control	virus	2	16:58:00	4	115.066	27	2.2161194	255	1	09.10.17															
C11V	control	virus	2	14:50:00	5	108.162	24	1.3313363	144	3	11.10.17															
C13V	control	virus	2	11:21:00	1	120	32	2.575	309	0	03.10.17															
C13V	control	virus	2	11:57:00	2	120	13	0.825	99	0	04.10.17															
C13V	control	virus	2	14:56:00	3	120	18	1.2583333	151	0	05.10.17															
C13V	control	virus	2	10:55:00	4	120	10	0.7916667	95	0	10.10.17															
C13V	control	virus	2	16:36:00	5	115.848	12	0.9581521	111	2	10.10.17															
C14C	control	control	1	13:54:00	1	111.185	20	1.9247201	214	2	28.09.18															
C14C	control	control	1	16:43:00	2	118.393	53	2.6437374	313	1	04.10.17															
C14C	control	control	1	14:28:00	3	116.227	35	2.1939825	255	3	05.10.17															
C14C	control	control	1	16:29:00	4	109.59	20	1.3413633	147	4	09.10.17															
C14C	control	control	1	14:15:00	5	115.919	34	3.1401237	364	1	11.10.17															
C17V	control	virus	2	15:38:00	1	116.868	34	2.3958654	280	2	02.10.17															
C17V	control	virus	2	11:49:00	2	118.599	24	1.3743792	163	1	04.10.17															
C17V	control	virus	2	13:19:00	3	114.748	22	1.3072123	150	1	06.10.17															
C17V	control	virus	2	11:33:00	4	120	18	1.4083333	169	0	10.10.17															
C17V	control	virus	2	17:13:00	5	120	7	0.5166667	62	0	10.10.17															
C18V	control	virus	2	10:12:00	1	40.209	18	0.9948022	40	2	03.10.17															
C18V	control	virus	2	11:42:00	2	101.964	26	1.7064846	174	2	04.10.17															
C18V	control	virus	2	13:23:00	3	113.974	22	1.8249776	208	2	06.10.17															
C18V	control	virus	2	14:48:00	4	102.658	20	0.8182509	84	4	10.10.17															
C18V	control	virus	2	15:00:00	5	120	29	1.8	216	0	11.10.17															
C19C	control	control	1	11:28:00	1	116.064	44	3.3946788	394	2	03.10.17															
C19C	control	control	1	15:50:00	2	108.206	25	2.2734414	246	4	03.10.17															
C19C	control	control	1	13:15:00	3	82.061	27	1.7547922	144	3	06.10.17															
C19C	control	control	1	14:14:00	4	118.169	40	2.3610253	279	1	10.10.17															
C19C	control	control	1	13:03:00	5	112.134	36	1.1414914	128	4	11.10.17															
C1V	control	virus	2	13:45:00	1	118.496	25	1.1561572	137	0	28.09.18															
C1V	control	virus	2	15:40:00	2	104.488	12	0.7752086	81	3	03.10.17															
C1V	control	virus	2	12:51:00	3	105.644	36	2.1676574	229	3	06.10.17															
C1V	control	virus	2	14:06:00	4	120	20	1.6333333	196	0	09.10.17															
C1V	control	virus	2	14:09:00	5	116.57	22	1.6556575	193	1	11.10.17															
C20C	control	control	1	10:36:00	1	90.913	35	2.7058836	246	4	03.10.17															
C20C	control	control	1	15:07:00	2	102.662	18	1.8604742	191	4	04.10.17															
C20C	control	control	1	14:20:00	3	100.01	34	1.579842	158	5	05.10.17															
C20C	control	control	1	16:53:00	4	116.554	42	2.40232	280	2	09.10.17															
C20C	control	control	1	14:29:00	5	105.729	40	2.2037473	233	2	11.10.17															
C2C	control	control	1	13:35:00	1	52.755	34	1.8576438	98	2	02.10.17															
C2C	control	control	1	11:30:00	2	104.344	32	1.1979606	125	3	04.10.17															
C2C	control	control	1	16:41:00	3	120	48	2.775	333	0	05.10.17															
C2C	control	control	1	16:40:00	4	118.694	40	2.2663319	269	1	09.10.17															
C2C	control	control	1	12:27:00	5	112.027	33	2.5172503	282	2	11.10.17															
C3C	control	control	1	10:42:00	1	79.856	40	2.1163094	169	4	03.10.17															
C3C	control	control	1	11:23:00	2	104.858	29	2.145759	225	3	04.10.17															
C3C	control	control	1	16:29:00	3	119.19	27	2.2569007	269	2	05.10.17															
C3C	control	control	1	17:11:00	4	111.238	15	0.5663532	63	2	09.10.17															
C3C	control	control	1	17:34:00	5	113.923	24	1.5097917	172	2	10.10.17															
C4V	control	virus	2	15:28:00	1	71.095	19	0.7876785	56	2	02.10.17															
C4V	control	virus	2	15:23:00	2	119.334	14	0.9888213	118	1	03.10.17															
C4V	control	virus	2	14:44:00	3	117.838	16	1.3662825	161	1	05.10.17															
C4V	control	virus	2	11:52:00	4	112.228	9	0.784118	88	5	10.10.17															
C4V	control	virus	2	12:50:00	5	81.695	10	0.4651447	38	1	11.10.17															
C5V	control	virus	2	14:25:00	1	105.181	42	2.7096149	285	3	02.10.17															
C5V	control	virus	2	16:35:00	2	111.381	12	1.6070964	179	4	04.10.17															
C5V	control	virus	2	16:33:00	3	111.945	36	2.349368	263	3	05.10.17															
C5V	control	virus	2	14:39:00	4	120	20	1.675	201	0	09.10.17															
C5V	control	virus	2	16:58:00	5	104.68	22	1.8914788	198	4	10.10.17															
C6C	control	control	1	15:12:00	1	99.991	41	1.5301377	153	7	02.10.17															
C6C	control	control	1	12:10:00	2	96.814	45	1.0845539	105	3	04.10.17															
C6C	control	control	1	14:24:00	3	96.952	41	1.887532	183	2	05.10.17															
C6C	control	control	1	11:42:00	4	110.868	40	1.7949273	199	4	10.10.17															
C6C	control	control	1	12:54:00	5	75.008	16	0.6665956	50	6	11.10.17															
C7C	control	control	1	13:41:00	1	120	35	1.5583333	187	0	02.10.17															
C7C	control	control	1	14:46:00	2	114.761	49	2.7012661	310	1	04.10.17															
C7C	control	control	1	17:01:00	3	112.962	61	3.7534746	424	3	05.10.17															
C7C	control	control	1	16:49:00	4	120	39	3.2	384	0	09.10.17															
C7C	control	control	1	13:17:00	5	115.719	66	3.8973721	451	2	11.10.17															
C8V	control	virus	2	15:17:00	1	116.299	8	1.5563332	181	2	02.10.17															
C8V	control	virus	2	15:11:00	2	114.526	27	2.1217889	243	3	04.10.17															
C8V	control	virus	2	17:14:00	3	114.538	50	2.6104873	299	2	05.10.17															
C8V	control	virus	2	14:51:00	4	117.96	44	2.6788742	316	2	09.10.17															
C8V	control	virus	2	17:50:00	5	100.309	27	1.1364883	114	6	10.10.17															
H10C	high	control	5	10:21:00	1	117.004	59	2.2990667	269	3	03.10.17															
H10C	high	control	5	12:13:00	2	94.26	44	2.4931042	235	5	04.10.17															
H10C	high	control	5	17:37:00	3	111.054	33	1.7739118	197	3	05.10.17															
H10C	high	control	5	15:08:00	4	112.724	41	2.2355488	252	2	09.10.17															
H10C	high	control	5	16:40:00	5	118.023	37	2.5757691	304	3	10.10.17															
H12C	high	control	5	13:55:00	1	104.361	36	1.782275	186	3	02.10.17															
H12C	high	control	5	14:34:00	2	112.898	36	0.9831884	111	2	04.10.17															
H12C	high	control	5	14:47:00	3	118.491	43	2.4643222	292	1	05.10.17															
H12C	high	control	5	14:30:00	4	116.513	42	2.2400934	261	2	09.10.17															
H12C	high	control	5	14:20:00	5	107.658	38	1.904178	205	4	11.10.17															
H13V	high	virus	6	15:49:00	1	111.285	22	0.8356921	93	1	02.10.17															
H13V	high	virus	6	16:00:00	2	100.436	17	0.726831	73	3	03.10.17															
H13V	high	virus	6	15:00:00	3	114.284	15	0.9100137	104	3	05.10.17															
H13V	high	virus	6	11:29:00	4	105.301	28	2.269684	239	5	10.10.17															
H13V	high	virus	6	12:46:00	5	107.576	16	0.6321113	68	1	11.10.17															
H14C	high	control	5	15:23:00	1	113.56	31	2.456851	279	2	02.10.17															
H14C	high	control	5	14:37:00	2	84.008	29	1.1070374	93	6	04.10.17															
H14C	high	control	5	15:13:00	3	78.615	44	2.3786809	187	7	05.10.17															
H14C	high	control	5	15:28:00	4	99.198	46	2.1875441	217	3	10.10.17															
H14C	high	control	5	14:56:00	5	66.507	24	1.6539612	110	14	11.10.17															
H15V	high	virus	6	16:48:00	1	115.994	44	3.3105161	384	1	02.10.17															
H15V	high	virus	6	16:38:00	2	116.258	21	0.9805777	114	2	04.10.17															
H15V	high	virus	6	14:31:00	3	120	21	2.0083333	241	0	05.10.17															
H15V	high	virus	6	14:35:00	4	119.321	25	1.6007241	191	1	09.10.17															
H15V	high	virus	6	14:42:00	5	120	23	1.2083333	145	0	11.10.17															
H16C	high	control	5	16:03:00	1	116.053	39	2.8435284	330	2	02.10.17															
H16C	high	control	5	12:01:00	2	117.626	44	3.0435448	358	2	04.10.17															
H16C	high	control	5	13:47:00	3	118.911	32	2.5649435	305	3	06.10.17															
H16C	high	control	5	14:34:00	4	115.808	29	1.6061067	186	3	10.10.17															
H16C	high	control	5	12:23:00	5	101.877	41	2.2379929	228	5	11.10.17															
H17V	high	virus	6	10:00:00	1	120	18	1.1666667	140	0	03.10.17															
H17V	high	virus	6	16:28:00	2	114.485	14	0.7249858	83	3	04.10.17															
H17V	high	virus	6	14:35:00	3	118.82	16	1.0183471	121	1	05.10.17															
H17V	high	virus	6	14:55:00	4	117.842	17	2.0196534	238	4	09.10.17															
H17V	high	virus	6	17:04:00	5	115.728	27	2.2380064	259	6	10.10.17															
H1V	high	virus	6	13:39:00	1	97.046	9	0.8346557	81	4	28.09.18															
H1V	high	virus	6	16:53:00	1	111.097	34	3.204407	356	4	02.10.17															
H1V	high	virus	6	17:10:00	3	119.463	23	1.615563	193	1	05.10.17															
H1V	high	virus	6	11:22:00	4	56.361	14	0.4967974	28	8	10.10.17															
H1V	high	virus	6	12:38:00	5	91.654	12	0.7855631	72	8	11.10.17															
H20C	high	control	5	11:55:00	1	50.775	39	2.934515	149	9	03.10.17															
H20C	high	control	5	16:15:00	2	113.826	42	2.8025231	319	2	04.10.17															
H20C	high	control	5	13:36:00	3	118.694	54	3.2183598	382	1	06.10.17															
H20C	high	control	5	14:10:00	4	111.434	43	2.064002	230	4	09.10.17															
H20C	high	control	5	12:58:00	5	54.634	43	2.8370612	155	5	11.10.17															
H2C	high	control	5	16:32:00	1	67.257	50	3.1520883	212	4	02.10.17															
H2C	high	control	5	14:29:00	2	113.902	38	2.5284894	288	2	04.10.17															
H2C	high	control	5	13:40:00	3	106.051	28	1.7821614	189	2	06.10.17															
H2C	high	control	5	15:16:00	4	120	38	2.4166667	290	0	10.10.17															
H2C	high	control	5	17:02:00	5	120	39	2.05	246	0	10.10.17															
H3V	high	virus	6	16:40:00	1	103.599	28	1.457543	151	1	02.10.17															
H3V	high	virus	6	11:38:00	2	115.072	32	0.8429505	97	1	04.10.17															
H3V	high	virus	6	16:54:00	3	115.663	23	1.1412466	132	3	05.10.17															
H3V	high	virus	6	11:05:00	4	82.353	27	0.7042852	58	7	10.10.17															
H3V	high	virus	6	17:39:00	5	0	0	0	0	0	10.10.17															
H5V	high	virus	6	15:00:00	1	71.063	61	0.1547922	11	5	02.10.17															
H5V	high	virus	6	15:35:00	2	111.822	19	0.992649	111	4	03.10.17															
H5V	high	virus	6	16:20:00	3	99.939	22	1.3808423	138	6	05.10.17															
H5V	high	virus	6	14:20:00	4	120	23	1.975	237	0	09.10.17															
H5V	high	virus	6	16:54:00	5	9.98	7	0.9018036	9	2	10.10.17															
H6C	high	control	5	14:14:00	1	67.793	20	0.8702963	59	8	02.10.17															
H6C	high	control	5	14:53:00	2	117.456	42	2.5882032	304	1	04.10.17															
H6C	high	control	5	17:18:00	3	115.027	46	2.6776322	308	2	05.10.17															
H6C	high	control	5	16:37:00	4	114.829	50	1.7765547	204	2	09.10.17															
H6C	high	control	5	17:21:00	5	111.778	36	2.1918445	245	3	10.10.17															
H7C	high	control	5	14:06:00	1	116.916	28	2.0185432	236	5	02.10.17															
H7C	high	control	5	15:25:00	2	96.968	19	0.9384539	91	7	04.10.17															
H7C	high	control	5	15:04:00	3	107.936	38	1.6861844	182	5	05.10.17															
H7C	high	control	5	14:38:00	4	120	10	0.6166667	74	0	10.10.17															
H7C	high	control	5	16:45:00	5	105.651	31	1.959281	207	4	10.10.17															
H8V	high	virus	6	10:50:00	1	119.173	26	2.2404404	267	1	03.10.17															
H8V	high	virus	6	15:28:00	2	17.328	14	0.9810711	17	3	03.10.17															
H8V	high	virus	6	17:06:00	3	86.547	20	0.8434723	73	5	05.10.17															
H8V	high	virus	6	17:02:00	4	94.697	33	0.6652798	63	4	09.10.17															
H8V	high	virus	6	13:12:00	5	116.184	17	0.7488122	87	1	11.10.17															
H9V	high	virus	6	11:54:00	1	105.907	14	0.8309177	88	4	03.10.17															
H9V	high	virus	6	16:47:00	2	93.134	22	1.4280499	133	2	04.10.17															
H9V	high	virus	6	14:39:00	3	95.408	30	2.2429985	214	6	05.10.17															
H9V	high	virus	6	14:15:00	4	89.584	1	0.2902304	26	3	09.10.17															
H9V	high	virus	6	17:30:00	5	28.219	6	1.0276764	29	5	10.10.17															
L11C	low	control	3	11:48:00	1	120	41	2.15	258	0	03.10.17															
L11C	low	control	3	15:45:00	2	64.275	13	0.7779074	50	4	03.10.17															
L11C	low	control	3	13:08:00	3	107.978	40	2.2782419	246	3	06.10.17															
L11C	low	control	3	14:47:00	4	47.306	27	1.5642836	74	4	09.10.17															
L11C	low	control	3	17:21:00	5	117.241	24	1.4841224	174	4	10.10.17															
L12V	low	virus	4	14:55:00	1	106.635	12	0.7408449	79	1	02.10.17															
L12V	low	virus	4	16:08:00	2	44.084	0	0.1814717	8	9	04.10.17															
L12V	low	virus	4	16:57:00	3	110.508	26	1.3935643	154	5	05.10.17															
L12V	low	virus	4	15:35:00	4	63.014	26	1.6186879	102	5	10.10.17															
L12V	low	virus	4	17:46:00	5	114.082	5	0.4821094	55	2	10.10.17															
L13V	low	virus	4	11:13:00	1	0	0	0	0	0	03.10.17															
L13V	low	virus	4	16:19:00	2	114.44	32	2.6476756	303	2	04.10.17															
L13V	low	virus	4	13:31:00	3	111.862	31	2.2795945	255	2	06.10.17															
L13V	low	virus	4	11:11:00	4	108.122	22	1.3040824	141	5	10.10.17															
L13V	low	virus	4	16:32:00	5	117.783	31	1.9442534	229	1	10.10.17															
L15V	low	virus	4	13:59:00	1	113.332	3	0.3088272	35	1	02.10.17															
L15V	low	virus	4	12:05:00	2	100.543	17	1.2034652	121	3	04.10.17															
L15V	low	virus	4	17:23:00	3	101.257	10	0.9283309	94	2	05.10.17															
L15V	low	virus	4	16:44:00	4	120	21	1.2583333	151	0	09.10.17															
L15V	low	virus	4	16:49:00	5	115.592	11	0.9170185	106	3	10.10.17															
L16V	low	virus	4	14:17:00	1	112.693	37	2.3160267	261	1	02.10.17															
L16V	low	virus	4	16:59:00	2	117.846	31	1.7650154	208	2	04.10.17															
L16V	low	virus	4	16:46:00	3	120	13	1.4416667	173	0	05.10.17															
L16V	low	virus	4	14:29:00	4	117.596	28	1.9388415	228	2	10.10.17															
L16V	low	virus	4	14:42:00	5	117.363	29	2.0875404	245	2	11.10.17															
L17C	low	control	3	14:49:00	1	46.687	24	1.9277315	90	4	02.10.17															
L17C	low	control	3	14:49:00	2	96.57	40	1.9467744	188	3	04.10.17															
L17C	low	control	3	14:52:00	3	76.674	36	1.5128988	116	3	05.10.17															
L17C	low	control	3	14:58:00	4	79.446	23	1.5985701	127	5	10.10.17															
L17C	low	control	3	15:08:00	5	120	43	1.6666667	200	0	11.10.17															
L18C	low	control	3	12:05:00	1	120	56	3.3666667	404	0	03.10.17															
L18C	low	control	3	16:50:00	2	119.153	44	3.4073838	406	1	04.10.17															
L18C	low	control	3	13:44:00	3	120	58	3.9416667	473	0	06.10.17															
L18C	low	control	3	14:08:00	4	114.834	27	2.2380131	257	2	10.10.17															
L18C	low	control	3	14:25:00	5	120	29	2.1583333	259	0	11.10.17															
L19C	low	control	3	14:12:00	1	66.167	18	0.8312301	55	3	02.10.17															
L19C	low	control	3	11:45:00	2	114.153	37	1.9184778	219	2	04.10.17															
L19C	low	control	3	16:38:00	3	101.915	35	1.795614	183	6	05.10.17															
L19C	low	control	3	15:21:00	4	114.833	46	1.8026177	207	3	10.10.17															
L19C	low	control	3	13:08:00	5	45	15	0.7777778	35	3	11.10.17															
L1V	low	virus	4	15:55:00	1	97.32	7	0.6781751	66	6	02.10.17															
L1V	low	virus	4	15:17:00	2	93.038	17	0.763129	71	6	03.10.17															
L1V	low	virus	4	15:08:00	3	116.739	34	2.5784014	301	2	05.10.17															
L1V	low	virus	4	14:51:00	4	93.917	8	0.1810109	17	4	10.10.17															
L1V	low	virus	4	15:04:00	5	99.764	12	1.1326731	113	5	11.10.17															
L20V	low	virus	4	12:14:00	1	31.669	15	1.3262181	42	7	03.10.17															
L20V	low	virus	4	14:24:00	2	75.073	16	0.8658239	65	7	04.10.17															
L20V	low	virus	4	16:23:00	2	91.679	36	1.7452197	160	2	04.10.17															
L20V	low	virus	4	13:27:00	3	117.001	10	0.8974282	105	4	06.10.17															
