name	number	colony_id	sample_id	PN_assignment_DWVb	PN_assignment_ABPV	replication_DWVb	replication_ABPV	vcps_DWVb	vcps_ABPV	sample
Individual_adults1	1	12	12_IA1	1	1	NA	NA	9.51E+04	1.99E+04	worker
Individual_adults2	1	12	12_IA2	0	1	NA	NA	7.53E+02	9.35E+03	worker
Individual_adults3	1	12	12_IA3	0	1	NA	NA	4.86E+02	1.23E+03	worker
Individual_adults4	1	12	12_IA4	1	1	NA	NA	3.37E+04	2.78E+03	worker
Individual_adults5	1	12	12_IA5	1	1	NA	NA	3.40E+05	2.04E+06	worker
Individual_adults6	1	12	12_IA6	1	1	NA	NA	7.46E+03	2.42E+05	worker
Individual_adults7	1	12	12_IA7	0	1	NA	NA	1.49E+03	3.49E+03	worker
Individual_adults8	1	12	12_IA8	1	1	NA	NA	4.29E+04	9.51E+06	worker
Individual_adults9	1	12	12_IA9	1	1	NA	NA	5.37E+04	8.73E+05	worker
Individual_adults10	1	12	12_IA10	1	1	NA	NA	1.53E+04	2.55E+05	worker
Individual_adults1	1	8	08_IA1	1	1	NA	NA	6.12E+03	1.46E+07	worker
Individual_adults2	1	8	08_IA2	0	1	NA	NA	7.18E+02	2.03E+05	worker
Individual_adults3	1	8	08_IA3	1	1	NA	NA	9.51E+02	1.05E+06	worker
Individual_adults4	1	8	08_IA4	1	1	NA	NA	1.45E+03	1.34E+04	worker
Individual_adults5	1	8	08_IA5	0	1	NA	NA	5.18E+02	8.54E+04	worker
Individual_adults6	1	8	08_IA6	1	1	NA	NA	4.19E+03	1.29E+04	worker
Individual_adults7	1	8	08_IA7	1	1	NA	NA	2.46E+03	4.12E+05	worker
Individual_adults8	1	8	08_IA8	1	1	NA	NA	5.55E+02	1.53E+07	worker
Individual_adults9	1	8	08_IA9	1	1	NA	NA	8.63E+02	2.02E+03	worker
Individual_adults10	1	8	08_IA10	0	1	NA	NA	1.11E+04	5.93E+03	worker
Individual_adults1	1	4	04_IA1	0	1	NA	NA	5.05E+02	5.58E+04	worker
Individual_adults2	1	4	04_IA2	0	1	NA	NA	7.20E+02	5.23E+02	worker
Individual_adults3	1	4	04_IA3	0	1	NA	NA	2.20E+03	7.38E+02	worker
Individual_adults4	1	4	04_IA4	1	1	NA	NA	4.22E+02	3.04E+03	worker
Individual_adults5	1	4	04_IA5	1	1	NA	NA	1.70E+03	1.61E+04	worker
Individual_adults6	1	4	04_IA6	1	1	NA	NA	9.12E+02	1.01E+03	worker
Individual_adults7	1	4	04_IA7	0	1	NA	NA	1.94E+02	4.17E+02	worker
Individual_adults8	1	4	04_IA8	1	1	NA	NA	5.11E+02	4.50E+03	worker
Individual_adults9	1	4	04_IA9	0	1	NA	NA	1.28E+02	1.20E+04	worker
Individual_adults10	1	4	04_IA10	1	1	NA	NA	6.38E+03	3.73E+04	worker
individual_eggs	1	12	12_IE1	0	NA	NA	NA	NA	NA	egg
individual_eggs	1	12	12_IE2	0	NA	NA	NA	NA	NA	egg
individual_eggs	1	12	12_IE3	0	NA	NA	NA	NA	NA	egg
individual_eggs	1	12	12_IE4	0	NA	NA	NA	NA	NA	egg
individual_eggs	1	12	12_IE5	0	NA	NA	NA	NA	NA	egg
3_eggs_pooled	3	12	12_3PE1	0	NA	NA	NA	NA	NA	egg
3_eggs_pooled	3	12	12_3PE2	0	NA	NA	NA	NA	NA	egg
3_eggs_pooled	3	12	12_3PE3	0	NA	NA	NA	NA	NA	egg
3_eggs_pooled	3	12	12_3PE4	0	NA	NA	NA	NA	NA	egg
3_eggs_pooled	3	12	12_3PE5	0	NA	NA	NA	NA	NA	egg
5_eggs_pooled	5	12	12_5PE1	0	NA	NA	NA	NA	NA	egg
5_eggs_pooled	5	12	12_5PE2	0	NA	NA	NA	NA	NA	egg
5_eggs_pooled	5	12	12_5PE3	0	NA	NA	NA	NA	NA	egg
pupae1	1	NA	FP_1	1	1	1	1	2.13E+11	3.68E+09	feeding_pupae
pupae2	1	NA	FP_2	1	1	1	1	3.81E+11	1.46E+07	feeding_pupae
pupae3	1	NA	FP_3	1	1	1	1	5.68E+10	3.72E+10	feeding_pupae
pupae4	1	NA	FP_4	1	1	1	1	1.34E+11	9.12E+10	feeding_pupae
pupae5	1	NA	FP_5	1	1	1	1	1.46E+11	1.22E+10	feeding_pupae
pupae6	1	NA	FP_6	1	1	1	1	2.83E+11	2.71E+08	feeding_pupae
pupae7	1	NA	FP_7	1	1	1	1	8.33E+11	1.15E+09	feeding_pupae
pupae8	1	NA	FP_8	1	1	1	1	1.06E+11	8.15E+10	feeding_pupae
pupae9	1	NA	FP_9	1	1	1	1	8.00E+10	3.40E+09	feeding_pupae
pupae10	1	NA	FP_10	1	1	1	1	1.61E+11	8.85E+08	feeding_pupae
pupae11	1	NA	FP_11	1	1	1	1	1.10E+11	1.02E+10	feeding_pupae
