Videonumber	Name 	colony	id 	treat_neonic	treat_virus	time	random-number	run 	date 	REMARKS	Start_time	Time_end	Time_active	Time_inactive	Initial_speed_[10s]	Average_speed_during_activity	Overall_movement		Start-active	Start-inactive	
001	001_C11V	11	C11V	control	virus	13:23:00	11	1	28.09.2018	NA	11.396	131.396	49.254	70.746	0		44		35.96	69.722	33.762
002	002_L9V	29	L9V	low	virus	13:28:00	29	1	28.09.2018	NA	9.75	129.75	94.914	25.086	32		134		91.433	102.403	10.97
003	003_L2V	22	L2V	high	virus	13:34:00	22	1	28.09.2018	NA	22.225	142.225	44.732	75.268	0		4		0	0	0
004	004_H1V	41	H1V	high	virus	13:39:00	41	1	28.09.2018	NA		120		120					0	0	0
005	005_C1V	1	C1V	control	virus	13:45:00	1	1	28.09.2018	NA		120		120					0	0	0
006	006_C14C	14	C14C	control	control	13:54:00	14	1	28.09.2018	NA		120		120					0	0	0
007	007_C2C	2	C2C	control	control	13:35:00	2	1	02.10.2017	NA		120		120					0	0	0
008	008_C7C	7	C7C	control	control	13:41:00	7	1	02.10.2017	NA		120		120					0	0	0
009	009_C10C	10	C10C	control	control	13:47:00	10	1	02.10.2017	NA		120		120					0	0	0
010	010_H12C	52	H12C	high	control	13:55:00	52	1	02.10.2017	NA		120		120							44.732
011	011_L15V	35	L15V	low	virus	13:59:00	35	1	02.10.2017	NA		120		120							
012	012_H7C	47	H7C	high	control	14:06:00	47	1	02.10.2017	NA		120		120							
013	013_L19C	39	L19C	low	control	14:12:00	39	1	02.10.2017	NA		120		120							
014	014_L16V	36	L16V	low	virus	14:17:00	36	1	02.10.2017	NA		120		120							
015	015_C5V	5	C5V	control	virus	14:25:00	5	1	02.10.2017	NA		120		120							
016	016_H6C	46	H6C	high	control	14:14:00	46	1	02.10.2017	NA		120		120							
017	017_L17C	37	L17C	low	control	14:49:00	37	1	02.10.2017	NA		120		120							
018	018_L12V	32	L12V	low	virus	14:55:00	32	1	02.10.2017	NA		120		120							
019	019_H5V	45	H5V	high	virus	15:00:00	45	1	02.10.2017	NA		120		120							
020	020_L6C	26	L6C	low	control	15:07:00	26	1	02.10.2017	NA		120		120							
021	021_C6C	6	C6C	control	control	15:12:00	6	1	02.10.2017	NA		120		120							
022	022_C8V	8	C8V	control	virus	15:17:00	8	1	02.10.2017	NA		120		120							
023	023_H14C	54	H14C	high	control	15:23:00	54	1	02.10.2017	NA		120		120							
024	024_C4V	4	C4V	control	virus	15:28:00	4	1	02.10.2017	NA		120		120							
025	025_C17V	17	C17V	control	virus	15:38:00	17	1	02.10.2017	NA		120		120							
026	026_L4C	24	L4C	low	control	15:43:00	24	1	02.10.2017	NA		120		120							
027	027_H13V	53	H13V	high	virus	15:49:00	53	1	02.10.2017	NA		120		120							
028	028_L1V	21	L1V	low	virus	15:55:00	21	1	02.10.2017	NA		120		120							
029	029_H16C	56	H16C	high	control	16:03:00	56	1	02.10.2017	NA		120		120							
030	030_H2C	42	H2C	high	control	16:32:00	42	1	02.10.2017	NA		120		120							
031	031_H3V	43	H3V	high	virus	16:40:00	43	1	02.10.2017	NA		120		120							
032	032_H15V	55	H15V	high	virus	16:48:00	55	1	02.10.2017	NA		120		120							
033	033_H1V	41	H1V	high	virus	16:53:00	40	1	02.10.2017	NA											
034	034_H17V	57	H17V	high	virus	10:00:00	57	1	03.10.2017	NA											
035	035_L8C	28	L8C	low	control	10:06:00	28	1	03.10.2017	NA											
036	036_C18V	18	C18V	control	virus	10:12:00	18	1	03.10.2017	NA											
037	037_H10C	50	H10C	high	control	10:21:00	50	1	03.10.2017	NA											
038	038_L7C	27	L7C	low	control	10:27:00	27	1	03.10.2017	NA											
039	039_C20C	20	C20C	control	control	10:36:00	20	1	03.10.2017	NA											
040	040_C3C	3	C3C	control	control	10:42:00	3	1	03.10.2017	NA											
041	041_H8V	48	H8V	high	virus	10:50:00	48	1	03.10.2017	NA											
042	042_L13V	33	L13V	low	virus	11:13:00	33	1	03.10.2017	NA											
043	043_C13V	13	C13V	control	virus	11:21:00	13	1	03.10.2017	NA											
044	044_C19C	19	C19C	control	control	11:28:00	19	1	03.10.2017	NA											
045	045_L5V	25	L5V	low	virus	11:40:00	25	1	03.10.2017	NA											
046	046_L11C	31	L11C	low	control	11:48:00	31	1	03.10.2017	NA											
047	047_H9V	49	H9V	high	virus	11:54:00	49	1	03.10.2017	NA											
048	048_H20C	60	H20C	high	control	11:55:00	60	1	03.10.2017	NA											
049	049_L18C	38	L18C	low	control	12:05:00	38	1	03.10.2017	NA											
050	050_L20V	40	L20V	low	virus	12:14:00	40	1	03.10.2017	NA											
051	051_L1V	21	L1V	low	virus	15:17:00	21	2	03.10.2017	NA											
052	052_C4V	4	C4V	control	virus	15:23:00	4	2	03.10.2017	NA											
053	053_H8V	48	H8V	high	virus	15:28:00	48	2	03.10.2017	NA											
054	054_H5V	45	H5V	high	virus	15:35:00	45	2	03.10.2017	NA											
055	055_C1V	1	C1V	control	virus	15:40:00	1	2	03.10.2017	NA											
056	056_L11C	31	L11C	low	control	15:45:00	31	2	03.10.2017	NA											
057	057_C19C	19	C19C	control	control	15:50:00	19	2	03.10.2017	NA											
058	058_L9V	29	L9V	low	virus	15:55:00	29	2	03.10.2017	NA											
059	059_H13V	53	H13V	high	virus	16:00:00	53	2	03.10.2017	NA											
060	060_C3C	3	C3C	control	control	11:23:00	3	2	04.10.2017	NA											
061	061_C2C	2	C2C	control	control	11:30:00	2	2	04.10.2017	NA											
062	062_L4C	24	L4C	low	control	11:34:00	24	2	04.10.2017	NA											
063	063_H3V	43	H3V	high	virus	11:38:00	43	2	04.10.2017	NA											
064	064_C18V	18	C18V	control	virus	11:42:00	18	2	04.10.2017	NA											
065	065_L19C	39	L19C	low	control	11:45:00	39	2	04.10.2017	NA											
066	066_C17V	17	C17V	control	virus	11:49:00	17	2	04.10.2017	NA											
067	067_L2V	22	L2V	low	virus	11:53:00	22	2	04.10.2017	NA											
068	068_C13V	13	C13V	control	virus	11:57:00	13	2	04.10.2017	NA											
069	069_H16C	56	H16C	high	control	12:01:00	56	2	04.10.2017	NA											
070	070_L15V	35	L15V	low	virus	12:05:00	35	2	04.10.2017	NA											
071	071_C6C	6	C6C	control	control	12:10:00	6	2	04.10.2017	NA											
072	072_H10C	50	H10C	high	control	12:13:00	50	2	04.10.2017	NA											
073	073_L20V	40	L20V	low	virus	14:24:00	40	2	04.10.2017	NA											
074	074_H2C	42	H2C	high	control	14:29:00	42	2	04.10.2017	NA											
075	075_H12C	52	H12C	high	control	14:34:00	52	2	04.10.2017	NA											
076	076_H14C	54	H14C	high	virus	14:37:00	54	2	04.10.2017	NA											
077	077_L8C	28	L8C	low	control	14:41:00	28	2	04.10.2017	NA											
078	078_C7C	7	C7C	control	control	14:46:00	7	2	04.10.2017	NA											
079	079_L17C	37	L17C	low	control	14:49:00	37	2	04.10.2017	NA											
080	080_H6C	46	H6C	high	control	14:53:00	46	2	04.10.2017	NA											
