identity 	deathday	treatment	status	label	run
1	5	NI	1	NI.1	1
2	5	NI	1	NI.2	1
3	5	NI	1	NI.3	1
4	6	NI	1	NI.4	1
5	6	NI	1	NI.5	1
6	7	NI	1	NI.6	1
7	7	NI	1	NI.7	1
8	8	NI	1	NI.8	1
9	8	NI	1	NI.9	1
10	9	NI	0	NI.10	1
11	9	NI	0	NI.11	1
12	9	NI	0	NI.12	1
13	9	NI	0	NI.13	1
14	9	NI	0	NI.14	1
15	9	NI	0	NI.15	1
16	9	NI	0	NI.16	1
17	9	NI	0	NI.17	1
18	9	NI	0	NI.18	1
19	9	NI	0	NI.19	1
20	9	NI	0	NI.20	1
1	1	PBS	1	P.1	1
2	1	PBS	1	P.2	1
3	2	PBS	1	P.3	1
4	2	PBS	1	P.4	1
5	2	PBS	1	P.5	1
6	2	PBS	1	P.6	1
7	2	PBS	1	P.7	1
8	2	PBS	1	P.8	1
9	2	PBS	1	P.9	1
10	3	PBS	1	P.10	1
11	4	PBS	1	P.11	1
12	4	PBS	1	P.12	1
13	4	PBS	1	P.13	1
14	4	PBS	1	P.14	1
15	6	PBS	1	P.15	1
16	6	PBS	1	P.16	1
17	6	PBS	1	P.17	1
18	6	PBS	1	P.18	1
19	9	PBS	0	P.19	1
20	9	PBS	0	P.20	1
1	1	Sol1 	1	S1.1	1
2	2	Sol1 	1	S1.2	1
3	2	Sol1 	1	S1.3	1
4	2	Sol1 	1	S1.4	1
5	2	Sol1 	1	S1.5	1
6	3	Sol1 	1	S1.6	1
7	3	Sol1 	1	S1.7	1
8	3	Sol1 	1	S1.8	1
9	3	Sol1 	1	S1.9	1
10	3	Sol1 	1	S1.10	1
11	3	Sol1 	1	S1.11	1
12	4	Sol1 	1	S1.12	1
13	5	Sol1 	1	S1.13	1
14	5	Sol1 	1	S1.14	1
15	6	Sol1 	1	S1.15	1
16	8	Sol1 	1	S1.16	1
17	9	Sol1 	0	S1.17	1
18	9	Sol1 	0	S1.18	1
19	9	Sol1 	0	S1.19	1
20	9	Sol1 	0	S1.20	1
1	1	Sol2	1	S2.1	1
2	3	Sol2	1	S2.2	1
3	3	Sol2	1	S2.3	1
4	3	Sol2	1	S2.4	1
5	4	Sol2	1	S2.5	1
6	4	Sol2	1	S2.6	1
7	6	Sol2	1	S2.7	1
8	6	Sol2	1	S2.8	1
9	9	Sol2	0	S2.9	1
10	9	Sol2	0	S2.10	1
11	9	Sol2	0	S2.11	1
12	9	Sol2	0	S2.12	1
13	9	Sol2	0	S2.13	1
14	9	Sol2	0	S2.14	1
15	9	Sol2	0	S2.15	1
16	9	Sol2	0	S2.16	1
17	9	Sol2	0	S2.17	1
18	9	Sol2	0	S2.18	1
19	9	Sol2	0	S2.19	1
20	9	Sol2	0	S2.20	1
1	1	Sol3	1	S3.1	1
2	1	Sol3	1	S3.2	1
3	3	Sol3	1	S3.3	1
4	4	Sol3	1	S3.4	1
5	6	Sol3	1	S3.5	1
6	6	Sol3	1	S3.6	1
7	6	Sol3	1	S3.7	1
8	6	Sol3	1	S3.8	1
9	7	Sol3	1	S3.9	1
10	7	Sol3	1	S3.10	1
11	9	Sol3	0	S3.11	1
12	9	Sol3	0	S3.12	1
13	9	Sol3	0	S3.13	1
14	9	Sol3	0	S3.14	1
15	9	Sol3	0	S3.15	1
16	9	Sol3	0	S3.16	1
17	9	Sol3	0	S3.17	1
18	9	Sol3	0	S3.18	1
19	9	Sol3	0	S3.19	1
20	9	Sol3	0	S3.20	1
1	1	Sol4	1	S4.1	1
