sample	name	treat	week	id	vcps	log_vcps	pos_neg_asssignment	vcps_new	log_vcps_new
2	T1_1	1	1	1	6.04E+07	7.780793408	pos	6.04E+07	7.780793408
3	T1_2	1	1	2	4.94E+08	8.693773185	pos	4.94E+08	8.693773185
5	T1_3	1	1	3	7.87E+07	7.896068953	pos	7.87E+07	7.896068953
7	T1_4	1	1	4	4.71E+08	8.672763253	pos	4.71E+08	8.672763253
8	T1_5	1	1	5	1.78E+08	8.250305701	pos	1.78E+08	8.250305701
10	T1_6	1	1	6	4.07E+08	8.60985488	pos	4.07E+08	8.60985488
11	T2_1	2	1	7	6.12E+09	9.786562027	pos	6.12E+09	9.786562027
13	T2_2	2	1	8	2.35E+09	9.370296237	pos	2.35E+09	9.370296237
15	T2_3	2	1	9	4.69E+09	9.671442969	pos	4.69E+09	9.671442969
17	T2_4	2	1	10	8.99E+08	8.953879957	pos	8.99E+08	8.953879957
18	T2_5	2	1	11	6.92E+08	8.840317391	pos	6.92E+08	8.840317391
19	T2_6	2	1	12	1.50E+10	10.17558912	pos	1.50E+10	10.17558912
20	C_1	3	1	13	1.85E+05	5.267833845	pos	1.85E+05	5.267833845
21	C_2	3	1	14	7.86E+02	2.895537186	neg	1.48E+03	3.171269626
22	C_3	3	1	15	7.58E+05	5.879660664	pos	7.58E+05	5.879660664
25	2_T1_1	1	2	1	1.11E+08	8.046296294	pos	1.11E+08	8.046296294
28	2_T1_2	1	2	2	4.66E+09	9.668740462	pos	4.66E+09	9.668740462
29	2_T1_3	1	2	3	7.58E+08	8.879675222	pos	7.58E+08	8.879675222
31	2_T1_4	1	2	4	6.82E+07	7.833577871	pos	6.82E+07	7.833577871
33	2_T1_5	1	2	5	6.28E+08	8.797701951	pos	6.28E+08	8.797701951
34	2_T1_6	1	2	6	4.43E+07	7.646372172	pos	4.43E+07	7.646372172
35	2_T2_1	2	2	7	1.65E+08	8.216752497	pos	1.65E+08	8.216752497
37	2_T2_2	2	2	8	2.89E+08	8.461534944	pos	2.89E+08	8.461534944
40	2_T2_3	2	2	9	1.02E+09	9.01028694	pos	1.02E+09	9.01028694
42	2_T2_4	2	2	10	9.80E+07	7.991066981	pos	9.80E+07	7.991066981
43	2_T2_5	2	2	11	1.06E+08	8.025090925	pos	1.06E+08	8.025090925
45	2_T2_6	2	2	12	1.22E+09	9.085781015	pos	1.22E+09	9.085781015
46	2_C_1	3	2	13	2.00E+04	4.300662292	pos	2.00E+04	4.300662292
47	2_C_2	3	2	14	1.34E+04	4.12614054	pos	1.34E+04	4.12614054
48	2_C_3	3	2	15	2.32E+04	4.366294079	pos	2.32E+04	4.366294079
51	3_T1_1	1	3	1	7.87E+07	7.89586645	pos	7.87E+07	7.89586645
52	3_T1_2	1	3	2	1.77E+07	7.248701407	pos	1.77E+07	7.248701407
53	3_T1_3	1	3	3	5.22E+07	7.717934378	pos	5.22E+07	7.717934378
