treatmentweek	logvcps	lwr	upr	lwr1	upr1	treat	week
w1_t1	8.396397	7.586895	9.205898	0.809502	-0.809501	1	9
w1_t2	9.165318	8.355816	9.97482	0.809502	-0.809502	2	9
w1_t3	4.612969	3.468161	5.757777	1.144808	-1.144808	3	9
w2_t1	8.177697	7.617553	8.737842	0.560144	-0.560145	1	10
w2_t2	8.507389	7.947245	9.067533	0.560144	-0.560144	2	10
w2_t3	3.963335	3.171171	4.755499	0.792164	-0.792164	3	10
w3_t1	7.218011	6.616978	7.819043	0.601033	-0.601032	1	11
w3_t2	7.947358	7.346326	8.548391	0.601032	-0.601033	2	11
w3_t3	3.763569	2.91358	4.613557	0.849989	-0.849988	3	11
w4_t1	7.067652	6.504847	7.630457	0.562805	-0.562805	1	12
w4_t2	6.821868	6.308099	7.335636	0.513769	-0.513768	2	12
w4_t3	3.964896	2.706425	5.223366	1.258471	-1.25847	3	12
