id	logvcps	lwr	upr	lwr1	upr1	treat	week
w1_t1	8.095659	6.872174	9.319143	-1.223485	1.223484	1	13
w1_t2	8.864172	7.640688	10.087657	-1.223484	1.223485	2	13
w1_t3	3.54731	1.817042	5.277579	-1.730268	1.730269	3	13
w2_t1	7.877109	7.316749	8.43747	-0.56036	0.560361	1	14
w2_t2	8.206289	7.645929	8.766649	-0.56036	0.56036	2	14
w2_t3	3.662298	2.869828	4.454767	-0.79247	0.792469	3	14
w3_t1	6.92E+00	6.3717907	7.4627542	-0.5454813	0.5454822	1	15
w3_t2	7.65E+00	7.1007319	8.1916953	-0.5454821	0.5454813	2	15
w3_t3	-8.88E-16	-0.7714277	0.7714277	-0.7714277	0.7714277	3	15
w4_t1	6.77E+00	6.203877	7.328951	-0.562537	0.562537	1	16
w4_t2	6.52E+00	6.007429	7.034476	-0.513523	0.513524	2	16
w4_t3	-8.88E-16	-1.25787	1.25787	-1.25787	1.25787	3	16
							
