treat	week	logvcps	lwr	upr	lwr1	upr1
1	1	19.33342	17.469471	21.19736	-1.863949	1.86394
2	1	21.10392	19.239978	22.96787	-1.863942	1.86395
3	1	10.62175	7.985735	13.25777	-2.636015	2.63602
1	2	18.829844	17.540064	20.11962	-1.28978	1.289776
2	2	19.588987	18.299207	20.87877	-1.28978	1.289783
3	2	9.125916	7.301891	10.94994	-1.824025	1.824024
1	3	16.620084	15.236155	18.00401	-1.383929	1.383926
2	3	18.299469	16.91554	19.6834	-1.383929	1.383931
3	3	8.665938	6.708767	10.62311	-1.957171	1.957172
1	4	16.27387	14.977963	17.56978	-1.295907	1.29591
2	4	15.70793	14.524936	16.89093	-1.182994	1.183
3	4	9.12951	6.231774	12.02725	-2.897736	2.89774
