sample	vcps	name	treat	week	id
2	42071069.1	T1_1.2	1	1	1
3	1412377904.6	T1_2	1	1	2
5	223289092.0	T1_3	1	1	3
7	235360326.3	T1_4	1	1	4
8	88976579.3	T1_5	1	1	5
10	860138293.0	T1_6.2	1	1	6
11	3058665829.5	T2_1	2	1	7
13	1172914193.2	T2_2	2	1	8
15	2346459017.4	T2_3	2	1	9
17	449624493.1	T2_4	2	1	10
18	346168379.5	T2_5	2	1	11
19	7491333433.2	T2_6	2	1	12
20	92641.1	C1	3	1	13
21	393.1	C_2	3	1	14
22	1894962.7	C_3	3	1	15
25	55624522.8	2_T1_1	1	2	1
28	2331902923.0	2_T1_2.2	1	2	2
29	379005250.6	2_T1_3	1	2	3
31	34083789.5	2_T1_4	1	2	4
33	313813740.6	2_T1_5	1	2	5
34	22148390.7	2_T1_6	1	2	6
35	184209548.2	2_T2_1	2	2	7
37	736956717.8	2_T2_2	2	2	8
40	750643113.6	2_T2_3.2	2	2	9
42	108353915.8	2_T2_4.2	2	2	10
43	52973775.9	2_T2_5	2	2	11
45	1893392264.5	T2_6.2	2	2	12
46	9991.5	2_C1	3	2	13
47	6685.1	2_C2	3	2	14
48	11621.6	2_C3	3	2	15
51	39340190.1	3_T1_1	1	3	1
52	8864850.4	3_T1_2	1	3	2
53	26115863.0	3_T1_3	1	3	3
55	47652066.7	3_T1_4	1	3	4
56	1438279.8	3_T1_5	1	3	5
58	32563149.2	3_T1_6.2	1	3	6
60	419462370.7	3_T2_1.2	2	3	7
61	131844095.4	3_T2_2	2	3	8
63	128973128.4	3_T2_3	2	3	9
65	124828877.7	3_T2_4	2	3	10
66	2927367.3	3_T2_5	2	3	11
67	185398084.9	3_T2_6	2	3	12
68	28033.6	3_C1	3	3	13
69	1134.2	3_C2	3	3	14
70	6142.4	3_C3	3	3	15
84	9667534.1	4_T1_1	1	4	1
85	7257267.2	4_T1_3	1	4	3
86	24641670.2	4_T1_4	1	4	4
87	3491583.4	4_T1_5	1	4	5
88	36097598.4	4_T1_6	1	4	6
89	12505254.9	4_T2_1	2	4	7
90	8870635.9	4_T2_2	2	4	8
91	3004243.5	4_T2_3	2	4	9
92	5192436.3	4_T2_4	2	4	10
93	747553.9	4_T2_5	2	4	11
94	65979830.0	4_T2_6	2	4	12
95	9223.5	4_C3	3	4	15
97	210348308678.9	LW_2.1	4	2	a
98	165922193961.0	LW_2.2	4	2	b
99	117730473186.4	LW_2.3	4	2	c
100	298002435009.5	LW_2.4	4	2	d
101	316644850428.9	LW_3.1	4	3	e
102	254497308393.1	LW_3.2	4	3	f
103	218337924477.2	LW_3.3	4	3	g
104	244253554879.0	LW_4.1	4	4	h
105	580771305828.0	LW_4.2	4	4	i
106	1122256872546.1	LW_4.3	4	4	j
107	722647493591.5	LW_4.4	4	4	k
