sample	name	treat	week	id	vcps	
2	T1_1.2	1	1	1	2.10E+07	
3	T1_2	1	1	2	7.06E+08	
5	T1_3	1	1	3	1.12E+08	
7	T1_4	1	1	4	1.18E+08	
8	T1_5	1	1	5	4.45E+07	
10	T1_6.2	1	1	6	4.30E+08	
11	T2_1	2	1	7	1.53E+09	
13	T2_2	2	1	8	5.86E+08	
15	T2_3	2	1	9	1.17E+09	
17	T2_4	2	1	10	2.25E+08	
18	T2_5	2	1	11	1.73E+08	
19	T2_6	2	1	12	3.75E+09	
20	C_1	3	1	13	4.63E+04	
21	C_2	3	1	14	0.00E+00	
22	C_3	3	1	15	9.47E+05	
25	2_T1_1	1	2	1	2.78E+07	
28	2_T1_2.2	1	2	2	1.17E+09	
29	2_T1_3	1	2	3	1.90E+08	
31	2_T1_4	1	2	4	1.70E+07	
33	2_T1_5	1	2	5	1.57E+08	
34	2_T1_6	1	2	6	1.11E+07	
35	2_T2_1	2	2	7	9.21E+07	
37	2_T2_2	2	2	8	3.68E+08	
40	2_T2_3.2	2	2	9	3.75E+08	
42	2_T2_4.2	2	2	10	5.42E+07	
43	2_T2_5	2	2	11	2.65E+07	
45	2_T2_6.2	2	2	12	9.47E+08	
46	2_C_1	3	2	13	5.00E+03	
47	2_C_2	3	2	14	3.34E+03	
48	2_C_3	3	2	15	5.81E+03	
51	3_T1_1	1	3	1	1.97E+07	
52	3_T1_2	1	3	2	4.43E+06	
53	3_T1_3	1	3	3	1.31E+07	
55	3_T1_4	1	3	4	2.38E+07	
56	3_T1_5	1	3	5	7.19E+05	
58	3_T1_6.2	1	3	6	1.63E+07	
60	3_T2_1.2	2	3	7	2.10E+08	
61	3_T2_2	2	3	8	6.59E+07	
63	3_T2_3	2	3	9	6.45E+07	
65	3_T2_4	2	3	10	6.24E+07	
66	3_T2_5	2	3	11	1.46E+06	
67	3_T2_6	2	3	12	9.27E+07	
68	3_C_1	3	3	13	0.00E+00	
69	3_C_2	3	3	14	0.00E+00	
70	3_C_3	3	3	15	0.00E+00	
84	4_T1_1	1	4	1	4.83E+06	
85	4_T1_3	1	4	3	3.63E+06	
86	4_T1_4	1	4	4	1.23E+07	
87	4_T1_5	1	4	5	1.75E+06	
88	4_T1_6	1	4	6	1.80E+07	
89	4_T2_1	2	4	7	6.25E+06	
90	4_T2_2	2	4	8	4.44E+06	
91	4_T2_3	2	4	9	1.50E+06	
92	4_T2_4	2	4	10	2.60E+06	
93	4_T2_5	2	4	11	3.74E+05	
94	4_T2_6	2	4	12	3.30E+07	
95	4_C_3	3	4	15	0.00E+00	
97	LW_2.1	4	2	a	2.10E+11	
98	LW_2.2	4	2	b	1.66E+11	
99	LW_2.3	4	2	c	1.18E+11	
100	LW_2.4	4	2	d	2.98E+11	
101	LW_3.1	4	3	e	3.17E+11	
102	LW_3.2	4	3	f	2.54E+11	
103	LW_3.3	4	3	g	2.18E+11	
104	LW_4.1	4	4	h	2.44E+11	
105	LW_4.2	4	4	i	5.81E+11	
106	LW_4.3	4	4	j	1.12E+12	
107	LW_4.5	4	4	k	7.23E+11	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
