videonumber	name	colony	id 	treat1	treat2	time	run 	date 	start_time	end_time	active_time	inactive_time	ini_speed	av_speed	sum_move	nr_stops	drops
001	001_C11V	11	C11V	control	virus	13:23:00	1	28.09.2018	11.396	131.396	49.254	70.746	0	0.893328461	44	9	0
002	002_L9V	29	L9V	low	virus	13:28:00	1	28.09.2018	9.75	129.75	94.914	25.086	32	1.41180437	134	3	0
003	003_L2V	22	L2V	high	virus	13:34:00	1	28.09.2018	22.225	142.225	44.732	75.268	0	0.089421443	4	0	0
004	004_H1V	41	H1V	high	virus	13:39:00	1	28.09.2018	6.501	126.501	97.046	22.954	9	0.83465573	81	4	0
005	005_C1V	1	C1V	control	virus	13:45:00	1	28.09.2018	8.333	128.333	118.496	1.504	25	1.15615717	137	0	0
006	006_C14C	14	C14C	control	control	13:54:00	1	28.09.2018	7.838	127.838	111.185	8.815	20	1.924720061	214	2	0
007	007_C2C	2	C2C	control	control	13:35:00	1	02.10.2017	16.709	136.709	52.755	67.245	34	1.857643825	98	2	0
008	008_C7C	7	C7C	control	control	13:41:00	1	02.10.2017	7.408	127.408	120	0	35	1.558333333	187	0	0
009	009_C10C	10	C10C	control	control	13:47:00	1	02.10.2017	24.68	144.68	103.714	16.286	28	1.851244769	192	2	0
010	010_H12C	52	H12C	high	control	13:55:00	1	02.10.2017	8.853	128.853	104.361	15.639	36	1.782274988	186	3	0
011	011_L15V	35	L15V	low	virus	13:59:00	1	02.10.2017	33.386	153.386	113.332	6.668	3	0.308827163	35	1	0
012	012_H7C	47	H7C	high	control	14:06:00	1	02.10.2017	4.9	124.9	116.916	3.084	28	2.018543228	236	5	0
013	013_L19C	39	L19C	low	control	14:12:00	1	02.10.2017	10.372	130.372	66.167	53.833	18	0.831230069	55	3	0
014	014_L16V	36	L16V	low	virus	14:17:00	1	02.10.2017	10.33	130.33	112.693	7.307	37	2.316026727	261	1	0
015	015_C5V	5	C5V	control	virus	14:25:00	1	02.10.2017	10.163	130.163	105.181	14.819	42	2.709614854	285	3	0
016	016_H6C	46	H6C	high	control	14:14:00	1	02.10.2017	9.007	129.007	67.793	52.207	20	0.870296343	59	8	0
017	017_L17C	37	L17C	low	control	14:49:00	1	02.10.2017	7.958	127.958	46.687	73.313	24	1.927731488	90	4	0
018	018_L12V	32	L12V	low	virus	14:55:00	1	02.10.2017	6.781	126.781	106.635	13.365	12	0.740844938	79	1	3
019	019_H5V	45	H5V	high	virus	15:00:00	1	02.10.2017	8.784	128.784	71.063	48.937	61	0.154792227	11	5	0
020	020_L6C	26	L6C	low	control	15:07:00	1	02.10.2017	6.053	126.053	118.193	1.807	56	3.46044182	409	1	0
021	021_C6C	6	C6C	control	control	15:12:00	1	02.10.2017	10.586	130.586	99.991	20.009	41	1.530137712	153	7	0
022	022_C8V	8	C8V	control	virus	15:17:00	1	02.10.2017	0	120	116.299	3.701	8	1.556333244	181	2	5
023	023_H14C	54	H14C	high	control	15:23:00	1	02.10.2017	6.534	126.534	113.56	6.44	31	2.456851004	279	2	0
024	024_C4V	4	C4V	control	virus	15:28:00	1	02.10.2017	21.053	141.053	71.095	48.905	19	0.787678458	56	2	0
025	025_C17V	17	C17V	control	virus	15:38:00	1	02.10.2017	5.642	125.642	116.868	3.132	34	2.395865421	280	2	0
026	026_L4C	24	L4C	low	control	15:43:00	1	02.10.2017	6.934	126.934	112.53	7.47	15	1.164134009	131	5	0
027	027_H13V	53	H13V	high	virus	15:49:00	1	02.10.2017	4.997	124.997	111.285	8.715	22	0.835692142	93	1	0
028	028_L1V	21	L1V	low	virus	15:55:00	1	02.10.2017	6.965	126.965	97.32	22.68	7	0.678175092	66	6	0
029	029_H16C	56	H16C	high	control	16:03:00	1	02.10.2017	0	120	116.053	3.947	39	2.843528388	330	2	0
030	030_H2C	42	H2C	high	control	16:32:00	1	02.10.2017	4.042	124.042	67.257	52.743	50	3.152088258	212	4	0
031	031_H3V	43	H3V	high	virus	16:40:00	1	02.10.2017	8.077	128.077	103.599	16.401	28	1.457543026	151	1	0
032	032_H15V	55	H15V	high	virus	16:48:00	1	02.10.2017	0	120	115.994	4.006	44	3.310516061	384	1	0
033	033_H1V	41	H1V	high	virus	16:53:00	1	02.10.2017	10.076	130.076	111.097	8.903	34	3.20440696	356	4	0
034	034_H17V	57	H17V	high	virus	10:00:00	1	03.10.2017	7.085	127.085	120	0	18	1.166666667	140	0	0
035	035_L8C	28	L8C	low	control	10:06:00	1	03.10.2017	6.079	126.079	114.197	5.803	42	2.662066429	304	2	0
036	036_C18V	18	C18V	control	virus	10:12:00	1	03.10.2017	13.861	133.861	40.209	79.791	18	0.994802159	40	2	0
037	037_H10C	50	H10C	high	control	10:21:00	1	03.10.2017	0	120	117.004	2.996	59	2.299066699	269	3	0
038	038_L7C	27	L7C	low	control	10:27:00	1	03.10.2017	7.116	127.116	116.667	3.333	37	2.5199928	294	1	0
