experimental_id	colony_id	position_virus	treatment	pos_corrected	treatment_nr	video_position	feeding_session	block	camera	position	time_first_ant	t00	t00_l	t00_r	t05	t05_l	t05_r	t10	t10_l	t10_r	t15	t15_l	t15_r	t20	t20_l	t20_r	t25	t25_l	t25_r	t30	t30_l	t30_r	t35	t35_l	t35_r	t40	t40_l	t40_r	t45	t45_l	t45_r	t50	t50_l	t50_r	t55	t55_l	t55_r	t60	t60_l	t60_r	time_first_ant_left	time_first_ant_right	second	trl00	rl00	trl05	rl05	trl10	rl10	trl15	rl15	trl20	rl20	trl25	rl25	trl30	rl30	trl35	rl35	trl40	rl40	trl45	rl45	trl50	rl50	trl55	rl55	trl60	rl60
FC02	A81	right	rl	right	2	2	1	1	1	l	00:06:19	00:06:19	0	1	00:11:19	0	0	00:16:19	0	1	00:21:19	0	0	00:26:19	0	1	00:31:19	0	2	00:36:19	1	3	00:41:19	1	3	00:46:19	1	3	00:51:19	1	2	00:56:19	2	1	01:01:19	1	1	01:06:19	0	1	00:29:36	00:06:19	l	00:29:36	1	00:34:36	1	00:39:36	0	00:44:36	0	00:49:36	1	00:54:36	0	00:59:36	0	01:04:36	0	01:09:36	1	01:14:36	1	01:19:36	1	01:24:36	0	01:29:36	2
FC01	A29	right	rr	left	1	1	1	1	1	r	00:14:23	00:14:23	1	0	00:19:23	2	1	00:24:23	1	2	00:29:23	2	2	00:34:23	2	0	00:39:23	7	2	00:44:23	4	3	00:49:23	6	1	00:54:23	4	1	00:59:23	2	2	01:04:23	2	1	01:09:23	1	2	01:14:23	3	3	00:14:23	00:19:13	r	00:19:13	1	00:24:13	0	00:29:13	2	00:34:13	0	00:39:13	2	00:44:13	2	00:49:13	1	00:54:13	1	00:59:13	2	01:04:13	1	01:09:13	3	01:14:13	3	01:19:13	3
FC03	A19	left	lr	left	3	3	1	1	2	l	00:21:59	00:21:59	1	0	00:26:59	0	0	00:31:59	0	0	00:36:59	0	1	00:41:59	0	1	00:46:59	0	2	00:51:59	0	2	00:56:59	1	4	01:01:59	0	2	01:06:59	0	2	01:11:59	0	4	01:16:59	0	2	01:21:59	0	5	00:21:59	00:23:21	r	00:23:21	1	00:28:21	0	00:33:21	0	00:38:21	1	00:43:21	1	00:48:21	2	00:53:21	0	00:58:21	3	01:03:21	2	01:08:21	0	01:13:21	3	01:18:21	3	01:23:21	4
FC04	B01	left	ll	left	4	4	1	1	2	r	00:02:51	00:02:51	1	0	00:07:51	1	0	00:12:51	1	0	00:17:51	2	0	00:22:51	2	0	00:27:51	0	0	00:32:51	1	0	00:37:51	4	0	00:42:51	0	0	00:47:51	2	1	00:52:51	1	0	00:57:51	3	0	01:02:51	4	0	00:02:51	00:13:33	r	00:13:33	1	00:18:33	0	00:23:33	0	00:28:33	0	00:33:33	0	00:38:33	0	00:43:33	0	00:48:33	1	00:53:33	0	00:58:33	0	01:03:33	0	01:08:33	0	01:13:33	0
FC06	A83	right	rl	right	2	2	1	2	1	l	00:18:19	00:18:19	1	0	00:23:19	2	0	00:28:19	1	0	00:33:19	1	0	00:38:19	1	0	00:43:19	1	0	00:48:19	0	1	00:53:19	2	0	00:58:19	2	0	01:03:19	2	0	01:08:19	1	0	01:13:19	1	0	01:18:19	0	0	00:18:19	00:23:31	r	00:23:31	1	00:28:31	0	00:33:31	0	00:38:31	0	00:43:31	0	00:48:31	1	00:53:31	0	00:58:31	0	01:03:31	0	01:08:31	0	01:13:31	0	01:18:31	0	01:23:31	0
FC05	B04	right	rr	right	1	1	1	2	1	r	00:20:21	00:20:21	0	1	00:25:21	0	1	00:30:21	0	1	00:35:21	0	0	00:40:21	0	1	00:45:21	0	1	00:50:21	2	0	00:55:21	0	1	01:00:21	1	0	01:05:21	0	1	01:10:21	1	1	01:15:21	1	1	01:20:21	0	0	00:47:36	00:20:21	l	00:47:36	1	00:52:36	2	00:57:36	0	01:02:36	0	01:07:36	0	01:12:36	0	01:17:36	0	01:22:36	1	01:27:36	0	01:32:36	1	01:37:36	0	01:42:36	2	01:47:36	3
FC07	A11	left	lr	left	3	3	1	2	2	l	00:06:24	00:06:24	1	0	00:11:24	0	0	00:16:24	0	0	00:21:24	1	1	00:26:24	0	0	00:31:24	1	1	00:36:24	2	2	00:41:24	1	2	00:46:24	2	4	00:51:24	1	1	00:56:24	0	4	01:01:24	4	2	01:06:24	1	1	00:06:24	00:07:41	r	00:07:41	1	00:12:41	0	00:17:41	0	00:22:41	1	00:27:41	0	00:32:41	2	00:37:41	1	00:42:41	4	00:47:41	4	00:52:41	3	00:57:41	4	01:02:41	3	01:07:41	1
FC08	A60	left	ll	left	4	4	1	2	2	r	00:00:25	00:00:25	1	0	00:05:25	0	1	00:10:25	1	0	00:15:25	5	2	00:20:25	5	3	00:25:25	6	3	00:30:25	5	1	00:35:25	3	1	00:40:25	4	1	00:45:25	5	0	00:50:25	6	0	00:55:25	5	1	01:00:25	4	1	00:00:25	00:03:31	r	00:03:31	1	00:08:31	1	00:13:31	2	00:18:31	3	00:23:31	2	00:28:31	1	00:33:31	1	00:38:31	1	00:43:31	1	00:48:31	1	00:53:31	1	00:58:31	0	01:03:31	1
FC09	A21	right	rr	right	1	1	1	3	1	NA	00:15:26	00:15:26	0	1	00:20:26	0	2	00:25:26	2	5	00:30:26	1	5	00:35:26	2	6	00:40:26	4	4	00:45:26	1	5	00:50:26	0	4	00:55:26	3	11	01:00:26	2	1	01:05:26	3	5	01:10:26	0	2	01:15:26	3	2	00:24:01	00:15:26	l	00:24:01	1	00:29:01	3	00:34:01	1	00:39:01	2	00:44:01	1	00:49:01	2	00:54:01	1	00:59:01	2	01:04:01	1	01:09:01	2	01:14:01	1	01:19:01	1	01:24:01	3
FC10	A45	right	rl	right	2	2	1	3	2	NA	00:11:14	00:11:14	0	1	00:16:14	5	2	00:21:14	1	7	00:26:14	0	7	00:31:14	0	7	00:36:14	0	9	00:41:14	0	3	00:46:14	1	4	00:51:14	1	3	00:56:14	1	4	01:01:14	0	7	01:06:14	0	4	01:11:14	0	4	00:12:37	00:11:14	l	00:12:37	1	00:17:37	5	00:22:37	1	00:27:37	0	00:32:37	0	00:37:37	0	00:42:37	1	00:47:37	0	00:52:37	0	00:57:37	0	01:02:37	0	01:07:37	0	01:12:37	0
FC11	A50	left	lr	left	3	3	1	3	3	NA	00:00:01	00:00:01	0	1	00:05:01	1	1	00:10:01	1	0	00:15:01	2	0	00:20:01	3	0	00:25:01	4	2	00:30:01	2	2	00:35:01	4	3	00:40:01	0	0	00:45:01	2	1	00:50:01	3	2	00:55:01	4	1	01:00:01	1	0	00:00:27	00:00:01	l	00:00:27	1	00:05:27	1	00:10:27	3	00:15:27	2	00:20:27	4	00:25:27	3	00:30:27	3	00:35:27	5	00:40:27	0	00:45:27	2	00:50:27	2	00:55:27	4	01:00:27	0
FC12	A78	left	ll	left	4	4	1	3	4	NA	00:00:01	00:00:01	1	0	00:05:01	0	1	00:10:01	1	0	00:15:01	2	2	00:20:01	1	3	00:25:01	2	1	00:30:01	2	0	00:35:01	1	0	00:40:01	0	0	00:45:01	0	0	00:50:01	1	3	00:55:01	0	0	01:00:01	0	0	00:00:01	00:00:53	r	00:00:53	1	00:05:53	1	00:10:53	2	00:15:53	1	00:20:53	2	00:25:53	0	00:30:53	0	00:35:53	0	00:40:53	0	00:45:53	0	00:50:53	2	00:55:53	0	01:00:53	0
FC13	A72	right	rr	right	1	1	1	4	1	NA	00:07:31	00:07:31	0	1	00:12:31	0	3	00:17:31	0	2	00:22:31	1	1	00:27:31	1	2	00:32:31	0	0	00:37:31	0	2	00:42:31	0	0	00:47:31	0	2	00:52:31	0	3	00:57:31	1	1	01:02:31	1	2	01:07:31	1	3	00:19:16	00:07:31	l	00:19:16	1	00:24:16	0	00:29:16	0	00:34:16	0	00:39:16	0	00:44:16	0	00:49:16	0	00:54:16	0	00:59:16	0	01:04:16	0	01:09:16	0	01:14:16	0	01:19:16	0
FC14	A63	right	rl	right	2	2	1	4	2	NA	00:02:43	00:02:43	0	1	00:07:43	0	1	00:12:43	0	1	00:17:43	0	2	00:22:43	0	3	00:27:43	0	3	00:32:43	0	0	00:37:43	1	4	00:42:43	1	3	00:47:43	0	6	00:52:43	1	3	00:57:43	1	1	01:02:43	0	3	00:25:03	00:02:43	l	00:25:03	1	00:30:03	0	00:35:03	1	00:40:03	1	00:45:03	1	00:50:03	0	00:55:03	1	01:00:03	0	01:05:03	0	01:10:03	1	01:15:03	0	01:20:03	0	01:25:03	1
FC15	A16	left	lr	left	3	3	1	4	3	NA	00:35:35	00:35:35	0	1	00:40:35	1	0	00:45:35	3	3	00:50:35	1	0	00:55:35	1	4	01:00:35	1	4	01:05:35	1	5	01:10:35	0	1	01:15:35	0	4	01:20:35	2	3	01:25:35	0	0	01:30:35	2	2	01:35:35	2	1	00:37:27	00:35:35	l	00:37:27	1	00:42:27	2	00:47:27	1	00:52:27	0	00:57:27	1	01:02:27	1	01:07:27	0	01:12:27	1	01:17:27	0	01:22:27	0	01:27:27	1	01:32:27	3	01:37:27	0
FC16	A25	left	ll	left	4	4	1	4	4	NA	00:11:02	00:11:02	0	1	00:16:02	0	0	00:21:02	0	0	00:26:02	0	0	00:31:02	0	1	00:36:02	2	0	00:41:02	0	0	00:46:02	0	1	00:51:02	1	0	00:56:02	0	0	01:01:02	1	2	01:06:02	0	0	01:11:02	1	2	00:17:21	00:11:02	l	00:17:21	1	00:22:21	0	00:27:21	0	00:32:21	0	00:37:21	1	00:42:21	0	00:47:21	0	00:52:21	1	00:57:21	0	01:02:21	1	01:07:21	0	01:12:21	1	01:17:21	1
FC01	A29	right	rr	right	1	1	2	5	1	NA	00:00:07	00:00:07	0	1	00:05:07	0	0	00:10:07	1	0	00:15:07	3	2	00:20:07	6	4	00:25:07	0	1	00:30:07	2	2	00:35:07	2	3	00:40:07	0	1	00:45:07	3	2	00:50:07	2	2	00:55:07	3	5	01:00:07	4	1	00:06:27	00:00:07	l	00:06:27	1	00:11:27	2	00:16:27	3	00:21:27	1	00:26:27	1	00:31:27	1	00:36:27	3	00:41:27	0	00:46:27	2	00:51:27	1	00:56:27	5	01:01:27	2	01:06:27	3
FC02	A81	left	rl	left	2	2	2	5	2	NA	00:00:32	00:00:32	1	0	00:05:32	3	0	00:10:32	2	0	00:15:32	4	1	00:20:32	6	2	00:25:32	2	1	00:30:32	3	3	00:35:32	1	2	00:40:32	1	2	00:45:32	2	3	00:50:32	1	3	00:55:32	2	3	01:00:32	3	3	00:00:32	00:11:08	r	00:11:08	1	00:16:08	0	00:21:08	3	00:26:08	2	00:31:08	3	00:36:08	2	00:41:08	2	00:46:08	4	00:51:08	4	00:56:08	3	01:01:08	3	01:06:08	5	01:11:08	2
FC03	A19	right	lr	right	3	3	2	5	3	NA	00:10:09	00:10:09	0	1	00:15:09	2	2	00:20:09	0	1	00:25:09	3	3	00:30:09	1	3	00:35:09	2	3	00:40:09	2	1	00:45:09	1	1	00:50:09	3	0	00:55:09	1	1	01:00:09	2	2	01:05:09	2	0	01:10:09	0	1	00:10:29	00:10:09	l	00:10:29	1	00:15:29	1	00:20:29	3	00:25:29	4	00:30:29	0	00:35:29	2	00:40:29	1	00:45:29	2	00:50:29	4	00:55:29	2	01:00:29	2	01:05:29	2	01:10:29	0
FC04	B01	left	ll	left	4	4	2	5	4	NA	00:08:49	00:08:49	1	0	00:13:49	0	0	00:18:49	1	0	00:23:49	2	0	00:28:49	1	0	00:33:49	2	2	00:38:49	4	0	00:43:49	2	1	00:48:49	3	2	00:53:49	0	2	00:58:49	2	1	01:03:49	1	0	01:08:49	2	0	00:08:49	00:11:46	r	00:11:46	1	00:16:46	0	00:21:46	0	00:26:46	0	00:31:46	1	00:36:46	0	00:41:46	1	00:46:46	0	00:51:46	2	00:56:46	0	01:01:46	0	01:06:46	0	01:11:46	2
FC08	A60	left	ll	left	4	1	2	6	1	NA	00:09:45	00:09:45	1	0	00:14:45	0	1	00:19:45	0	4	00:24:45	2	3	00:29:45	3	3	00:34:45	3	1	00:39:45	3	4	00:44:45	4	3	00:49:45	2	5	00:54:45	3	3	00:59:45	4	3	01:04:45	3	3	01:09:45	3	4	00:09:45	00:11:34	r	00:11:34	1	00:16:34	2	00:21:34	2	00:26:34	2	00:31:34	2	00:36:34	3	00:41:34	6	00:46:34	3	00:51:34	3	00:56:34	4	01:01:34	3	01:06:34	3	01:11:34	4
FC05	B04	right	rr	right	1	2	2	6	2	NA	00:09:19	00:09:19	1	0	00:14:19	1	3	00:19:19	0	1	00:24:19	0	1	00:29:19	0	2	00:34:19	0	6	00:39:19	1	2	00:44:19	1	3	00:49:19	0	3	00:54:19	0	1	00:59:19	1	1	01:04:19	0	3	01:09:19	1	4	00:09:19	00:10:38	r	00:10:38	1	00:15:38	3	00:20:38	3	00:25:38	3	00:30:38	2	00:35:38	7	00:40:38	3	00:45:38	1	00:50:38	3	00:55:38	1	01:00:38	0	01:05:38	2	01:10:38	3
FC06	A83	left	rl	left	2	3	2	6	3	NA	00:25:54	00:25:54	1	0	00:30:54	0	0	00:35:54	1	1	00:40:54	1	1	00:45:54	1	1	00:50:54	0	1	00:55:54	1	0	01:00:54	2	5	01:05:54	3	0	01:10:54	5	0	01:15:54	1	1	01:20:54	3	1	01:25:54	4	1	00:25:54	00:32:18	r	00:32:18	1	00:37:18	1	00:42:18	1	00:47:18	1	00:52:18	0	00:57:18	1	01:02:18	3	01:07:18	0	01:12:18	0	01:17:18	2	01:22:18	1	01:27:18	2	01:32:18	1
