nr	colony	treatment	nr_measurement	date	weekday	day_since_start	week	video_order	recording_position	workers	w_yellow	w_blue	w_white	w_unmarked	pupae	incidents	death	death_external_factor	death_colorNA	death_yellow	death_blue	death_white	death_black	death_locationNA	death_nest	death_arena	sum_symptoms	clinic_colorNA	clinic_yellow	clinic_blue	clinic_white	clinic_black	slow	unresposive	posture_abnormal	moving_zigzag_limping	trembly_hinking	troubles	impaired_locomotion_pronounced	partial_paralysis	paralysis	newly_emerged_struggling	else	ants_sampled				
1	1	virus 	1	2021-02-12	Friday	0	1	4312	3	66	66	0	0	0	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
2	2	virus 	1	2021-02-12	Friday	0	1	4312	4	54	54	0	0	0	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
3	3	control	1	2021-02-12	Friday	0	1	4312	2	53	53	0	0	0	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
4	4	virus 	1	2021-02-12	Friday	0	1	4312	1	56	56	0	0	0	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
5	1	virus 	2	2021-02-15	Monday	3	1	3124	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
6	2	virus 	2	2021-02-15	Monday	3	1	3124	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
7	3	control	2	2021-02-15	Monday	3	1	3124	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
8	4	virus 	2	2021-02-15	Monday	3	1	3124	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
9	1	virus 	3	2021-02-19	Friday	7	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
10	2	virus 	3	2021-02-19	Friday	7	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
11	3	control	3	2021-02-19	Friday	7	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
12	4	virus 	3	2021-02-19	Friday	7	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
13	1	virus 	4	2021-02-22	Monday	10	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
14	2	virus 	4	2021-02-22	Monday	10	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
15	3	control	4	2021-02-22	Monday	10	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
16	4	virus 	4	2021-02-22	Monday	10	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
17	1	virus 	5	2021-02-24	Wednesday	12	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
18	2	virus 	5	2021-02-24	Wednesday	12	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
19	3	control	5	2021-02-24	Wednesday	12	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
20	4	virus 	5	2021-02-24	Wednesday	12	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
21	1	virus 	6	2021-02-26	Friday	14	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
22	2	virus 	6	2021-02-26	Friday	14	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
23	3	control	6	2021-02-26	Friday	14	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
24	4	virus 	6	2021-02-26	Friday	14	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
25	1	virus 	7	2021-03-01	Monday	17	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
26	2	virus 	7	2021-03-01	Monday	17	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
27	3	control	7	2021-03-01	Monday	17	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
28	4	virus 	7	2021-03-01	Monday	17	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
29	1	virus 	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
30	2	virus 	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
31	3	control	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
32	4	virus 	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
