concentration,fungus,petri_dish,ant_ID,old survival,survival,block,censor
0,S,C1S,1,19,18,2,0
0,S,C1S,2,19,18,2,0
0,S,C1S,3,15,14,2,1
0,S,C1S,4,13,12,2,1
0,S,C1S,5,6,5,2,1
0,S,C1S,6,19,18,2,0
0,S,C1S,7,19,18,2,0
0,S,C1S,8,2,1,2,1
0,S,C1S,9,5,4,2,1
0,S,C1S,10,6,5,2,1
0,S,C1S,11,19,18,2,0
0,S,C1S,12,19,18,2,0
0,S,C1S,13,19,18,2,0
0,S,C1S,14,19,18,2,0
0,S,C1S,15,19,18,2,0
0,S,C1S,16,19,18,2,0
0,S,C1S,17,19,18,2,0
0,S,C1S,18,19,18,2,0
0,S,C1S,19,13,12,2,1
0,S,C1S,20,19,18,2,0
0,M,C1M,1,19,18,2,0
0,M,C1M,2,6,5,2,1
0,M,C1M,3,19,18,2,0
0,M,C1M,4,19,18,2,0
0,M,C1M,5,5,4,2,1
0,M,C1M,6,19,18,2,0
0,M,C1M,7,10,9,2,1
0,M,C1M,8,6,5,2,1
0,M,C1M,9,19,18,2,0
0,M,C1M,10,19,18,2,0
0,M,C1M,11,19,18,2,0
0,M,C1M,12,19,18,2,0
0,M,C1M,13,6,5,2,1
0,M,C1M,14,19,18,2,0
0,M,C1M,15,4,3,2,1
0,M,C1M,16,19,18,2,0
0,M,C1M,17,19,18,2,0
0,M,C1M,18,19,18,2,0
0,M,C1M,19,6,5,2,1
0,M,C1M,20,10,9,2,1
5,S,L1S,1,19,19,1,0
5,S,L1S,2,19,19,1,0
5,S,L1S,3,17,17,1,1
5,S,L1S,4,19,19,1,0
5,S,L1S,5,19,19,1,0
5,S,L1S,6,19,19,1,0
5,S,L1S,7,19,19,1,0
5,S,L1S,8,1,1,1,1
5,S,L1S,9,7,7,1,1
5,S,L1S,10,19,19,1,0
5,S,L1S,11,19,19,1,0
5,S,L1S,12,4,4,1,1
5,S,L1S,13,19,19,1,0
5,S,L1S,14,19,19,1,0
5,S,L1S,15,19,19,1,0
5,S,L1S,16,19,19,1,0
5,S,L1S,17,4,4,1,1
5,S,L1S,18,19,19,1,0
5,S,L1S,19,2,2,1,1
5,S,L1S,20,19,19,1,0
5,M,L1M,1,19,19,1,0
5,M,L1M,2,2,2,1,0
5,M,L1M,3,3,3,1,1
5,M,L1M,4,3,3,1,1
5,M,L1M,5,19,19,1,0
5,M,L1M,6,19,19,1,0
5,M,L1M,7,4,4,1,1
5,M,L1M,8,7,7,1,1
5,M,L1M,9,4,4,1,1
5,M,L1M,10,4,4,1,1
5,M,L1M,11,19,19,1,0
5,M,L1M,12,19,19,1,0
5,M,L1M,13,4,4,1,1
5,M,L1M,14,4,4,1,1
5,M,L1M,15,19,19,1,0
5,M,L1M,16,19,19,1,0
5,M,L1M,17,2,2,1,1
5,M,L1M,18,4,4,1,1
5,M,L1M,19,19,19,1,1
5,M,L1M,20,19,19,1,0
50,S,H1S,1,19,19,1,0
50,S,H1S,2,19,19,1,0
50,S,H1S,3,19,19,1,0
50,S,H1S,4,19,19,1,0
50,S,H1S,5,19,19,1,0
50,S,H1S,6,16,16,1,1
50,S,H1S,7,19,19,1,0
50,S,H1S,8,10,10,1,1
50,S,H1S,9,19,19,1,0
50,S,H1S,10,2,2,1,1
50,S,H1S,11,14,14,1,1
50,S,H1S,12,16,16,1,1
50,S,H1S,13,19,19,1,0
50,S,H1S,14,19,19,1,0
50,S,H1S,15,19,19,1,0
50,S,H1S,16,19,19,1,0
50,S,H1S,17,19,19,1,0
50,S,H1S,18,19,19,1,0
50,S,H1S,19,19,19,1,0
50,S,H1S,20,19,19,1,1
50,M,H1M,1,4,4,1,1
50,M,H1M,2,9,9,1,1
50,M,H1M,3,3,3,1,1
50,M,H1M,4,18,18,1,1
50,M,H1M,5,19,19,1,0
50,M,H1M,6,4,4,1,1
50,M,H1M,7,19,19,1,0
50,M,H1M,8,4,4,1,1
50,M,H1M,9,19,19,1,0
50,M,H1M,10,1,1,1,1
50,M,H1M,11,4,4,1,1
50,M,H1M,12,19,19,1,0
50,M,H1M,13,19,19,1,0
50,M,H1M,14,19,19,1,0
50,M,H1M,15,12,12,1,1
50,M,H1M,16,2,2,1,1
50,M,H1M,17,19,19,1,0
50,M,H1M,18,1,1,1,1
50,M,H1M,19,13,13,1,1
50,M,H1M,20,4,4,1,1
0,S,C2S,1,19,18,2,0
0,S,C2S,2,2,1,2,1
0,S,C2S,3,10,9,2,1
0,S,C2S,4,5,4,2,1
0,S,C2S,5,19,18,2,0
0,S,C2S,6,11,10,2,1
0,S,C2S,7,6,5,2,1
0,S,C2S,8,7,6,2,1
0,S,C2S,9,4,3,2,1
0,S,C2S,10,19,18,2,0
0,S,C2S,11,19,18,2,0
0,S,C2S,12,19,18,2,0
0,S,C2S,13,19,18,2,0
0,S,C2S,14,16,15,2,1
