run	nr	colony	petridish	treatment	sample_type	conc	fluorescence_week1	fluorescence_week2	well	row	column	plate													
1	1	NA	NA	std_curve	std_curve_no_ant	5	471229.5	370572.5	A1	A	01	1.1													
1	1	NA	NA	std_curve	std_curve_control	5	396483.5	306612.25	A2	A	02	1.1													
1	1	NA	NA	std_curve	std_curve_low	5	427201.75	324724	A3	A	03	1.1													
1	1	NA	NA	std_curve	std_curve_high	5	417259	315518.75	A4	A	04	1.1													
1	NA	NA	NA	NA	blank_pbs	NA	118.75	113.25	A5	A	05	1.1													
1	4	C1	1.1	control	ant	NA	6158	4441.25	A6	A	06	1.1													
1	12	C1	1.1	control	ant	NA	28051.25	20507.25	A7	A	07	1.1													
1	20	C1	1.1	control	ant	NA	7413.75	5505.75	A8	A	08	1.1													
1	4	C1	1.3	low	ant	NA	9682.5	7216.25	A9	A	09	1.1													
1	12	C1	1.3	low	ant	NA	2339.25	1785.75	A10	A	10	1.1													
1	20	C1	1.3	low	ant	NA	3896.75	2974.5	A11	A	11	1.1													
1	4	C1	1.5	high	ant	NA	3843.25	2906.5	A12	A	12	1.1													
1	2	NA	NA	std_curve	std_curve_no_ant	2.5	253261.25	196117.5	B1	B	01	1.1													
1	2	NA	NA	std_curve	std_curve_control	2.5	211781.25	159036.5	B2	B	02	1.1													
1	2	NA	NA	std_curve	std_curve_low	2.5	163556.5	118599.5	B3	B	03	1.1													
1	2	NA	NA	std_curve	std_curve_high	2.5	217073.75	161205.5	B4	B	04	1.1													
1	NA	NA	NA	NA	blank_pbs	NA	107.5	99.5	B5	B	05	1.1													
1	5	C1	1.1	control	ant	NA	7652.5	5557.5	B6	B	06	1.1													
1	13	C1	1.1	control	ant	NA	15798	11469	B7	B	07	1.1													
1	21	C1	1.1	control	ant	NA	6179.5	4521.5	B8	B	08	1.1													
1	5	C1	1.3	low	ant	NA	5723.5	4133.25	B9	B	09	1.1													
1	13	C1	1.3	low	ant	NA	25128.25	18171.75	B10	B	10	1.1													
1	21	C1	1.3	low	ant	NA	3655.5	2863.25	B11	B	11	1.1													
1	5	C1	1.5	high	ant	NA	5929.75	4483.25	B12	B	12	1.1													
1	3	NA	NA	std_curve	std_curve_no_ant	1.25	124790.5	91147.25	C1	C	01	1.1													
1	3	NA	NA	std_curve	std_curve_control	1.25	112428.25	84069.5	C2	C	02	1.1													
1	3	NA	NA	std_curve	std_curve_low	1.25	119864.75	90384.75	C3	C	03	1.1													
1	3	NA	NA	std_curve	std_curve_high	1.25	108003.25	80181.25	C4	C	04	1.1													
1	NA	NA	NA	NA	negative_ant	NA	779.75	702	C5	C	05	1.1													
1	6	C1	1.1	control	ant	NA	2149.25	1628.75	C6	C	06	1.1													
1	14	C1	1.1	control	ant	NA	5829.25	4100	C7	C	07	1.1													
1	22	C1	1.1	control	ant	NA	19960.75	14582.5	C8	C	08	1.1													
1	6	C1	1.3	low	ant	NA	3524	2622	C9	C	09	1.1													
1	14	C1	1.3	low	ant	NA	5297.5	3888	C10	C	10	1.1													
1	22	C1	1.3	low	ant	NA	9065.75	6657	C11	C	11	1.1													
1	6	C1	1.5	high	ant	NA	4090.25	3056	C12	C	12	1.1													
1	4	NA	NA	std_curve	std_curve_no_ant	0.625	63712	46856.25	D1	D	01	1.1													
1	4	NA	NA	std_curve	std_curve_control	0.625	55981.25	41756	D2	D	02	1.1													
1	4	NA	NA	std_curve	std_curve_low	0.625	57236.25	43311.5	D3	D	03	1.1													
1	4	NA	NA	std_curve	std_curve_high	0.625	53645.25	39161	D4	D	04	1.1													
1	NA	NA	NA	NA	negative_ant	NA	326.25	301.25	D5	D	05	1.1													
1	7	C1	1.1	control	ant	NA	10579.75	7774.25	D6	D	06	1.1													
1	15	C1	1.1	control	ant	NA	2437	1833	D7	D	07	1.1													
1	23	C1	1.1	control	ant	NA	7126.25	5226	D8	D	08	1.1													
1	7	C1	1.3	low	ant	NA	5141.25	3794	D9	D	09	1.1													
1	15	C1	1.3	low	ant	NA	6752.75	4916	D10	D	10	1.1													
1	23	C1	1.3	low	ant	NA	9505.5	7074.25	D11	D	11	1.1													
1	7	C1	1.5	high	ant	NA	2049.5	1621	D12	D	12	1.1													
1	5	NA	NA	std_curve	std_curve_no_ant	0.3125	30395.75	22527.75	E1	E	01	1.1													
1	5	NA	NA	std_curve	std_curve_control	0.3125	17147.5	12844.25	E2	E	02	1.1													
1	5	NA	NA	std_curve	std_curve_low	0.3125	27192	20461.25	E3	E	03	1.1													
1	5	NA	NA	std_curve	std_curve_high	0.3125	28662.25	21601.5	E4	E	04	1.1													
1	NA	NA	NA	NA	negative_ant	NA	569	530.25	E5	E	05	1.1													
1	8	C1	1.1	control	ant	NA	10127.25	7296.25	E6	E	06	1.1													
1	16	C1	1.1	control	ant	NA	2746.5	2064.25	E7	E	07	1.1													
1	24	C1	1.1	control	ant	NA	1850.25	1431.25	E8	E	08	1.1													
1	8	C1	1.3	low	ant	NA	8396.5	6244.75	E9	E	09	1.1													
1	16	C1	1.3	low	ant	NA	20721.75	14999	E10	E	10	1.1													
1	24	C1	1.3	low	ant	NA	3580.5	2640.75	E11	E	11	1.1													
1	8	C1	1.5	high	ant	NA	3612.25	2733	E12	E	12	1.1													
1	6	NA	NA	std_curve	std_curve_no_ant	0.15625	15192.75	11561.5	F1	F	01	1.1													
1	6	NA	NA	std_curve	std_curve_control	0.15625	14021.5	10676	F2	F	02	1.1													
1	6	NA	NA	std_curve	std_curve_low	0.15625	10970.5	8263	F3	F	03	1.1													
1	6	NA	NA	std_curve	std_curve_high	0.15625	15375.75	11552	F4	F	04	1.1													
1	1	C1	1.1	control	ant	NA	1949.5	1504.25	F5	F	05	1.1													
1	9	C1	1.1	control	ant	NA	10479.25	7589	F6	F	06	1.1													
1	17	C1	1.1	control	ant	NA	1584	1233.75	F7	F	07	1.1													
1	1	C1	1.3	low	ant	NA	7807.75	5717.25	F8	F	08	1.1													
1	9	C1	1.3	low	ant	NA	9499.75	7071	F9	F	09	1.1													
1	17	C1	1.3	low	ant	NA	2889	2156.5	F10	F	10	1.1													
1	1	C1	1.5	high	ant	NA	907	731.25	F11	F	11	1.1													
1	9	C1	1.5	high	ant	NA	18745.25	8455.75	F12	F	12	1.1													
1	7	NA	NA	std_curve	std_curve_no_ant	0.078125	7494.5	5548.25	G1	G	01	1.1													
1	7	NA	NA	std_curve	std_curve_control	0.078125	6504.5	5069.25	G2	G	02	1.1													
1	7	NA	NA	std_curve	std_curve_low	0.078125	4204.5	3209.75	G3	G	03	1.1													
1	7	NA	NA	std_curve	std_curve_high	0.078125	6361.25	4890.75	G4	G	04	1.1													
1	2	C1	1.1	control	ant	NA	7976	5989	G5	G	05	1.1													
1	10	C1	1.1	control	ant	NA	8615.5	6286.5	G6	G	06	1.1													
1	18	C1	1.1	control	ant	NA	2560.5	1921.5	G7	G	07	1.1													
1	2	C1	1.3	low	ant	NA	6593.25	4895.5	G8	G	08	1.1													
1	10	C1	1.3	low	ant	NA	3152.75	2369.25	G9	G	09	1.1													
1	18	C1	1.3	low	ant	NA	11547.75	8579.5	G10	G	10	1.1													
1	2	C1	1.5	high	ant	NA	2925.75	2078.75	G11	G	11	1.1													
1	10	C1	1.5	high	ant	NA	5725.5	5723.5	G12	G	12	1.1													
1	8	NA	NA	std_curve	std_curve_no_ant	0.0390625	3671.75	2820.75	H1	H	01	1.1													
1	8	NA	NA	std_curve	std_curve_control	0.0390625	3123.5	2492.75	H2	H	02	1.1													
