colony_id,ScanTime,TagID,freezer_container,freezer_container_position,PosID,flowjo_plate,flowjo_row_well,flowjo_column_strip,flowjo_name,yellow_count_YB,blue_count_NB,flowjo_sampletype,comment
c01,2022-03-11T15:36:08Z,0x000,Box01,A01,Box01_A01,NA,NA,NA,NA,NA,NA,NA,queen
c01,2022-03-11T16:26:40Z,0x0c0,Box01,B01,Box01_B01,p20,B,4,B4_Sample26.fcs,2,0,sample,NA
c01,2022-03-11T16:27:59Z,0x77f,Box01,C01,Box01_C01,p20,C,4,C4_Sample27.fcs,14,2,sample,NA
c01,2022-03-11T16:28:19Z,0x05b,Box01,D01,Box01_D01,p20,D,4,D4_Sample28.fcs,2,11,sample,NA
c01,2022-03-11T16:28:40Z,0x31b,Box01,E01,Box01_E01,p20,E,4,E4_Sample29.fcs,84,1,sample,NA
c01,2022-03-11T16:29:01Z,0x712,Box01,F01,Box01_F01,p20,F,4,F4_Sample30.fcs,1,1,sample,NA
c01,2022-03-11T16:29:27Z,0x204,Box01,G01,Box01_G01,p20,G,4,G4_Sample31.fcs,0,0,sample,NA
c01,2022-03-11T16:29:43Z,0x2d4,Box01,H01,Box01_H01,p20,H,4,H4_Sample32.fcs,10,280,sample,NA
c01,2022-03-11T16:36:07Z,0x14f,Box01,A02,Box01_A02,p21,A,2,A2_Sample09.fcs,8,62,sample,NA
c01,2022-03-11T16:36:35Z,0x26b,Box01,B02,Box01_B02,p21,B,2,B2_Sample10.fcs,1,0,sample,NA
c01,2022-03-11T16:37:07Z,0x36e,Box01,C02,Box01_C02,p21,C,2,C2_Sample11.fcs,0,4,sample,NA
c01,2022-03-11T16:37:34Z,0x631,Box01,D02,Box01_D02,p21,D,2,D2_Sample12.fcs,194,287,sample,NA
c01,2022-03-11T16:37:55Z,0x2a3,Box01,E02,Box01_E02,p21,E,2,E2_Sample13.fcs,1,1,sample,NA
c01,2022-03-11T16:38:16Z,0x0f2,Box01,F02,Box01_F02,p21,F,2,F2_Sample14.fcs,24,57,sample,NA
c01,2022-03-11T16:38:43Z,0x621,Box01,G02,Box01_G02,p21,G,2,G2_Sample15.fcs,1337,286,sample,NA
c01,2022-03-11T16:39:02Z,0x711,Box01,H02,Box01_H02,p21,H,2,H2_Sample16.fcs,7,0,sample,NA
c01,2022-03-11T16:39:51Z,0x7c0,Box01,A03,Box01_A03,p21,A,3,A3_Sample17.fcs,0,2,sample,NA
c01,2022-03-11T16:40:29Z,0x515,Box01,B03,Box01_B03,p21,B,3,B3_Sample18.fcs,1,2,sample,NA
c01,2022-03-11T16:40:51Z,0x223,Box01,C03,Box01_C03,p21,C,3,C3_Sample19.fcs,4,3,sample,NA
c01,2022-03-11T16:41:13Z,0x565,Box01,D03,Box01_D03,p21,D,3,D3_Sample20.fcs,350,1568,sample,NA
c01,2022-03-11T16:42:27Z,0x2e2,Box01,E03,Box01_E03,p21,E,3,E3_Sample21.fcs,2,3,sample,NA
c01,2022-03-11T16:43:14Z,0x242,Box01,F03,Box01_F03,p21,F,3,F3_Sample22.fcs,243,119,sample,NA
c01,2022-03-11T16:43:39Z,0x665,Box01,G03,Box01_G03,p21,G,3,G3_Sample23.fcs,27,0,sample,NA
c01,2022-03-11T16:44:11Z,0x107,Box01,H03,Box01_H03,p21,H,3,H3_Sample24.fcs,79,1,sample,NA
c01,2022-03-11T16:44:28Z,0x28b,Box01,A04,Box01_A04,p21,A,4,A4_Sample25.fcs,3,1281,sample,NA
c01,2022-03-11T16:44:50Z,0x17a,Box01,B04,Box01_B04,p21,B,4,B4_Sample26.fcs,430,155,sample,NA
c01,2022-03-11T16:45:13Z,0x1ee,Box01,C04,Box01_C04,p21,C,4,C4_Sample27.fcs,1,1,sample,NA
c01,2022-03-11T16:45:33Z,0x307,Box01,D04,Box01_D04,p21,D,4,D4_Sample28.fcs,0,0,sample,NA
c01,2022-03-11T16:46:16Z,0x4bc,Box01,E04,Box01_E04,p21,E,4,E4_Sample29.fcs,272,71,sample,NA
c01,2022-03-11T16:46:46Z,0x418,Box01,F04,Box01_F04,p21,F,4,F4_Sample30.fcs,2,1,sample,NA
c01,2022-03-11T16:47:17Z,0x5f0,Box01,G04,Box01_G04,p21,G,4,G4_Sample31.fcs,17,1,sample,NA
c01,2022-03-11T16:47:48Z,0x20f,Box01,H04,Box01_H04,p21,H,4,H4_Sample32.fcs,30,3,sample,NA
c01,2022-03-11T16:48:15Z,0x32c,Box01,A05,Box01_A05,p21,A,5,A5_Sample33.fcs,13,2,sample,NA
c01,2022-03-11T16:49:08Z,0x0fa,Box01,B05,Box01_B05,p21,B,5,B5_Sample34.fcs,111,46,sample,NA
c01,2022-03-11T16:49:52Z,0x046,Box01,C05,Box01_C05,p21,C,5,C5_Sample35.fcs,3,1,sample,NA
c01,2022-03-11T16:50:52Z,0x3e0,Box01,D05,Box01_D05,p21,D,5,D5_Sample36.fcs,0,0,sample,NA
c01,2022-03-11T16:51:18Z,0x7bf,Box01,E05,Box01_E05,p21,E,5,E5_Sample37.fcs,0,0,sample,NA
c01,2022-03-11T16:52:19Z,0x59f,Box01,F05,Box01_F05,p21,F,5,F5_Sample38.fcs,25,232,sample,NA
c01,2022-03-11T16:52:48Z,0x788,Box01,G05,Box01_G05,p21,G,5,G5_Sample39.fcs,1470,12,sample,NA
c01,2022-03-11T16:53:51Z,0x81f,Box01,H05,Box01_H05,p21,H,5,H5_Sample40.fcs,892,122,sample,NA
c01,2022-03-11T16:54:10Z,0x1d0,Box01,A06,Box01_A06,p21,A,6,A6_Sample41.fcs,20,290,sample,NA
c01,2022-03-11T16:54:31Z,0x44d,Box01,B06,Box01_B06,p21,B,6,B6_Sample42.fcs,2,1,sample,NA
c01,2022-03-11T16:54:55Z,0x019,Box01,C06,Box01_C06,p21,C,6,C6_Sample43.fcs,0,0,sample,NA
c01,2022-03-11T16:55:20Z,0x1bc,Box01,D06,Box01_D06,p21,D,6,D6_Sample44.fcs,5,1,sample,NA
c01,2022-03-11T16:55:38Z,0x39e,Box01,E06,Box01_E06,p21,E,6,E6_Sample45.fcs,0,194,sample,NA
c01,2022-03-11T16:56:02Z,0x7c4,Box01,F06,Box01_F06,p21,F,6,F6_Sample46.fcs,3,0,sample,NA
c01,2022-03-11T16:56:18Z,0x65a,Box01,G06,Box01_G06,p21,G,6,G6_Sample47.fcs,6,14,sample,NA
c01,2022-03-11T16:56:40Z,0x66e,Box01,H06,Box01_H06,p21,H,6,H6_Sample48.fcs,1,1,sample,NA
c01,2022-03-11T16:57:07Z,0x196,Box01,A07,Box01_A07,p21,A,7,A7_Sample49.fcs,0,69,sample,NA
c01,2022-03-11T16:57:35Z,0x57c,Box01,B07,Box01_B07,p21,B,7,B7_Sample50.fcs,240,32,sample,NA
c01,2022-03-11T16:57:52Z,0x591,Box01,C07,Box01_C07,p21,C,7,C7_Sample51.fcs,97,36,sample,NA
c01,2022-03-11T16:58:51Z,0x42d,Box01,D07,Box01_D07,p21,D,7,D7_Sample52.fcs,1,0,sample,NA
c01,2022-03-11T16:59:42Z,0x6b5,Box01,E07,Box01_E07,p21,E,7,E7_Sample53.fcs,451,211,sample,NA
c01,2022-03-11T17:00:00Z,0x7fb,Box01,F07,Box01_F07,p21,F,7,F7_Sample54.fcs,0,70,sample,NA
c01,2022-03-11T17:00:18Z,0x66d,Box01,G07,Box01_G07,p21,G,7,G7_Sample55.fcs,7,45,sample,NA
c01,2022-03-11T17:00:35Z,0x398,Box01,H07,Box01_H07,p21,H,7,H7_Sample56.fcs,1108,136,sample,NA
c01,2022-03-11T17:01:02Z,0x7ed,Box01,A08,Box01_A08,p21,A,8,A8_Sample57.fcs,26,144,sample,NA
c01,2022-03-11T17:01:23Z,0x73e,Box01,B08,Box01_B08,p21,B,8,B8_Sample58.fcs,341,9,sample,NA
c01,2022-03-11T17:01:45Z,0x2e8,Box01,C08,Box01_C08,p21,C,8,C8_Sample59.fcs,0,0,sample,NA
c01,2022-03-11T17:02:10Z,0x04a,Box01,D08,Box01_D08,p21,D,8,D8_Sample60.fcs,161,954,sample,NA
c01,2022-03-11T17:02:31Z,0x408,Box01,E08,Box01_E08,p21,E,8,E8_Sample61.fcs,2,2,sample,NA
c01,2022-03-11T17:02:56Z,0x26e,Box01,F08,Box01_F08,p21,F,8,F8_Sample62.fcs,9,158,sample,NA
c01,2022-03-11T17:03:34Z,0x476,Box01,G08,Box01_G08,p21,G,8,G8_Sample63.fcs,2,0,sample,NA
c01,2022-03-11T17:03:58Z,0x7ec,Box01,H08,Box01_H08,p21,H,8,H8_Sample64.fcs,119,4,sample,NA
c01,2022-03-11T17:04:19Z,0x18d,Box01,A09,Box01_A09,p21,A,9,A9_Sample65.fcs,0,67,sample,NA
c01,2022-03-11T17:04:34Z,0x37b,Box01,B09,Box01_B09,p21,B,9,B9_Sample66.fcs,60,45,sample,NA
c01,2022-03-11T17:04:55Z,0x176,Box01,C09,Box01_C09,p21,C,9,C9_Sample67.fcs,2,0,sample,NA
c01,2022-03-11T17:05:15Z,0x422,Box01,D09,Box01_D09,p21,D,9,D9_Sample68.fcs,18,611,sample,NA
c01,2022-03-11T17:05:35Z,0x226,Box01,E09,Box01_E09,p21,E,9,E9_Sample69.fcs,8,1,sample,NA
c01,2022-03-11T17:05:52Z,0x17b,Box01,F09,Box01_F09,p21,F,9,F9_Sample70.fcs,21,201,sample,NA
c01,2022-03-11T17:06:11Z,0x2cb,Box01,G09,Box01_G09,p21,G,9,G9_Sample71.fcs,0,3,sample,NA
c01,2022-03-11T17:06:30Z,0x83f,Box01,H09,Box01_H09,p21,H,9,H9_Sample72.fcs,584,2,sample,NA
c01,2022-03-11T17:06:50Z,0x016,Box01,A10,Box01_A10,p21,A,10,A10_Sample73.fcs,18,21,sample,NA
c01,2022-03-11T17:07:19Z,0x127,Box01,B10,Box01_B10,p21,B,10,B10_Sample74.fcs,9,0,sample,NA
c01,2022-03-11T17:07:50Z,0x52b,Box01,C10,Box01_C10,p21,C,10,C10_Sample75.fcs,2,0,sample,NA
c01,2022-03-11T17:08:16Z,0x191,Box01,D10,Box01_D10,p21,D,10,D10_Sample76.fcs,5,0,sample,NA
c01,2022-03-11T17:08:33Z,0x43a,Box01,E10,Box01_E10,p21,E,10,E10_Sample77.fcs,1261,179,sample,NA
c01,2022-03-11T17:08:53Z,0x452,Box01,F10,Box01_F10,p21,F,10,F10_Sample78.fcs,98,11,sample,NA
c01,2022-03-11T17:09:14Z,0x1b0,Box01,G10,Box01_G10,p21,G,10,G10_Sample79.fcs,59,150,sample,NA
c01,2022-03-11T17:09:41Z,0x18a,Box01,H10,Box01_H10,p21,H,10,H10_Sample80.fcs,92,160,sample,NA
