experimental_id,colony_id,position_virus,treatment,treatment_nr,video_position,feeding_session,camera,block,position_on_video,time_first_ant_left,time_first_ant_right,second,side_of_first_ant,feeding_side,event_id,feeding_annotation_end,feeding_start,feeding_end,f2_start,f2_end,f3_start,f3_end,f4_start,f4_end,feeding_duration
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r1,01:34:06.400,00:08:23.000,00:09:37.000,NA,NA,NA,NA,NA,NA,00:01:14.000
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r2,01:34:06.400,00:18:35.000,00:19:03.000,00:20:12.000,00:20:53.000,00:21:39.000,00:21:54.000,NA,NA,00:01:24.000
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r3,01:34:06.400,00:23:17.000,00:24:39.000,NA,NA,NA,NA,NA,NA,00:01:22.000
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r4,01:34:06.400,00:25:44.759,00:26:23.000,00:26:47.920,00:28:01.560,NA,NA,NA,NA,00:01:51.881
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r5,01:34:06.400,00:31:15.240,00:31:26.120,NA,NA,NA,NA,NA,NA,00:00:10.880
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r6,01:34:06.400,00:33:38.120,00:34:17.559,00:35:16.960,00:36:14.599,NA,NA,NA,NA,00:01:37.078
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r7,01:34:06.400,00:37:05.920,00:38:35.559,NA,NA,NA,NA,NA,NA,00:01:29.639
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r8,01:34:06.400,00:40:09.240,00:42:42.960,NA,NA,NA,NA,NA,NA,00:02:33.720
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r9,01:34:06.400,00:40:27.680,00:41:24.760,NA,NA,NA,NA,NA,NA,00:00:57.080
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r10,01:34:06.400,00:42:43.720,00:44:23.599,00:44:44.640,00:45:57.200,NA,NA,NA,NA,00:02:52.439
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r11,01:34:06.400,00:44:18.320,00:45:57.400,NA,NA,NA,NA,NA,NA,00:01:39.080
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r12,01:34:06.400,00:45:13.280,00:46:41.640,NA,NA,NA,NA,NA,NA,00:01:28.360
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r13,01:34:06.400,00:45:45.920,00:46:08.160,00:46:29.079,00:46:48.519,NA,NA,NA,NA,00:00:41.680
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r14,01:34:06.400,00:46:38.519,00:47:39.320,NA,NA,NA,NA,NA,NA,00:01:00.801
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r15,01:34:06.400,00:46:54.039,00:47:15.320,00:47:24.960,00:47:32.960,NA,NA,NA,NA,00:00:29.281
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r16,01:34:06.400,00:48:00.640,00:50:02.720,NA,NA,NA,NA,NA,NA,00:02:02.080
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r17,01:34:06.400,00:50:22.440,00:52:01.240,00:53:13.200,00:53:29.880,NA,NA,NA,NA,00:01:55.480
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r18,01:34:06.400,00:51:01.160,00:51:47.280,NA,NA,NA,NA,NA,NA,00:00:46.120
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r19,01:34:06.400,00:52:26.160,00:55:14.320,NA,NA,NA,NA,NA,NA,00:02:48.160
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r20,01:34:06.400,00:54:27.200,00:54:56.559,00:55:05.320,00:55:34.360,NA,NA,NA,NA,00:00:58.399
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r21,01:34:06.400,00:56:46.519,00:57:26.760,00:59:27.240,01:00:31.440,NA,NA,NA,NA,00:01:44.441
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r22,01:34:06.400,00:58:32.080,00:59:50.280,01:00:10.840,01:00:33.840,NA,NA,NA,NA,00:01:41.200
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r23,01:34:06.400,01:03:19.800,01:04:36.880,NA,NA,NA,NA,NA,NA,00:01:17.080
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r24,01:34:06.400,01:05:41.280,01:06:35.240,NA,NA,NA,NA,NA,NA,00:00:53.960
FC01,A29,right,rr,1,1,1,1,1,l,00:29:36,00:06:19,l,r,r,r25,01:34:06.400,01:07:00.000,01:08:24.920,NA,NA,NA,NA,NA,NA,00:01:24.920
