colony,focal_AntID,tagID,position,time_start,time_stop,exclude
c01,001,011,p1,2022-03-09T10:10:40.905692879Z,2022-03-09T10:13:00.406453983Z,1
c01,001,011,p1,2022-03-09T10:22:05.742660383Z,2022-03-09T10:29:09.078201893Z,1
c01,002,14f,p2,2022-03-09T10:10:24.738925792Z,2022-03-09T10:10:33.572309865Z,0
c01,002,14f,p2,2022-03-09T10:33:02.912758537Z,2022-03-09T10:33:16.746139609Z,0
c01,003,17a,p2,2022-03-09T10:24:13.909959878Z,2022-03-09T10:24:47.076768252Z,0
c01,003,17a,p2,2022-03-09T10:28:09.077792115Z,2022-03-09T10:30:05.911950944Z,0
c01,003,17a,p2,2022-03-09T10:36:31.247007730Z,2022-03-09T10:36:54.747487501Z,0
c01,003,17a,p2,2022-03-09T10:38:33.247702308Z,2022-03-09T10:43:40.749344805Z,0
c01,004,18d,p2,2022-03-09T10:10:23.572264630Z,2022-03-09T10:11:36.572649963Z,0
c01,004,18d,p2,2022-03-09T10:14:07.073440353Z,2022-03-09T10:14:54.073680955Z,0
c01,005,196,p2,2022-03-09T10:10:00.405435033Z,2022-03-09T10:11:24.572536568Z,0
c01,005,196,p2,2022-03-09T10:13:07.906445805Z,2022-03-09T10:14:16.240154283Z,0
c01,005,196,p2,2022-03-09T10:41:20.581956043Z,2022-03-09T10:42:59.415816543Z,0
c01,006,1a4,p2,2022-03-09T10:10:30.072292530Z,2022-03-09T10:10:40.072344570Z,0
c01,007,20f,p1,2022-03-09T10:10:44.072352994Z,2022-03-09T10:13:26.073249807Z,0
c01,007,20f,p1,2022-03-09T10:13:36.239969670Z,2022-03-09T10:16:17.074103353Z,0
c01,007,20f,p1,2022-03-09T10:29:52.911740690Z,2022-03-09T10:31:01.078749565Z,0
c01,007,20f,p1,2022-03-09T10:31:59.578998136Z,2022-03-09T10:32:34.079251205Z,0
c01,008,31b,p1,2022-03-09T10:48:57.417602123Z,2022-03-09T10:49:15.584369667Z,0
c01,009,3df,p1,2022-03-09T10:53:20.418924863Z,2022-03-09T10:54:17.752445500Z,0
c01,010,422,p2,2022-03-09T10:43:43.249351799Z,2022-03-09T10:46:29.416866300Z,0
c01,011,631,p2,2022-03-09T10:49:42.917833765Z,2022-03-09T10:51:24.918336460Z,0
c01,011,631,p2,2022-03-09T10:52:30.251996369Z,2022-03-09T10:54:38.752586241Z,0
c01,012,704,p2,2022-03-09T10:10:33.072303344Z,2022-03-09T10:12:13.572848169Z,0
